trade_date,stock_code,target_weight
2016-01-05,sz002683,0.1
2016-01-05,sz002545,0.1
2016-01-05,sh600582,0.1
2016-01-05,sh600763,0.1
2016-01-05,sh603993,0.1
2016-01-05,sz300224,0.1
2016-01-05,sh600259,0.1
2016-01-05,sh601199,0.1
2016-01-05,sh600765,0.1
2016-01-05,sh601126,0.1
2016-01-12,sz300034,0.1
2016-01-12,sz300049,0.1
2016-01-12,sz300222,0.1
2016-01-12,sh601199,0.1
2016-01-12,sz300154,0.1
2016-01-12,sh600582,0.1
2016-01-12,sz002651,0.1
2016-01-12,sz002441,0.1
2016-01-12,sz002683,0.1
2016-01-12,sh600765,0.1
2016-01-19,sh601126,0.1
2016-01-19,sh603077,0.1
2016-01-19,sh601199,0.1
2016-01-19,sh600582,0.1
2016-01-19,sz002353,0.1
2016-01-19,sz002651,0.1
2016-01-19,sz300222,0.1
2016-01-19,sz300316,0.1
2016-01-19,sz002683,0.1
2016-01-19,sz300337,0.1
2016-01-26,sh601199,0.1
2016-01-26,sz002204,0.1
2016-01-26,sz002303,0.1
2016-01-26,sz002410,0.1
2016-01-26,sz300316,0.1
2016-01-26,sh600582,0.1
2016-01-26,sz002568,0.1
2016-01-26,sz300199,0.1
2016-01-26,sz002683,0.1
2016-01-26,sz300222,0.1
2016-02-02,sz002410,0.1
2016-02-02,sz002498,0.1
2016-02-02,sz002344,0.1
2016-02-02,sz002651,0.1
2016-02-02,sz002568,0.1
2016-02-02,sh600582,0.1
2016-02-02,sz000560,0.1
2016-02-02,sz300337,0.1
2016-02-02,sz300222,0.1
2016-02-02,sh601636,0.1
2016-02-16,sz002498,0.1
2016-02-16,sh600805,0.1
2016-02-16,sz000543,0.1
2016-02-16,sh601199,0.1
2016-02-16,sh600251,0.1
2016-02-16,sz300337,0.1
2016-02-16,sz002651,0.1
2016-02-16,sz002344,0.1
2016-02-16,sz300257,0.1
2016-02-16,sz002410,0.1
2016-02-23,sh600805,0.1
2016-02-23,sz002293,0.1
2016-02-23,sz002344,0.1
2016-02-23,sh601216,0.1
2016-02-23,sh600352,0.1
2016-02-23,sz002651,0.1
2016-02-23,sh600251,0.1
2016-02-23,sz002683,0.1
2016-02-23,sz002498,0.1
2016-02-23,sz300257,0.1
2016-03-01,sz002658,0.1
2016-03-01,sz300058,0.1
2016-03-01,sz300257,0.1
2016-03-01,sz300259,0.1
2016-03-01,sz002651,0.1
2016-03-01,sz300002,0.1
2016-03-01,sz300346,0.1
2016-03-01,sh600763,0.1
2016-03-01,sz002344,0.1
2016-03-01,sh601216,0.1
2016-03-08,sz000541,0.1
2016-03-08,sh600685,0.1
2016-03-08,sh600763,0.1
2016-03-08,sz002690,0.1
2016-03-08,sz300233,0.1
2016-03-08,sz300257,0.1
2016-03-08,sz300346,0.1
2016-03-08,sz002677,0.1
2016-03-08,sz300351,0.1
2016-03-08,sz300303,0.1
2016-03-15,sh601028,0.1
2016-03-15,sz002683,0.1
2016-03-15,sh600587,0.1
2016-03-15,sz002545,0.1
2016-03-15,sz002658,0.1
2016-03-15,sz002664,0.1
2016-03-15,sz300257,0.1
2016-03-15,sz300298,0.1
2016-03-15,sz002282,0.1
2016-03-15,sz300233,0.1
2016-03-22,sz300233,0.1
2016-03-22,sz300303,0.1
2016-03-22,sz002617,0.1
2016-03-22,sh600763,0.1
2016-03-22,sz002391,0.1
2016-03-22,sh600587,0.1
2016-03-22,sz300257,0.1
2016-03-22,sz002664,0.1
2016-03-22,sh601021,0.1
2016-03-22,sz002344,0.1
2016-03-29,sh600690,0.1
2016-03-29,sz002539,0.1
2016-03-29,sh600557,0.1
2016-03-29,sz300233,0.1
2016-03-29,sz300002,0.1
2016-03-29,sz300346,0.1
2016-03-29,sh601038,0.1
2016-03-29,sh601021,0.1
2016-03-29,sh600375,0.1
2016-03-29,sz002038,0.1
2016-04-06,sh601021,0.1
2016-04-06,sz002588,0.1
2016-04-06,sz002539,0.1
2016-04-06,sz002051,0.1
2016-04-06,sz002690,0.1
2016-04-06,sz300146,0.1
2016-04-06,sh601636,0.1
2016-04-06,sh600763,0.1
2016-04-06,sz002616,0.1
2016-04-06,sz000888,0.1
2016-04-13,sh601021,0.1
2016-04-13,sh600763,0.1
2016-04-13,sz000888,0.1
2016-04-13,sz300346,0.1
2016-04-13,sz300150,0.1
2016-04-13,sz002690,0.1
2016-04-13,sz000897,0.1
2016-04-13,sz002539,0.1
2016-04-13,sh600161,0.1
2016-04-13,sh600685,0.1
2016-04-20,sz002690,0.1
2016-04-20,sz002215,0.1
2016-04-20,sh600161,0.1
2016-04-20,sh601636,0.1
2016-04-20,sh600765,0.1
2016-04-20,sz300408,0.1
2016-04-20,sz300150,0.1
2016-04-20,sz300146,0.1
2016-04-20,sh600763,0.1
2016-04-20,sz300257,0.1
2016-04-27,sz300326,0.1
2016-04-27,sh601699,0.1
2016-04-27,sz002244,0.1
2016-04-27,sz002236,0.1
2016-04-27,sh601137,0.1
2016-04-27,sh601678,0.1
2016-04-27,sz300408,0.1
2016-04-27,sh600582,0.1
2016-04-27,sh600728,0.1
2016-04-27,sz300146,0.1
2016-05-05,sz002244,0.1
2016-05-05,sz002440,0.1
