,gross_return,funding_return,turnover,cost_return,net_return,nav,signal_spread_return
2021-01-01,0.0,-0.0,0.0,0.0,0.0,1.0,0.12401387069311409
2021-01-02,-0.0011369145460118297,-4.420833333333335e-06,0.09523809523809523,3.809523809523809e-05,-0.001179430617440401,0.9988205693825596,0.1954255456199605
2021-01-03,0.005987923978403788,6.109876190476183e-05,0.09523809523809523,3.809523809523809e-05,0.006010927502213312,1.0048244074128376,0.28137672745896025
2021-01-04,-0.002932099644431742,9.652014285714269e-05,0.09523809523809523,3.809523809523809e-05,-0.002873674739669837,1.0019368688954517,0.30971727357397416
2021-01-05,0.002030955517784803,-3.369142857142859e-05,0.09523809523809523,3.809523809523809e-05,0.0019591688511181363,1.0038998323997788,-0.15728439707396014
2021-01-06,-0.0007553799574339528,0.00035295485714285707,0.0952380952380952,3.8095238095238085e-05,-0.00044052033838633384,1.003457594105904,-0.03479480187672529
2021-01-07,0.022190990868643238,0.0005324889523809521,0.09523809523809526,3.8095238095238106e-05,0.022685384582928955,1.026221415540857,-0.040079172353091885
2021-01-08,-0.010656879078473087,0.00012402704761904746,0.09523809523809526,3.8095238095238106e-05,-0.010570947268949277,1.0153732830709084,-0.14376106466666205
2021-01-09,-0.017709272856984027,8.630461904761884e-05,0.09523809523809522,3.809523809523809e-05,-0.017661063476031646,0.9974407110667264,-0.06403843416353705
2021-01-10,0.012443190224425209,0.0008920351904761902,0.09523809523809522,3.809523809523809e-05,0.01329713017680616,1.0107038100454266,-0.16138015172271664
2021-01-11,0.0037723333072879235,4.717702380952378e-05,0.09523809523809523,3.809523809523809e-05,0.003781415093002209,1.0145257006872872,-0.12322734686805115
2021-01-12,0.00200863300879624,-2.3680476190476414e-06,0.09523809523809526,3.8095238095238106e-05,0.001968169723081954,1.0165224594546685,0.02059840672250779
2021-01-13,-0.010711163358665263,8.114880952380918e-06,0.09523809523809523,3.809523809523809e-05,-0.010741143715808121,1.005603845627319,0.37254163468375634
2021-01-14,0.01933153589709337,-2.4212928571428616e-05,0.09523809523809523,3.809523809523809e-05,0.019269227730426705,1.0249810551353047,0.3176724202177671
2021-01-15,-0.02034080366077332,0.00022530357142857128,0.09523809523809526,3.8095238095238106e-05,-0.020153595327439985,1.0043240017318154,0.2941445378115449
2021-01-16,0.008501232159344806,3.767299999999988e-05,0.09523809523809525,3.80952380952381e-05,0.008500809921249568,1.0128615691698863,0.2706086691005154
2021-01-17,-0.007504282735451563,0.00025821476190476177,0.09523809523809523,3.809523809523809e-05,-0.007284163211642039,1.005483720189253,1.6126961802979276
2021-01-18,0.013468701475327123,0.0004030821190476186,0.09523809523809523,3.809523809523809e-05,0.013833688356279503,1.0193932686216638,1.8491613843329073
2021-01-19,-0.12993566880951607,0.0003809087857142853,0.09523809523809529,3.809523809523812e-05,-0.129592855261897,0.8872871843062244,2.0747343529394606
2021-01-20,0.011545223138540789,-4.9337500000000013e-05,0.09523809523809522,3.809523809523809e-05,0.01145779040044555,0.8974535348890067,1.392920725296811
2021-01-21,0.03664854094315263,0.000572719619047619,0.09523809523809526,3.8095238095238106e-05,0.03718316532410501,0.9308236980474871,1.687572895441805
2021-01-22,-0.014845279734400734,0.0009328983809523805,0.09523809523809523,3.809523809523809e-05,-0.013950476591543592,0.9178382638370216,1.4671190884721694
2021-01-23,-0.009936441063959677,9.794530952380952e-05,0.1904761904761905,7.61904761904762e-05,-0.009914686230626343,0.9087381854406147,1.3415224303772888
2021-01-24,0.05055904057616346,0.0003222424999999999,0.1904761904761905,7.61904761904762e-05,0.050805092599972984,0.9549067131010566,1.3243218478510275
2021-01-25,-0.0014855134289822936,0.0008040146428571425,0.19047619047619047,7.619047619047618e-05,-0.0007576892623156273,0.9541831905380267,1.401813939266003
2021-01-26,-0.00195439641041429,5.799173809523808e-05,0.16666666666666663,6.666666666666666e-05,-0.0019630713389857187,0.9523100608645395,0.9415901635339403
2021-01-27,0.00033405335459145685,-0.00022168345238095244,0.16666666666666663,6.666666666666666e-05,4.570323554383775e-05,0.952353584515562,1.086903784766496
2021-01-28,0.003823281195411087,0.00015692416666666654,0.19047619047619047,7.619047619047618e-05,0.0039040148858872775,0.9560715870861388,0.023381458734188953
2021-01-29,-0.001739823097153959,-0.0002586608571428574,0.19047619047619052,7.619047619047621e-05,-0.002074674430487293,0.9540880498106958,0.022030593914999397
2021-01-30,0.00461251076363861,0.0007730107380952379,0.19047619047619047,7.619047619047618e-05,0.005309331025543372,0.959153619094656,0.060057332042875
2021-01-31,-0.016963682443288032,0.0003496507857142856,0.19047619047619047,7.619047619047618e-05,-0.016690222133764223,0.9431451321315623,0.0008880340559489497
2021-02-01,-0.013728465675310265,0.0009510958809523806,0.1904761904761905,7.61904761904762e-05,-0.01285356027054836,0.9310223593318349,0.40298537621108654
2021-02-02,0.008223305303496582,0.0011149008095238094,0.19047619047619047,7.619047619047618e-05,0.009262015636829915,0.9396455029822046,0.27166576109338847
2021-02-03,0.0011121231346220499,0.0017411131428571426,0.19047619047619044,7.619047619047618e-05,0.0027770458012887165,0.9422549415809612,-0.2876416142149353
2021-02-04,-0.004822271639906924,0.0020816952619047615,0.1904761904761905,7.61904761904762e-05,-0.0028167668541926386,0.9396008290933168,-0.1426550993046416
2021-02-05,0.0015350617561029302,0.001346219404761904,0.16666666666666669,6.666666666666668e-05,0.002814614494198167,0.9422454432056433,-0.0846585456671981
2021-02-06,-0.025485724997059696,0.0007356109285714288,0.16666666666666663,6.666666666666666e-05,-0.024816780735154934,0.9188619446429099,-0.41901577722046934
2021-02-07,-0.04859538307644997,0.0006320165476190475,0.19047619047619047,7.619047619047618e-05,-0.0480395570050214,0.874720223873492,-0.3883433109677163
2021-02-08,-0.033722380907432244,0.00040113076190476153,0.19047619047619047,7.619047619047618e-05,-0.033397440621717955,0.8455068071360613,0.007265910438437828
2021-02-09,0.0013507237627775961,0.00040110635714285623,0.19047619047619047,7.619047619047618e-05,0.001675639643729976,0.8469235718611421,-0.08443744238366135
2021-02-10,-0.10525931856533367,0.00015427130952380826,0.19047619047619052,7.619047619047621e-05,-0.10518123773200035,0.7578431023083804,0.525743690802601
2021-02-11,0.021196098008835138,7.194299999999912e-05,0.16666666666666663,6.666666666666666e-05,0.02120137434216847,0.7739104176130506,0.894013904894472
2021-02-12,-0.010903218748173089,0.0007235020952380945,0.19047619047619047,7.619047619047618e-05,-0.01025590712912547,0.7659732642437483,0.772113988911517
2021-02-13,0.10203728849896332,0.0012949989761904764,0.1904761904761905,7.61904761904762e-05,0.10325609699896332,0.8450646739151134,0.770446521018122
2021-02-14,0.025537597609979187,0.0005583810476190471,0.19047619047619044,7.619047619047618e-05,0.02601978818140776,0.8670530777299751,0.6309776831337555
2021-02-15,0.030054773316684266,-0.00032381733333333354,0.17142857142857149,6.85714285714286e-05,0.029662384554779504,0.8927719395510066,0.7210174678743249
2021-02-16,0.016985586010046676,-5.475119047619321e-06,0.17142857142857143,6.857142857142858e-05,0.016911539462427627,0.9078700874376714,0.782445109269206
2021-02-17,0.025256764717528774,2.1393809523808966e-05,0.17142857142857137,6.857142857142855e-05,0.025209587098481156,0.9307571174810371,0.3899258746913857
2021-02-18,-0.007981415341509718,0.000694548452380952,0.17142857142857149,6.85714285714286e-05,-0.007355438317700195,0.9239109909146448,0.5058734231967903
2021-02-19,-0.03501658776359089,0.0008499439999999987,0.1904761904761904,7.619047619047617e-05,-0.03424283423978136,0.8922736600004425,-3.006139672292101
2021-02-20,0.01638415111212769,0.001116903428571428,0.19047619047619047,7.619047619047618e-05,0.01742486406450864,0.9078214072342918,-2.555260985963282
2021-02-21,0.021310888527239252,0.000152819619047619,0.19047619047619052,7.619047619047621e-05,0.021387517670096397,0.9272374536228071,-2.588872883733816
2021-02-22,0.09196550547893148,0.00014090340476190455,0.19047619047619047,7.619047619047618e-05,0.0920302184075029,1.0125713189953307,-2.8462081186397175
2021-02-23,0.03367906638319844,-0.00031040109523809516,0.19047619047619047,7.619047619047618e-05,0.03329247481176987,1.0462823241281032,-3.1493326611012447
2021-02-24,-0.042278717777103576,6.443847619047618e-05,0.19047619047619047,7.619047619047618e-05,-0.04229046977710357,1.002034553121246,-2.246568883253899
2021-02-25,0.028676446640042125,7.484976190476142e-06,0.19047619047619052,7.619047619047621e-05,0.028607741140042126,1.0307004982303163,-3.0223221281883976
2021-02-26,0.003718447536665711,6.228671428571425e-05,0.1904761904761905,7.61904761904762e-05,0.0037045437747609492,1.0345187733446783,-2.890769442837473
2021-02-27,-0.011905538071048424,0.000113479619047619,0.19047619047619047,7.619047619047618e-05,-0.011868248928191282,1.0222408470217366,-2.163306557389098
2021-02-28,0.006140863942841246,5.589221428571427e-05,0.16666666666666669,6.666666666666668e-05,0.006130089490460294,1.0285072748947839,-2.293338001834904
2021-03-01,0.029965226132953073,5.9101476190476186e-05,0.16666666666666666,6.666666666666667e-05,0.029957660942476882,1.0593189471129527,-1.8662044131403717
2021-03-02,-0.02049767680222448,0.00010440926190476179,0.16666666666666663,6.666666666666666e-05,-0.020459934206986385,1.0376453511508075,-1.89385873821224
2021-03-03,-0.04308111653861385,0.00016818449999999997,0.14285714285714288,5.7142857142857155e-05,-0.04297007489575671,0.9930576526966236,-0.7411664723888155
2021-03-04,0.002582349832716946,0.00017210676190476193,0.17142857142857143,6.857142857142858e-05,0.0026858851660502793,0.9957248915150342,0.1943115837957521
2021-03-05,-0.0043202891394070585,8.819233333333336e-05,0.17142857142857149,6.85714285714286e-05,-0.004300668234645154,0.99144260910365,0.07131163861454431
2021-03-06,0.0004641350082085125,6.953566666666665e-05,0.1714285714285714,6.857142857142857e-05,0.0004650992463037506,0.9919037283138976,0.068275715709356
2021-03-07,-0.012922082753722608,-0.00012136678571428575,0.19047619047619047,7.619047619047618e-05,-0.013119640015627371,0.9788903084682606,-0.017133480629048237
2021-03-08,-0.006100734340604796,0.0004669878333333333,0.19047619047619047,7.619047619047618e-05,-0.005709936983461939,0.9733009064931853,-0.154289811739434
2021-03-09,-0.026285435431282464,-0.00034135142857142834,0.19047619047619047,7.619047619047618e-05,-0.02670297733604437,0.9473108744459464,-0.03731610562705487
2021-03-10,-0.007537752554215698,-1.3515309523809492e-05,0.19047619047619052,7.619047619047621e-05,-0.007627458339929984,0.9400853002161473,-0.01426120967596925
2021-03-11,0.02313997930528421,5.5177261904761906e-05,0.1904761904761905,7.61904761904762e-05,0.023118966090998495,0.9618191003944906,0.41812463627814866
2021-03-12,0.01762152985220553,-0.0003125033333333333,0.19047619047619047,7.619047619047618e-05,0.01723283604268172,0.9783939712543084,0.1414962596387234
2021-03-13,-0.017468916485536525,2.415457936507954e-05,0.1904761904761905,7.61904761904762e-05,-0.017520952382361923,0.9612515770727716,0.0017726088163328032
2021-03-14,-0.04047160531382619,-0.00040994907142857177,0.1904761904761905,7.61904761904762e-05,-0.04095774486144523,0.9218808802313633,0.048375166653252324
2021-03-15,-0.0054752627950639355,0.0002494012777777779,0.19047619047619052,7.619047619047621e-05,-0.005302051993476634,0.9169930198725845,-0.45885361820331266
2021-03-16,-0.012778353038556687,0.0001553508888888889,0.19047619047619047,7.619047619047618e-05,-0.012699192625858275,0.905347948876655,-0.1992176022178242
2021-03-17,0.02286601655693895,4.657737301587306e-05,0.19047619047619044,7.619047619047618e-05,0.022836403453764347,0.9260228399032403,-0.22875376549063475
2021-03-18,0.02797567002483697,0.0009207807539682538,0.1904761904761905,7.61904761904762e-05,0.02882026030261475,0.9527110591954181,-0.18515683310984
2021-03-19,0.0033059678555156192,0.00026862429365079364,0.1746031746031746,6.984126984126984e-05,0.003504750879325143,0.956050074117876,0.0432801756507305
2021-03-20,0.012848110125351196,-0.00013820819841269842,0.1746031746031746,6.984126984126984e-05,0.012640060657097227,0.9681346050459484,-0.20712739344226128
2021-03-21,-0.037306231282416856,-0.0006756288650793651,0.17460317460317465,6.984126984126986e-05,-0.03805170141733749,0.931295436122948,-0.0956783948752214
2021-03-22,0.013937508988711817,-0.0003242181269841269,0.19047619047619047,7.619047619047618e-05,0.013537100385537213,0.9439024759303369,-0.03381092262377561
2021-03-23,0.05938682680410462,-8.310591269841267e-05,0.19047619047619047,7.619047619047618e-05,0.05922753041521574,0.9998074885324983,-0.023223695590756432
2021-03-24,-0.022381953588089597,-0.0003691166666666667,0.19047619047619047,7.619047619047618e-05,-0.02282726073094674,0.9769846223110139,0.25364845172647166
2021-03-25,0.01039167399482731,-0.00013199004761904758,0.19047619047619052,7.619047619047621e-05,0.010183493471017786,0.986933738833603,0.4052466206783416
2021-03-26,0.007152285306773103,1.685285714285757e-06,0.19047619047619052,7.619047619047621e-05,0.007077780116296913,0.9939190388264221,-0.004828866835445311
2021-03-27,-0.04283087000660693,-0.00029148514285714285,0.1904761904761904,7.619047619047617e-05,-0.04319854562565455,0.9509831818794722,0.48198418713177676
2021-03-28,-0.03207068819989718,0.00041393596825396847,0.19047619047619047,7.619047619047618e-05,-0.03173294270783369,0.9208056870527775,0.3905944159692079
2021-03-29,0.02171993186440016,0.0005883743492063493,0.19047619047619047,7.619047619047618e-05,0.022232115737416035,0.9412771456590059,1.4754844697004337
2021-03-30,0.016251948856184792,0.0004490410476190477,0.17142857142857146,6.857142857142858e-05,0.016632418475232412,0.9569328610467788,1.0273642433502128
2021-03-31,-0.008496084648006618,0.000274408650793651,0.1904761904761905,7.61904761904762e-05,-0.008297866473403444,0.9489923599418006,0.7110545353090159
2021-04-01,0.007682401322719895,-0.00039389484126984057,0.19047619047619047,7.619047619047618e-05,0.007212316005259578,0.9558367927282779,-0.08725291885230624
2021-04-02,-0.006912948577306962,-3.45418571428569e-05,0.1904761904761905,7.61904761904762e-05,-0.007023680910640295,0.9491233000935047,-0.19454086802525328
2021-04-03,0.006032315846275657,-0.0010942716666666663,0.19047619047619047,7.619047619047618e-05,0.004861853703418515,0.9537377987250649,-0.22866242241928042
2021-04-04,0.005326171235635735,0.0005848318253968258,0.19047619047619047,7.619047619047618e-05,0.0058348125848420845,0.9593026800357054,-0.1171572940851546
2021-04-05,-0.004987329812570099,0.0007454662063492065,0.1904761904761905,7.61904761904762e-05,-0.004318054082411369,0.955160359181909,-0.23103772356729368
2021-04-06,0.0069830378132992406,0.0015355938095238109,0.1904761904761904,7.619047619047617e-05,0.008442441146632576,0.9632242442998987,-0.03977473172195399
2021-04-07,-0.014241109226569744,0.0006077386825396829,0.1904761904761905,7.61904761904762e-05,-0.013709561020220537,0.9500188627465134,-0.07315403737014163
2021-04-08,0.011521616373654004,-0.00047704950793650775,0.19047619047619047,7.619047619047618e-05,0.01096837638952702,0.9604390272102675,-0.04490243299931155
2021-04-09,-0.03265969792945567,-0.0002834133809523805,0.17142857142857146,6.857142857142858e-05,-0.03301168273897948,0.9287333187538681,-0.027891375083972325
2021-04-10,0.012092703311445501,-4.982526984126945e-05,0.17142857142857143,6.857142857142858e-05,0.011974306613032804,0.9398542562743666,-0.008744772649865604
2021-04-11,-0.006017423915910196,0.0002701775714285717,0.1714285714285714,6.857142857142857e-05,-0.005815817773053052,0.9343882351866466,0.07102117455798294
2021-04-12,0.020337439499767417,0.0002086674603174608,0.17142857142857146,6.857142857142858e-05,0.02047753553151345,0.9535222034729093,-0.16173705286909584
2021-04-13,-0.009896505289038942,0.00033021398412698465,0.17142857142857143,6.857142857142858e-05,-0.009634862733483386,0.9443351479291192,-0.11941511394787366
2021-04-14,0.019142888250106255,-8.270820634920532e-05,0.1714285714285714,6.857142857142857e-05,0.01899160861518562,0.9622695914601525,-0.11921184370144147
2021-04-15,-0.024152434435490037,-8.452087301587236e-05,0.17142857142857146,6.857142857142858e-05,-0.024305526737077338,0.9388811221766412,-0.21305451301206133
2021-04-16,-0.01717196557185209,-0.00040118214285714184,0.17142857142857143,6.857142857142858e-05,-0.017641719143280662,0.9223176451102728,-0.11772469608363524
2021-04-17,0.03095512418278718,-0.00022039650793650724,0.1746031746031746,6.984126984126984e-05,0.030664886405009403,0.9506004109269152,0.015053270065664912
2021-04-18,-0.014454339460312184,0.000550217015873016,0.1746031746031746,6.984126984126984e-05,-0.013973963714280438,0.9373167552778424,0.06550482372008706
2021-04-19,-0.01674043102162802,-8.285460317460274e-06,0.15555555555555556,6.222222222222222e-05,-0.016810938704167704,0.9215595807584772,0.08236625941520087
2021-04-20,-0.008430771958101838,5.0219857142857134e-05,0.17142857142857143,6.857142857142858e-05,-0.008449123529530408,0.9137732100208266,0.1562325443704595
