period_end_date,return
2018-02-28,0.0%
2018-03-31,22.81%
2018-04-30,-3.12%
2018-05-31,0.0%
2018-06-30,0.0%
2018-07-31,0.08%
2018-08-31,-5.21%
2018-09-30,-0.8%
2018-10-31,-3.77%
2018-11-30,5.35%
2018-12-31,-2.94%
