period_end_date,return
2018-02-28,-0.98%
2018-03-31,24.81%
2018-04-30,-6.83%
2018-05-31,1.54%
2018-06-30,-10.7%
2018-07-31,2.27%
2018-08-31,-4.28%
2018-09-30,1.6%
2018-10-31,-8.23%
2018-11-30,11.71%
2018-12-31,-2.93%
