metric,value
Cumulative NAV,1.1
Annual Return,11.50%
Max Drawdown,-12.84%
Max Drawdown Start,2018-04-02 00:00:00
Max Drawdown End,2018-10-30 00:00:00
Return / Drawdown Ratio,0.9
Winning Periods,36.0
Losing Periods,179.0
Win Rate,16.67%
Average Return per Period,0.05%
Profit / Loss Ratio,6.51
Best Period Return,4.57%
Worst Period Return,-5.22%
Max Consecutive Winning Periods,4.0
Max Consecutive Losing Periods,62.0
Return Std Dev,0.92%
