Backtest Period,Strategy Annualized Return,Benchmark Return (CSI 300),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Information Ratio,Max Drawdown,Profit/Loss Ratio,Winning Rate,Strategy Volatility
2011-2026 (Long Term),56.87%,52.46%,0.536,0.663,1.561,2.414,1.707,26.66%,1.862,0.556,0.339
2014-2015 (Bull/Volatile),151.34%,60.13%,1.325,0.637,3.381,5.071,3.068,31.04%,2.670,0.692,0.436
2018 (Bear Market),10.76%,-25.31%,0.275,0.694,0.176,0.282,1.018,22.72%,1.177,0.389,0.384
2022-2024 (Sideways/Down),33.87%,-20.35%,0.376,0.672,0.921,1.584,1.356,21.14%,1.588,0.472,0.324
2024-2026 (Recent),40.16%,38.68%,0.268,0.801,1.040,1.612,0.769,23.31%,1.826,0.465,0.348
