date,q1,q2,q3,q4,q5
2018-01-02,,,,,
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-08,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-15,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,,,,,
2018-01-19,,,,,
2018-01-22,,,,,
2018-01-23,,,,,
2018-01-24,,,,,
2018-01-25,,,,,
2018-01-26,,,,,
2018-01-29,,,,,
2018-01-30,,,,,
2018-01-31,-0.023360375951384467,-0.034364034382380754,-0.06316984134837145,-0.05647413261710395,-0.06867449923291408
2018-02-01,-0.026304624068612076,-0.04589648131381806,-0.07468791070099233,-0.067674351854549,-0.07206128872809821
2018-02-02,-0.021823704561335516,-0.026698836485581245,-0.05726546298512493,-0.05793475541097371,-0.05241657342696445
2018-02-05,-0.0041768174942812784,-0.028962853372219356,-0.03397014022263976,-0.06593287036065866,-0.03827239396197424
2018-02-06,0.16517647447713285,0.03673715069160182,0.032284487253528386,0.025302879622668323,0.06007664113724533
2018-02-07,0.18249276533902586,0.06086888573854521,0.04538794377754197,0.052159151108203634,0.08864200061457131
2018-02-08,0.20256223862664607,0.08274138876616745,0.05990549864090554,0.0448373577435295,0.11138661827716946
2018-02-09,0.2761564959680134,0.14883635884164592,0.1073003312508824,0.09377351142627313,0.14610104238165508
2018-02-12,0.17101268432637837,0.12699057764069774,0.10969347854647735,0.12996170845422564,0.1142890772525756
2018-02-13,0.12618080715356447,0.10006565533121711,0.08911909943631839,0.10036988449064017,0.13519797390160296
2018-02-14,0.225001062807119,0.08663291897154006,0.07295676006430932,0.07187980340626277,0.10747106277564245
2018-02-15,0.05768982991988248,0.05699867589960406,0.04861249849846015,0.05012871727220895,0.08277839272641589
2018-02-20,0.04825831474731023,0.037104780979828715,0.047846516337961637,0.03864812387441771,0.07640863913750426
2018-02-21,0.0261166596776893,0.019440852212893718,-0.0034294277452005346,0.022639822806581007,0.05277157397832913
2018-02-22,0.03271698316779503,0.024741692593202493,0.004996994170996106,0.024708579986479916,0.0197194156468206
2018-02-23,-0.04299846727879211,-0.01773033021136885,-0.03413515070105585,-0.027491954040672426,-0.01873678257888769
2018-02-26,-0.04407295491408817,-0.01786296081742229,-0.030676447185288013,-0.019155175557124853,-0.014924460261268776
2018-02-27,0.001764114890095327,0.006794227677839867,-0.013399376399813784,-0.00905700028743676,0.03524699920986565
2018-02-28,-0.011704101368346466,-0.03318851262655013,-0.03280266967412437,0.006175477176969214,-0.011815231877651888
2018-03-01,-0.013038132001341608,-0.011091368245273544,-0.04518293443963761,-0.004148825717645716,-0.029328907482247375
2018-03-02,0.027210280685770236,-0.013850494901648155,-0.030775441584851314,0.0021129354715685262,0.010618562606135716
2018-03-05,0.04253211296089598,0.007211995351147333,-0.002150008915830816,-0.0031988070884961047,0.002456580499921918
2018-03-06,0.011466884292878935,-0.0003393379885236274,-0.01744444214962717,-0.01573918104887044,0.0017230176956383786
2018-03-07,0.08037166235023119,-0.010571549513924918,0.0018815173088673808,-0.01239420869090035,0.0328121709510338
2018-03-08,0.03938741959707838,0.016293597113050028,0.010483963798806147,-0.011170849687871982,0.04496536188149559
2018-03-09,0.002717322914476331,-0.018445595649958957,0.0040772385109841824,-0.00430578271259684,0.06505497297208152
2018-03-12,-0.034056504080658453,-0.02739415958932555,-0.0021628783844667614,-0.02488025881614855,0.03177386259307996
2018-03-13,-0.04246992149852386,-0.012470212836592921,-0.01380418838744021,-0.029625168232531685,0.04058293670331635
2018-03-14,-0.01760467442185033,-0.042461815324811365,-0.03975603448052114,-0.037839766599961966,-0.005591968855747258
2018-03-15,-0.05055127351561987,-0.03445095716840886,-0.06385286150787313,-0.06674675791747067,-0.030015737745217957
2018-03-16,-0.055991824496515824,-0.05516496939963302,-0.06052253390476345,-0.01817939706984683,-0.05972420681105384
2018-03-19,-0.045022147579858056,-0.01929965408959433,-0.04854769753073858,-0.003625615805666584,-0.022810690679279322
