date,ic_1d,ic_5d,ic_20d
2018-01-02,,,
2018-01-03,,,
2018-01-04,,,
2018-01-05,,,
2018-01-08,,,
2018-01-09,,,
2018-01-10,,,
2018-01-11,,,
2018-01-12,,,
2018-01-15,,,
2018-01-16,,,
2018-01-17,,,
2018-01-18,,,
2018-01-19,,,
2018-01-22,,,
2018-01-23,,,
2018-01-24,,,
2018-01-25,,,
2018-01-26,,,
2018-01-29,,,
2018-01-30,,,
2018-01-31,-0.10493785243510956,-0.3582905194440255,-0.18891554624082282
2018-02-01,-0.08987996968301964,-0.3465313727099782,-0.2263361329126683
2018-02-02,0.012606196803421517,-0.332472505991536,-0.19908806070957275
2018-02-05,-0.28369591392590576,-0.31386185264313526,-0.20107878562888476
2018-02-06,-0.1827817639552278,-0.11720728478087389,-0.14856680179114776
2018-02-07,-0.12776341352471007,-0.02265177222240504,-0.1214938776233417
2018-02-08,0.14816156693012833,-0.010741815884843856,-0.11203415690447346
2018-02-09,-0.11138266143198852,-0.15941110220675234,-0.20718209143857783
2018-02-12,-0.11680229209127277,-0.14930418154970537,-0.20100849465903675
2018-02-13,-0.0002756761285319607,-0.002188071952738796,-0.08521067869041835
2018-02-14,-0.07733269973426624,-0.13034533421542938,-0.08439498382875932
2018-02-15,-0.017517616716361463,-0.18291307269622514,-0.04420360361729857
2018-02-20,-0.18115031687757857,-0.21945877605123496,-0.00014808560229064146
2018-02-21,0.025834001669555157,-0.13121965981855693,0.02637375123152576
2018-02-22,-0.17355216778446117,-0.046076996844813894,-0.03828137533226731
2018-02-23,-0.025998684155877666,0.09345205960511677,0.0480448454999898
2018-02-26,0.0029861672877722653,0.05865866192131352,0.04458936439395862
2018-02-27,0.10215371898174481,-0.01993242086690905,0.021029610018102607
2018-02-28,-0.06844247409819425,-0.03942856077734269,-0.014005099418041874
2018-03-01,0.15042213692123022,-0.009474098843120332,0.0003032945435215549
2018-03-02,-0.016701602486169698,-0.13483318487772458,-0.00913604482986036
2018-03-05,-0.31955075645193626,-0.27913413722474006,-0.009184880013337013
2018-03-06,0.19503908315276988,-0.07085854054212924,0.0001624161570233421
2018-03-07,-0.1486098594052835,-0.15473420375364913,-0.02133661144948168
2018-03-08,-0.07458347467924155,-0.10844450432492461,0.02138370193382276
2018-03-09,-0.11152591113722664,-0.04758744110723513,0.029987325718594394
2018-03-12,0.01765884119833637,0.12165011759575398,0.04221506133723519
2018-03-13,0.05778161798428139,0.14274428110468315,0.027053289775772645
2018-03-14,0.10972710760234616,-0.03514289678718707,-0.020181852376310944
2018-03-15,-0.008812911006581024,-0.13589089597700504,-0.06856946741287241
2018-03-16,-0.03754041889940854,-0.22071077170389675,-0.07183876080838228
2018-03-19,0.02581996367418953,-0.07448376313954205,-0.03865811455322185
2018-03-20,-0.18185855082276012,-0.038480989516183894,-0.0537720513438737
2018-03-21,-0.11703849757930901,0.0472344872044507,0.006706742744792772
2018-03-22,0.052608156685752756,0.10119996233643401,0.05714962153252652
2018-03-23,0.10887652518458214,0.12983031635259062,0.049005224875882575
2018-03-26,0.033107318089966344,0.14202617889961824,0.07753181381380024
2018-03-27,0.09373375721869026,0.1913173882924561,0.10253399885753722
2018-03-28,-0.023550878133124998,0.16750078339601934,0.05654201664065414
2018-03-29,0.06870317396461467,0.12394776258181435,0.1467528875311957
2018-04-03,0.11013266960408018,0.057739894834625535,0.13256593419264232
2018-04-04,0.18611918551620762,0.029094449589790645,0.11101602492698874
2018-04-06,-0.034327465741115074,-0.05348876693111413,0.060545326053649755
2018-04-09,-0.15366270433803011,-0.03497149220096172,0.06703661989484452
2018-04-10,-0.08636208051413777,-0.011984051096413395,0.15389725685615546
2018-04-11,0.08458803781789608,0.14905039693102645,0.1560243627752712
2018-04-12,0.03228463982825085,0.11295516254244124,0.13407408345512464
2018-04-13,0.10990340692395446,0.16226147305002353,0.12064076785888507
2018-04-16,0.033443944750954774,0.04096442033314763,0.10686377675032423
2018-04-17,0.16606442089410967,0.03797202497255398,0.0946683191806906
