,mean,std,median,p05,p95,coverage
count,921.0,921.0,921.0,921.0,921.0,925.0
mean,0.01719545133709136,0.264583927629185,-0.011216309189617357,-0.22687675383107714,0.3236842650242376,0.7614713534752829
std,0.06504379596984207,0.63596879321089,0.03783861925580732,0.08617824784739929,0.1845214641891276,0.3151747470584009
min,-0.16348758594167695,0.0,-0.17800000000000005,-0.7217614845735777,-0.04815767324417845,0.0
25%,-0.004404729013545934,0.12345512955012754,-0.025926281567648368,-0.26876422125664096,0.20817506849040776,0.5663064833005894
50%,0.006953976501849553,0.1687193106115565,-0.00990099009900991,-0.2141610015536247,0.2887673597066041,0.974950884086444
75%,0.020580037934692597,0.2210051610646039,0.0,-0.1686139074417013,0.386717165348009,0.9837917485265226
max,0.664297978464235,9.681697291920896,0.490066225165563,0.0743166593732117,1.76437813081437,0.9847740667976425
