"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2015-08-10","Equity","600578.XSHG","Long","300 shares","300 shares","7.12","2136","102","6.78","-","0","87","0 shares","5.01%","274265.61"
"2015-08-10","","Cash","","","","","262715.61","","","","","","","","0"
"2015-08-11","Equity","600674.XSHG","Long","300 shares","300 shares","12.97","3891","357","11.78","-","0","144","0 shares","10.1%","274293.61"
"2015-08-11","Equity","600023.XSHG","Long","300 shares","300 shares","9.04","2712","204","8.36","-","0","-45","0 shares","8.13%","274293.61"
"2015-08-11","Equity","600717.XSHG","Long","200 shares","200 shares","14.33","2866","240","13.13","-","0","-44","0 shares","9.14%","274293.61"
"2015-08-11","Equity","600578.XSHG","Long","300 shares","300 shares","7.03","2109","75","6.78","-","0","-27","0 shares","3.69%","274293.61"
"2015-08-11","","Cash","","","","","262715.61","","","","","","","","0"
"2015-08-12","Equity","600674.XSHG","Long","300 shares","300 shares","12.79","3837","303","11.78","-","0","-54","0 shares","8.57%","274080.61"
"2015-08-12","Equity","600023.XSHG","Long","300 shares","300 shares","8.84","2652","144","8.36","-","0","-60","0 shares","5.74%","274080.61"
"2015-08-12","Equity","600717.XSHG","Long","200 shares","200 shares","14.03","2806","180","13.13","-","0","-60","0 shares","6.85%","274080.61"
"2015-08-12","Equity","600578.XSHG","Long","300 shares","300 shares","6.9","2070","36","6.78","-","0","-39","0 shares","1.77%","274080.61"
"2015-08-12","","Cash","","","","","262715.61","","","","","","","","0"
"2015-08-13","Equity","600674.XSHG","Long","4200 shares","300 shares","13.22","55524","2226","12.69","-","0","1923","3900 shares","4.18%","283526.47"
"2015-08-13","Equity","600023.XSHG","Long","6100 shares","300 shares","9.72","59292","4874","8.921","-","0","4730","5800 shares","8.96%","283526.47"
"2015-08-13","Equity","600578.XSHG","Long","7800 shares","300 shares","7.13","55614","1455","6.943","-","0","1419","7500 shares","2.69%","283526.47"
"2015-08-13","Equity","600583.XSHG","Long","4200 shares","0 shares","13.28","55776","1680","12.88","-","0","1680","4200 shares","3.11%","283526.47"
"2015-08-13","Equity","600252.XSHG","Long","2000 shares","0 shares","26.88","53760","-40","26.9","-","0","-40","2000 shares","-0.07%","283526.47"
"2015-08-13","","Cash","","","","","3560.47","","","","","","","","0"
"2015-08-14","Equity","600674.XSHG","Long","1300 shares","1300 shares","13.75","17875","1378","12.69","-","0","689","0 shares","8.35%","285682.99"
"2015-08-14","Equity","600023.XSHG","Long","1900 shares","1900 shares","10.1","19190","2240.13","8.921","-","0","722","0 shares","13.22%","285682.99"
"2015-08-14","Equity","600578.XSHG","Long","2400 shares","2400 shares","7.15","17160","495.69","6.943","-","0","48","0 shares","2.97%","285682.99"
"2015-08-14","Equity","600583.XSHG","Long","1300 shares","1300 shares","13.4","17420","676","12.88","-","0","156","0 shares","4.04%","285682.99"
"2015-08-14","Equity","600252.XSHG","Long","600 shares","600 shares","26.24","15744","-396","26.9","-","0","-384","0 shares","-2.45%","285682.99"
"2015-08-14","","Cash","","","","","198293.99","","","","","","","","0"
"2015-08-17","Equity","600674.XSHG","Long","400 shares","400 shares","13.51","5404","328","12.69","-","0","-96","0 shares","6.46%","285710.67"
"2015-08-17","Equity","600023.XSHG","Long","600 shares","600 shares","10.38","6228","875.41","8.921","-","0","168","0 shares","16.35%","285710.67"
"2015-08-17","Equity","600578.XSHG","Long","800 shares","800 shares","7.37","5896","341.23","6.943","-","0","176","0 shares","6.14%","285710.67"
"2015-08-17","Equity","600583.XSHG","Long","400 shares","400 shares","13.29","5316","164","12.88","-","0","-44","0 shares","3.18%","285710.67"
"2015-08-17","Equity","600252.XSHG","Long","200 shares","200 shares","26.68","5336","-44","26.9","-","0","88","0 shares","-0.82%","285710.67"
"2015-08-17","","Cash","","","","","257530.67","","","","","","","","0"
"2015-08-18","Equity","600674.XSHG","Long","200 shares","200 shares","12.16","2432","-106","12.69","-","0","-270","0 shares","-4.18%","284135.52"
"2015-08-18","Equity","600023.XSHG","Long","200 shares","200 shares","9.34","1868","83.8","8.921","-","0","-208","0 shares","4.7%","284135.52"
"2015-08-18","Equity","600578.XSHG","Long","300 shares","300 shares","6.65","1995","-88.04","6.943","-","0","-216","0 shares","-4.23%","284135.52"
"2015-08-18","Equity","600583.XSHG","Long","200 shares","200 shares","11.96","2392","-184","12.88","-","0","-266","0 shares","-7.14%","284135.52"
"2015-08-18","Equity","600252.XSHG","Long","200 shares","200 shares","24.01","4802","-578","26.9","-","0","-534","0 shares","-10.74%","284135.52"
"2015-08-18","","Cash","","","","","270646.52","","","","","","","","0"
"2015-08-19","Equity","600023.XSHG","Long","200 shares","200 shares","9.47","1894","109.8","8.921","-","0","26","0 shares","6.15%","283941.55"
"2015-08-19","Equity","600578.XSHG","Long","200 shares","200 shares","7.31","1462","73.31","6.943","-","0","132","0 shares","5.28%","283941.55"
"2015-08-19","","Cash","","","","","280585.55","","","","","","","","0"
"2015-08-20","Equity","600023.XSHG","Long","6100 shares","200 shares","9.55","58255","1954.8","9.23","-","0","1845","5900 shares","3.47%","275334.69"
"2015-08-20","Equity","600578.XSHG","Long","7900 shares","200 shares","6.92","54668","-1852.69","7.155","-","0","-1926","7700 shares","-3.28%","275334.69"
"2015-08-20","Equity","600649.XSHG","Long","3600 shares","0 shares","14.52","52272","-3528","15.5","-","0","-3528","3600 shares","-6.32%","275334.69"
"2015-08-20","Equity","002038.XSHE","Long","1300 shares","0 shares","38.48","50024","-4095","41.63","-","0","-4095","1300 shares","-7.57%","275334.69"
"2015-08-20","Equity","600660.XSHG","Long","4100 shares","0 shares","13.61","55801","-820","13.81","-","0","-820","4100 shares","-1.45%","275334.69"
"2015-08-20","","Cash","","","","","4314.69","","","","","","","","0"
"2015-08-21","Equity","600023.XSHG","Long","1900 shares","1900 shares","9.1","17290","-246.13","9.23","-","0","-855","0 shares","-1.4%","267380.39"
"2015-08-21","Equity","600578.XSHG","Long","2400 shares","2400 shares","6.39","15336","-1834.84","7.155","-","0","-1272","0 shares","-10.69%","267380.39"
"2015-08-21","Equity","600660.XSHG","Long","1300 shares","1300 shares","12.8","16640","-1313","13.81","-","0","-1053","0 shares","-7.31%","267380.39"
