Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-08-18,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.83,15498,1344,23.59,-,0,114,0Shares,9.5%,155889.01,9.94%
2022-08-18,,Cash,,,,,140391.01,,,,,,,,0
2022-08-19,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.96,15576,1422,23.59,-,0,78,0Shares,10.05%,155967.01,9.99%
2022-08-19,,Cash,,,,,140391.01,,,,,,,,0
2022-08-22,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.62,15372,1218,23.59,-,0,-204,0Shares,8.61%,155763.01,9.87%
2022-08-22,,Cash,,,,,140391.01,,,,,,,,0
2022-08-23,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.65,15390,1236,23.59,-,0,18,0Shares,8.73%,155781.01,9.88%
2022-08-23,,Cash,,,,,140391.01,,,,,,,,0
2022-08-24,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.24,15144,990,23.59,-,0,-246,0Shares,6.99%,155535.01,9.74%
2022-08-24,,Cash,,,,,140391.01,,,,,,,,0
2022-08-25,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.54,15324,1170,23.59,-,0,180,0Shares,8.27%,155715.01,9.84%
2022-08-25,,Cash,,,,,140391.01,,,,,,,,0
2022-08-26,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.46,15276,1122,23.59,-,0,-48,0Shares,7.93%,157423.99,9.7%
2022-08-26,Stock,领益智造(002600.XSHE),Long,25700Shares,0Shares,5.52,141864,1799,5.45,-,0,1799,25700Shares,1.28%,157423.99,90.12%
2022-08-26,,Cash,,,,,283.99,,,,,,,,0
2022-08-29,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,26.99,16194,2040,23.59,-,0,918,0Shares,14.41%,159369.99,10.16%
2022-08-29,Stock,领益智造(002600.XSHE),Long,25700Shares,25700Shares,5.56,142892,2827,5.45,-,0,1028,0Shares,2.02%,159369.99,89.66%
2022-08-29,,Cash,,,,,283.99,,,,,,,,0
2022-08-30,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,26.2,15720,1566,23.59,-,0,-474,0Shares,11.06%,159152.99,9.88%
2022-08-30,Stock,领益智造(002600.XSHE),Long,25700Shares,25700Shares,5.57,143149,3084,5.45,-,0,257,0Shares,2.2%,159152.99,89.94%
2022-08-30,,Cash,,,,,283.99,,,,,,,,0
2022-08-31,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,24.78,14868,714,23.59,-,0,-852,0Shares,5.04%,156574.9,9.5%
2022-08-31,,Cash,,,,,141706.9,,,,,,,,0
2022-09-01,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,24.62,14772,618,23.59,-,0,-96,0Shares,4.37%,156875.85,9.42%
2022-09-01,Stock,阳光电源(300274.XSHE),Long,600Shares,0Shares,111.8,67080,-162,112.07,-,0,-162,600Shares,-0.24%,156875.85,42.76%
2022-09-01,Stock,科华数据(002335.XSHE),Long,2000Shares,0Shares,35.1,70200,600,34.8,-,0,600,2000Shares,0.86%,156875.85,44.75%
2022-09-01,,Cash,,,,,4823.85,,,,,,,,0
2022-09-02,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,24.09,14454,300,23.59,-,0,-318,0Shares,2.12%,156753.85,9.22%
2022-09-02,Stock,阳光电源(300274.XSHE),Long,600Shares,600Shares,108.66,65196,-2046,112.07,-,0,-1884,0Shares,-3.04%,156753.85,41.59%
2022-09-02,Stock,科华数据(002335.XSHE),Long,2000Shares,2000Shares,36.14,72280,2680,34.8,-,0,2080,0Shares,3.85%,156753.85,46.11%
2022-09-02,,Cash,,,,,4823.85,,,,,,,,0
2022-09-05,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,24.39,14634,480,23.59,-,0,180,0Shares,3.39%,163279.85,8.96%
2022-09-05,Stock,阳光电源(300274.XSHE),Long,600Shares,600Shares,116.97,70182,2940,112.07,-,0,4986,0Shares,4.37%,163279.85,42.98%
2022-09-05,Stock,科华数据(002335.XSHE),Long,2000Shares,2000Shares,36.82,73640,4040,34.8,-,0,1360,0Shares,5.8%,163279.85,45.1%
2022-09-05,,Cash,,,,,4823.85,,,,,,,,0
2022-09-06,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.5,15300,1146,23.59,-,0,666,0Shares,8.1%,173513.93,8.82%
2022-09-06,Stock,阳光电源(300274.XSHE),Long,600Shares,600Shares,122.59,73554,6312,112.07,-,0,3372,0Shares,9.39%,173513.93,42.39%
2022-09-06,,Cash,,,,,84659.93,,,,,,,,0
2022-09-07,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.4,15240,1086,23.59,-,0,-60,0Shares,7.67%,174532.78,8.73%
2022-09-07,,Cash,,,,,159292.78,,,,,,,,0
2022-09-08,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.27,15162,1008,23.59,-,0,-78,0Shares,7.12%,174454.78,8.69%
2022-09-08,,Cash,,,,,159292.78,,,,,,,,0
2022-09-09,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,25.09,15054,900,23.59,-,0,-108,0Shares,6.36%,174346.78,8.63%
2022-09-09,,Cash,,,,,159292.78,,,,,,,,0
2022-09-13,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,24.81,14886,732,23.59,-,0,-168,0Shares,5.17%,174178.78,8.55%
2022-09-13,,Cash,,,,,159292.78,,,,,,,,0
2022-09-14,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,24.15,14490,336,23.59,-,0,-396,0Shares,2.37%,173782.78,8.34%
2022-09-14,,Cash,,,,,159292.78,,,,,,,,0
2022-09-15,Stock,特变电工(600089.XSHG),Long,600Shares,600Shares,23.44,14064,-90,23.59,-,0,-426,0Shares,-0.64%,173356.78,8.11%
2022-09-15,,Cash,,,,,159292.78,,,,,,,,0
2022-09-16,,Cash,,,,,172828.23,,,,,,,,0
2022-09-19,Stock,科华数据(002335.XSHE),Long,1600Shares,0Shares,35.21,56336,176,35.1,-,0,176,1600Shares,0.31%,172132.52,32.73%
