Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-11-22,,Cash,,,,,196794.91,,,,,,,,0
2022-11-23,,Cash,,,,,196794.91,,,,,,,,0
2022-11-24,,Cash,,,,,196794.91,,,,,,,,0
2022-11-25,,Cash,,,,,196794.91,,,,,,,,0
2022-11-28,,Cash,,,,,196794.91,,,,,,,,0
2022-11-29,,Cash,,,,,196794.91,,,,,,,,0
2022-11-30,,Cash,,,,,196794.91,,,,,,,,0
2022-12-01,,Cash,,,,,196794.91,,,,,,,,0
2022-12-02,,Cash,,,,,196794.91,,,,,,,,0
2022-12-05,,Cash,,,,,196794.91,,,,,,,,0
2022-12-06,,Cash,,,,,196794.91,,,,,,,,0
2022-12-07,,Cash,,,,,196794.91,,,,,,,,0
2022-12-08,Stock,阳光电源(300274.XSHE),Long,1800Shares,0Shares,107.22,192996,2286,105.95,-,0,2286,1800Shares,1.2%,199023.7,96.97%
2022-12-08,,Cash,,,,,6027.7,,,,,,,,0
2022-12-09,Stock,阳光电源(300274.XSHE),Long,1800Shares,1800Shares,106.8,192240,1530,105.95,-,0,-756,0Shares,0.8%,198267.7,96.96%
2022-12-09,,Cash,,,,,6027.7,,,,,,,,0
2022-12-12,Stock,阳光电源(300274.XSHE),Long,1800Shares,1800Shares,104.92,188856,-1854,105.95,-,0,-3384,0Shares,-0.97%,194883.7,96.91%
2022-12-12,,Cash,,,,,6027.7,,,,,,,,0
2022-12-13,,Cash,,,,,189712.6,,,,,,,,0
2022-12-14,,Cash,,,,,189712.6,,,,,,,,0
2022-12-15,Stock,阳光电源(300274.XSHE),Long,1900Shares,0Shares,100.33,190627,3211,98.64,-,0,3211,1900Shares,1.71%,192867.37,98.84%
2022-12-15,,Cash,,,,,2240.37,,,,,,,,0
2022-12-16,Stock,阳光电源(300274.XSHE),Long,1900Shares,1900Shares,98,186200,-1216,98.64,-,0,-4427,0Shares,-0.65%,188440.37,98.81%
2022-12-16,,Cash,,,,,2240.37,,,,,,,,0
2022-12-19,Stock,阳光电源(300274.XSHE),Long,1900Shares,1900Shares,97.31,184889,-2527,98.64,-,0,-1311,0Shares,-1.35%,187129.37,98.8%
2022-12-19,,Cash,,,,,2240.37,,,,,,,,0
2022-12-20,Stock,阳光电源(300274.XSHE),Long,1900Shares,1900Shares,97.15,184585,-2831,98.64,-,0,-304,0Shares,-1.51%,186854.37,98.79%
2022-12-20,Stock,三夫户外(002780.XSHE),Long,100Shares,0Shares,12.63,1263,34,12.29,-,0,34,100Shares,2.77%,186854.37,0.68%
2022-12-20,,Cash,,,,,1006.37,,,,,,,,0
2022-12-21,Stock,三夫户外(002780.XSHE),Long,100Shares,100Shares,12.61,1261,32,12.29,-,0,-2,0Shares,2.6%,183196.86,0.69%
2022-12-21,,Cash,,,,,181935.86,,,,,,,,0
2022-12-22,Stock,三夫户外(002780.XSHE),Long,100Shares,100Shares,12.18,1218,-11,12.29,-,0,-43,0Shares,-0.9%,183153.86,0.67%
2022-12-22,,Cash,,,,,181935.86,,,,,,,,0
2022-12-23,Stock,数据港(603881.XSHG),Long,7700Shares,0Shares,25.08,193116,12166,23.5,-,0,12166,7700Shares,6.72%,195227.39,98.92%
2022-12-23,,Cash,,,,,2111.39,,,,,,,,0
2022-12-26,Stock,数据港(603881.XSHG),Long,7700Shares,7700Shares,24.7,190190,9240,23.5,-,0,-2926,0Shares,5.11%,192301.39,98.9%
2022-12-26,,Cash,,,,,2111.39,,,,,,,,0
2022-12-27,Stock,数据港(603881.XSHG),Long,7700Shares,7700Shares,24.56,189112,8162,23.5,-,0,-1078,0Shares,4.51%,191223.39,98.9%
2022-12-27,,Cash,,,,,2111.39,,,,,,,,0
2022-12-28,Stock,数据港(603881.XSHG),Long,7700Shares,7700Shares,23.78,183106,2156,23.5,-,0,-6006,0Shares,1.19%,185217.39,98.86%
2022-12-28,,Cash,,,,,2111.39,,,,,,,,0
2022-12-29,Stock,数据港(603881.XSHG),Long,7700Shares,7700Shares,23.62,181874,924,23.5,-,0,-1232,0Shares,0.51%,183985.39,98.85%
2022-12-29,,Cash,,,,,2111.39,,,,,,,,0
2022-12-30,Stock,数据港(603881.XSHG),Long,7700Shares,7700Shares,23.53,181181,231,23.5,-,0,-693,0Shares,0.13%,183292.39,98.85%
2022-12-30,,Cash,,,,,2111.39,,,,,,,,0
2023-01-03,Stock,数据港(603881.XSHG),Long,7700Shares,7700Shares,25.88,199276,18326,23.5,-,0,18095,0Shares,10.13%,201387.39,98.95%
2023-01-03,,Cash,,,,,2111.39,,,,,,,,0
2023-01-04,,Cash,,,,,212740.21,,,,,,,,0
2023-01-05,,Cash,,,,,212740.21,,,,,,,,0
2023-01-06,,Cash,,,,,212740.21,,,,,,,,0
2023-01-09,,Cash,,,,,212740.21,,,,,,,,0
2023-01-10,,Cash,,,,,212740.21,,,,,,,,0
2023-01-11,,Cash,,,,,212740.21,,,,,,,,0
2023-01-12,,Cash,,,,,212740.21,,,,,,,,0
2023-01-13,,Cash,,,,,212740.21,,,,,,,,0
2023-01-16,,Cash,,,,,212740.21,,,,,,,,0
2023-01-17,,Cash,,,,,212740.21,,,,,,,,0
2023-01-18,,Cash,,,,,212740.21,,,,,,,,0
2023-01-19,,Cash,,,,,212740.21,,,,,,,,0
2023-01-20,,Cash,,,,,212740.21,,,,,,,,0
2023-01-30,,Cash,,,,,212740.21,,,,,,,,0
2023-01-31,,Cash,,,,,212740.21,,,,,,,,0
2023-02-01,,Cash,,,,,212740.21,,,,,,,,0
2023-02-02,Stock,中国中免(601888.XSHG),Long,900Shares,0Shares,215.22,193698,1476,213.58,-,0,1476,900Shares,0.77%,214158.55,90.45%
2023-02-02,,Cash,,,,,20460.55,,,,,,,,0
2023-02-03,Stock,中国中免(601888.XSHG),Long,900Shares,900Shares,210.96,189864,-2358,213.58,-,0,-3834,0Shares,-1.23%,210324.55,90.27%
2023-02-03,,Cash,,,,,20460.55,,,,,,,,0
2023-02-06,,Cash,,,,,204936.41,,,,,,,,0
2023-02-07,Stock,紫金矿业(601899.XSHG),Long,17800Shares,0Shares,11.56,205768,1958,11.45,-,0,1958,17800Shares,0.96%,206833.27,99.48%
2023-02-07,,Cash,,,,,1065.27,,,,,,,,0
2023-02-08,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.37,202386,-1424,11.45,-,0,-3382,0Shares,-0.7%,203451.27,99.48%
2023-02-08,,Cash,,,,,1065.27,,,,,,,,0
2023-02-09,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.4,202920,-890,11.45,-,0,534,0Shares,-0.44%,203985.27,99.48%
2023-02-09,,Cash,,,,,1065.27,,,,,,,,0
2023-02-10,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.19,199182,-4628,11.45,-,0,-3738,0Shares,-2.27%,200247.27,99.47%
2023-02-10,,Cash,,,,,1065.27,,,,,,,,0
2023-02-13,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.3,201140,-2670,11.45,-,0,1958,0Shares,-1.31%,202205.27,99.47%
2023-02-13,,Cash,,,,,1065.27,,,,,,,,0
2023-02-14,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.57,205946,2136,11.45,-,0,4806,0Shares,1.05%,207011.27,99.49%
2023-02-14,,Cash,,,,,1065.27,,,,,,,,0
2023-02-15,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.57,205946,2136,11.45,-,0,0,0Shares,1.05%,207011.27,99.49%
2023-02-15,,Cash,,,,,1065.27,,,,,,,,0
2023-02-16,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.27,200606,-3204,11.45,-,0,-5340,0Shares,-1.57%,201671.27,99.47%
2023-02-16,,Cash,,,,,1065.27,,,,,,,,0
2023-02-17,Stock,紫金矿业(601899.XSHG),Long,17800Shares,17800Shares,11.36,202208,-1602,11.45,-,0,1602,0Shares,-0.79%,203273.27,99.48%
2023-02-17,,Cash,,,,,1065.27,,,,,,,,0
2023-02-20,,Cash,,,,,207099.08,,,,,,,,0
2023-02-21,,Cash,,,,,207099.08,,,,,,,,0
2023-02-22,,Cash,,,,,207099.08,,,,,,,,0
2023-02-23,,Cash,,,,,207099.08,,,,,,,,0
2023-02-24,,Cash,,,,,207099.08,,,,,,,,0
2023-02-27,,Cash,,,,,207099.08,,,,,,,,0
2023-02-28,,Cash,,,,,207099.08,,,,,,,,0
2023-03-01,,Cash,,,,,207099.08,,,,,,,,0
2023-03-02,,Cash,,,,,207099.08,,,,,,,,0
2023-03-03,,Cash,,,,,207099.08,,,,,,,,0
2023-03-06,,Cash,,,,,207099.08,,,,,,,,0
2023-03-07,,Cash,,,,,207099.08,,,,,,,,0
2023-03-08,,Cash,,,,,207099.08,,,,,,,,0
2023-03-09,,Cash,,,,,207099.08,,,,,,,,0
2023-03-10,,Cash,,,,,207099.08,,,,,,,,0
2023-03-13,,Cash,,,,,207099.08,,,,,,,,0
2023-03-14,,Cash,,,,,207099.08,,,,,,,,0
2023-03-15,,Cash,,,,,207099.08,,,,,,,,0
2023-03-16,,Cash,,,,,207099.08,,,,,,,,0
2023-03-17,,Cash,,,,,207099.08,,,,,,,,0
2023-03-20,Stock,阳光电源(300274.XSHE),Long,700Shares,0Shares,99.7,69790,3213,95.11,-,0,3213,700Shares,4.83%,224560.18,31.08%
2023-03-20,Stock,盛弘股份(300693.XSHE),Long,1200Shares,0Shares,61.54,73848,8052,54.83,-,0,8052,1200Shares,12.24%,224560.18,32.89%
2023-03-20,Stock,科华数据(002335.XSHE),Long,1700Shares,0Shares,43.26,73542,6256,39.58,-,0,6256,1700Shares,9.3%,224560.18,32.75%
2023-03-20,,Cash,,,,,7380.18,,,,,,,,0
2023-03-21,Stock,阳光电源(300274.XSHE),Long,700Shares,700Shares,101.57,71099,4522,95.11,-,0,1309,0Shares,6.79%,229768.06,30.94%
2023-03-21,Stock,科华数据(002335.XSHE),Long,1700Shares,1700Shares,44.2,75140,7854,39.58,-,0,1598,0Shares,11.67%,229768.06,32.7%
2023-03-21,,Cash,,,,,83529.06,,,,,,,,0
2023-03-22,Stock,阳光电源(300274.XSHE),Long,700Shares,700Shares,102.2,71540,4963,95.11,-,0,441,0Shares,7.45%,230209.06,31.08%
2023-03-22,Stock,科华数据(002335.XSHE),Long,1700Shares,1700Shares,44.2,75140,7854,39.58,-,0,0,0Shares,11.67%,230209.06,32.64%
2023-03-22,,Cash,,,,,83529.06,,,,,,,,0
2023-03-23,,Cash,,,,,231179.86,,,,,,,,0
2023-03-24,,Cash,,,,,231179.86,,,,,,,,0
2023-03-27,,Cash,,,,,231179.86,,,,,,,,0
2023-03-28,Stock,中国化学(601117.XSHG),Long,23900Shares,0Shares,9.8,234220,3824,9.64,-,0,3824,23900Shares,1.66%,234934.74,99.7%
2023-03-28,,Cash,,,,,714.74,,,,,,,,0
2023-03-29,,Cash,,,,,222695.79,,,,,,,,0
2023-03-30,Stock,中国化学(601117.XSHG),Long,11900Shares,0Shares,9.26,110194,-357,9.29,-,0,-357,11900Shares,-0.32%,228543.88,48.22%
2023-03-30,Stock,紫光国微(002049.XSHE),Long,1000Shares,0Shares,112.08,112080,6270,105.81,-,0,6270,1000Shares,5.93%,228543.88,49.04%
2023-03-30,,Cash,,,,,6269.88,,,,,,,,0
2023-03-31,Stock,中国化学(601117.XSHG),Long,11900Shares,11900Shares,9.28,110432,-119,9.29,-,0,238,0Shares,-0.11%,226439.04,48.77%
2023-03-31,,Cash,,,,,116007.04,,,,,,,,0
2023-04-03,Stock,中国化学(601117.XSHG),Long,11900Shares,11900Shares,9.38,111622,1071,9.29,-,0,1190,0Shares,0.97%,227629.04,49.04%
2023-04-03,,Cash,,,,,116007.04,,,,,,,,0
2023-04-04,Stock,中国化学(601117.XSHG),Long,11900Shares,11900Shares,9.85,117215,6664,9.29,-,0,5593,0Shares,6.03%,233222.04,50.26%
2023-04-04,,Cash,,,,,116007.04,,,,,,,,0
2023-04-06,Stock,中国化学(601117.XSHG),Long,11900Shares,11900Shares,9.87,117453,6902,9.29,-,0,238,0Shares,6.24%,236181.84,49.73%
2023-04-06,Stock,科华数据(002335.XSHE),Long,2600Shares,0Shares,44.91,116766,2756,43.85,-,0,2756,2600Shares,2.42%,236181.84,49.44%
2023-04-06,,Cash,,,,,1962.84,,,,,,,,0
2023-04-07,Stock,中国化学(601117.XSHG),Long,11900Shares,11900Shares,9.66,114954,4403,9.29,-,0,-2499,0Shares,3.98%,230042.84,49.97%
2023-04-07,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,43.51,113126,-884,43.85,-,0,-3640,0Shares,-0.78%,230042.84,49.18%
2023-04-07,,Cash,,,,,1962.84,,,,,,,,0
2023-04-10,Stock,中国化学(601117.XSHG),Long,11900Shares,11900Shares,9.82,116858,6307,9.29,-,0,1904,0Shares,5.71%,234364.84,49.86%
2023-04-10,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,44.44,115544,1534,43.85,-,0,2418,0Shares,1.35%,234364.84,49.3%
2023-04-10,,Cash,,,,,1962.84,,,,,,,,0
2023-04-11,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,44.25,115050,1040,43.85,-,0,-494,0Shares,0.91%,232887.01,49.4%
2023-04-11,,Cash,,,,,117837.01,,,,,,,,0
2023-04-12,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,43.63,113438,-572,43.85,-,0,-1612,0Shares,-0.5%,231275.01,49.05%
2023-04-12,,Cash,,,,,117837.01,,,,,,,,0
2023-04-13,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,43.07,111982,-2028,43.85,-,0,-1456,0Shares,-1.78%,229819.01,48.73%
2023-04-13,,Cash,,,,,117837.01,,,,,,,,0
2023-04-14,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,45.12,117312,3302,43.85,-,0,5330,0Shares,2.9%,235149.01,49.89%
2023-04-14,,Cash,,,,,117837.01,,,,,,,,0
2023-04-17,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,43,111800,-2210,43.85,-,0,-5512,0Shares,-1.94%,229637.01,48.69%
2023-04-17,,Cash,,,,,117837.01,,,,,,,,0
2023-04-18,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,43.68,113568,-442,43.85,-,0,1768,0Shares,-0.39%,231405.01,49.08%
2023-04-18,,Cash,,,,,117837.01,,,,,,,,0
2023-04-19,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,46.6,121160,7150,43.85,-,0,7592,0Shares,6.27%,238441.81,50.81%
2023-04-19,Stock,三夫户外(002780.XSHE),Long,10400Shares,0Shares,11.23,116792,-520,11.28,-,0,-520,10400Shares,-0.44%,238441.81,48.98%
2023-04-19,,Cash,,,,,489.81,,,,,,,,0
2023-04-20,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,45.99,119574,5564,43.85,-,0,-1586,0Shares,4.88%,234463.81,51%
2023-04-20,Stock,三夫户外(002780.XSHE),Long,10400Shares,10400Shares,11,114400,-2912,11.28,-,0,-2392,0Shares,-2.48%,234463.81,48.79%
2023-04-20,,Cash,,,,,489.81,,,,,,,,0
2023-04-21,Stock,科华数据(002335.XSHE),Long,2600Shares,2600Shares,44.06,114556,546,43.85,-,0,-5018,0Shares,0.48%,227842.98,50.28%
2023-04-21,,Cash,,,,,113286.98,,,,,,,,0
2023-04-24,,Cash,,,,,223253.84,,,,,,,,0
2023-04-25,Stock,紫光国微(002049.XSHE),Long,1000Shares,0Shares,104.5,104500,-500,105,-,0,-500,1000Shares,-0.48%,222597.16,46.95%
2023-04-25,Stock,中国中免(601888.XSHG),Long,600Shares,0Shares,161.95,97170,-96,162.11,-,0,-96,600Shares,-0.1%,222597.16,43.65%
2023-04-25,,Cash,,,,,20927.16,,,,,,,,0
2023-04-26,Stock,紫光国微(002049.XSHE),Long,1000Shares,1000Shares,105.2,105200,200,105,-,0,700,0Shares,0.19%,223893,46.99%
2023-04-26,Stock,中国中免(601888.XSHG),Long,600Shares,600Shares,162,97200,-66,162.11,-,0,30,0Shares,-0.07%,223893,43.41%
2023-04-26,Stock,巨化股份(600160.XSHG),Long,1300Shares,0Shares,16.24,21112,572,15.8,-,0,572,1300Shares,2.78%,223893,9.43%
2023-04-26,,Cash,,,,,381,,,,,,,,0
2023-04-27,Stock,紫光国微(002049.XSHE),Long,1000Shares,1000Shares,105.65,105650,650,105,-,0,450,0Shares,0.62%,223687,47.23%
2023-04-27,Stock,中国中免(601888.XSHG),Long,600Shares,600Shares,161.6,96960,-306,162.11,-,0,-240,0Shares,-0.31%,223687,43.35%
2023-04-27,Stock,巨化股份(600160.XSHG),Long,1300Shares,1300Shares,15.92,20696,156,15.8,-,0,-416,0Shares,0.76%,223687,9.25%
2023-04-27,,Cash,,,,,381,,,,,,,,0
2023-04-28,Stock,紫光国微(002049.XSHE),Long,1000Shares,1000Shares,106,106000,1000,105,-,0,350,0Shares,0.95%,222703.31,47.6%
2023-04-28,Stock,中国中免(601888.XSHG),Long,600Shares,600Shares,160.98,96588,-678,162.11,-,0,-372,0Shares,-0.7%,222703.31,43.37%
2023-04-28,,Cash,,,,,20115.31,,,,,,,,0
2023-05-04,Stock,紫光国微(002049.XSHE),Long,1000Shares,1000Shares,102.91,102910,-2090,105,-,0,-3090,0Shares,-1.99%,215131.42,47.84%
2023-05-04,,Cash,,,,,112221.42,,,,,,,,0
2023-05-05,,Cash,,,,,213589.47,,,,,,,,0
2023-05-08,,Cash,,,,,213589.47,,,,,,,,0
2023-05-09,,Cash,,,,,213589.47,,,,,,,,0
2023-05-10,,Cash,,,,,213589.47,,,,,,,,0
2023-05-11,,Cash,,,,,213589.47,,,,,,,,0
2023-05-12,,Cash,,,,,213589.47,,,,,,,,0
2023-05-15,Stock,中国化学(601117.XSHG),Long,22900Shares,0Shares,9.41,215489,2519,9.3,-,0,2519,22900Shares,1.18%,216044.58,99.74%
2023-05-15,,Cash,,,,,555.58,,,,,,,,0
2023-05-16,Stock,中国化学(601117.XSHG),Long,22900Shares,22900Shares,9.34,213886,916,9.3,-,0,-1603,0Shares,0.43%,214441.58,99.74%
2023-05-16,,Cash,,,,,555.58,,,,,,,,0
2023-05-17,Stock,中国化学(601117.XSHG),Long,22900Shares,22900Shares,9.25,211825,-1145,9.3,-,0,-2061,0Shares,-0.54%,212380.58,99.74%
2023-05-17,,Cash,,,,,555.58,,,,,,,,0
2023-05-18,Stock,中国化学(601117.XSHG),Long,22900Shares,22900Shares,9.2,210680,-2290,9.3,-,0,-1145,0Shares,-1.08%,211235.58,99.74%
2023-05-18,,Cash,,,,,555.58,,,,,,,,0
2023-05-19,Stock,中国化学(601117.XSHG),Long,22900Shares,22900Shares,9.05,207245,-5725,9.3,-,0,-3435,0Shares,-2.69%,207800.58,99.73%
2023-05-19,,Cash,,,,,555.58,,,,,,,,0
2023-05-22,,Cash,,,,,205244.14,,,,,,,,0
2023-05-23,,Cash,,,,,205244.14,,,,,,,,0
2023-05-24,,Cash,,,,,205244.14,,,,,,,,0
2023-05-25,,Cash,,,,,205244.14,,,,,,,,0
2023-05-26,Stock,三七互娱(002555.XSHE),Long,7300Shares,0Shares,28.53,208269,4818,27.87,-,0,4818,7300Shares,2.37%,210001.1,99.18%
2023-05-26,,Cash,,,,,1732.1,,,,,,,,0
2023-05-29,Stock,三七互娱(002555.XSHE),Long,7300Shares,7300Shares,29.4,214620,11169,27.87,-,0,6351,0Shares,5.49%,216352.1,99.2%
2023-05-29,,Cash,,,,,1732.1,,,,,,,,0
2023-05-30,,Cash,,,,,223873.94,,,,,,,,0
2023-05-31,Stock,三夫户外(002780.XSHE),Long,17200Shares,0Shares,13.04,224288,860,12.99,-,0,860,17200Shares,0.38%,224666.91,99.83%
2023-05-31,,Cash,,,,,378.91,,,,,,,,0
2023-06-01,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.52,232544,9116,12.99,-,0,8256,0Shares,4.08%,232922.91,99.84%
2023-06-01,,Cash,,,,,378.91,,,,,,,,0
2023-06-02,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.35,229620,6192,12.99,-,0,-2924,0Shares,2.77%,229998.91,99.84%
2023-06-02,,Cash,,,,,378.91,,,,,,,,0
2023-06-05,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.84,238048,14620,12.99,-,0,8428,0Shares,6.54%,238426.91,99.84%
2023-06-05,,Cash,,,,,378.91,,,,,,,,0
2023-06-06,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.81,237532,14104,12.99,-,0,-516,0Shares,6.31%,237910.91,99.84%
2023-06-06,,Cash,,,,,378.91,,,,,,,,0
2023-06-07,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.83,237876,14448,12.99,-,0,344,0Shares,6.47%,238254.91,99.84%
2023-06-07,,Cash,,,,,378.91,,,,,,,,0
2023-06-08,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.6,233920,10492,12.99,-,0,-3956,0Shares,4.7%,234298.91,99.84%
2023-06-08,,Cash,,,,,378.91,,,,,,,,0
2023-06-09,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.85,238220,14792,12.99,-,0,4300,0Shares,6.62%,238598.91,99.84%
2023-06-09,,Cash,,,,,378.91,,,,,,,,0
2023-06-12,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.92,239424,15996,12.99,-,0,1204,0Shares,7.16%,239802.91,99.84%
2023-06-12,,Cash,,,,,378.91,,,,,,,,0
2023-06-13,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.8,237360,13932,12.99,-,0,-2064,0Shares,6.24%,237738.91,99.84%
2023-06-13,,Cash,,,,,378.91,,,,,,,,0
2023-06-14,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.78,237016,13588,12.99,-,0,-344,0Shares,6.08%,237394.91,99.84%
2023-06-14,,Cash,,,,,378.91,,,,,,,,0
2023-06-15,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.51,232372,8944,12.99,-,0,-4644,0Shares,4%,232750.91,99.84%
2023-06-15,,Cash,,,,,378.91,,,,,,,,0
2023-06-16,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13.34,229448,6020,12.99,-,0,-2924,0Shares,2.69%,229826.91,99.84%
2023-06-16,,Cash,,,,,378.91,,,,,,,,0
2023-06-19,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,13,223600,172,12.99,-,0,-5848,0Shares,0.08%,223978.91,99.83%
2023-06-19,,Cash,,,,,378.91,,,,,,,,0
2023-06-20,Stock,三夫户外(002780.XSHE),Long,17200Shares,17200Shares,12.84,220848,-2580,12.99,-,0,-2752,0Shares,-1.15%,221226.91,99.83%
2023-06-20,,Cash,,,,,378.91,,,,,,,,0
2023-06-21,,Cash,,,,,216817.18,,,,,,,,0
2023-06-26,,Cash,,,,,216817.18,,,,,,,,0
2023-06-27,,Cash,,,,,216817.18,,,,,,,,0
2023-06-28,Stock,三七互娱(002555.XSHE),Long,6900Shares,0Shares,32.85,226665,10005,31.4,-,0,10005,6900Shares,4.62%,226757.18,99.96%
2023-06-28,,Cash,,,,,92.18,,,,,,,,0
2023-06-29,,Cash,,,,,234800.66,,,,,,,,0
2023-06-30,,Cash,,,,,234800.66,,,,,,,,0
2023-07-03,,Cash,,,,,234800.66,,,,,,,,0
2023-07-04,,Cash,,,,,234800.66,,,,,,,,0
2023-07-05,,Cash,,,,,234800.66,,,,,,,,0
2023-07-06,,Cash,,,,,234800.66,,,,,,,,0
2023-07-07,,Cash,,,,,234800.66,,,,,,,,0
2023-07-10,,Cash,,,,,234800.66,,,,,,,,0
2023-07-11,,Cash,,,,,234800.66,,,,,,,,0
2023-07-12,,Cash,,,,,234800.66,,,,,,,,0
2023-07-13,,Cash,,,,,234800.66,,,,,,,,0
2023-07-14,,Cash,,,,,234800.66,,,,,,,,0
2023-07-17,,Cash,,,,,234800.66,,,,,,,,0
2023-07-18,,Cash,,,,,234800.66,,,,,,,,0
2023-07-19,,Cash,,,,,234800.66,,,,,,,,0
2023-07-20,,Cash,,,,,234800.66,,,,,,,,0
2023-07-21,,Cash,,,,,234800.66,,,,,,,,0
2023-07-24,,Cash,,,,,234800.66,,,,,,,,0
2023-07-25,Stock,盛弘股份(300693.XSHE),Long,6200Shares,0Shares,36.77,227974,-4898,37.56,-,0,-4898,6200Shares,-2.1%,229832.8,99.19%
2023-07-25,,Cash,,,,,1858.8,,,,,,,,0
2023-07-26,Stock,盛弘股份(300693.XSHE),Long,6200Shares,6200Shares,36.52,226424,-6448,37.56,-,0,-1550,0Shares,-2.77%,228282.8,99.19%
2023-07-26,,Cash,,,,,1858.8,,,,,,,,0
2023-07-27,Stock,盛弘股份(300693.XSHE),Long,6200Shares,6200Shares,36.83,228346,-4526,37.56,-,0,1922,0Shares,-1.94%,230204.8,99.19%
2023-07-27,,Cash,,,,,1858.8,,,,,,,,0
2023-07-28,Stock,盛弘股份(300693.XSHE),Long,6200Shares,6200Shares,37.15,230330,-2542,37.56,-,0,1984,0Shares,-1.09%,232188.8,99.2%
2023-07-28,,Cash,,,,,1858.8,,,,,,,,0
2023-07-31,Stock,盛弘股份(300693.XSHE),Long,6200Shares,6200Shares,37.29,231198,-1674,37.56,-,0,868,0Shares,-0.72%,233056.8,99.2%
2023-07-31,,Cash,,,,,1858.8,,,,,,,,0
2023-08-01,Stock,盛弘股份(300693.XSHE),Long,6200Shares,6200Shares,36.59,226858,-6014,37.56,-,0,-4340,0Shares,-2.58%,228716.8,99.19%
2023-08-01,,Cash,,,,,1858.8,,,,,,,,0
2023-08-02,,Cash,,,,,226688.14,,,,,,,,0
2023-08-03,,Cash,,,,,226688.14,,,,,,,,0
2023-08-04,,Cash,,,,,226688.14,,,,,,,,0
2023-08-07,,Cash,,,,,226688.14,,,,,,,,0
2023-08-08,,Cash,,,,,226688.14,,,,,,,,0
2023-08-09,,Cash,,,,,226688.14,,,,,,,,0
2023-08-10,,Cash,,,,,226688.14,,,,,,,,0
2023-08-11,,Cash,,,,,226688.14,,,,,,,,0
2023-08-14,,Cash,,,,,226688.14,,,,,,,,0
2023-08-15,,Cash,,,,,226688.14,,,,,,,,0
2023-08-16,,Cash,,,,,226688.14,,,,,,,,0
2023-08-17,,Cash,,,,,226688.14,,,,,,,,0
2023-08-18,,Cash,,,,,226688.14,,,,,,,,0
2023-08-21,,Cash,,,,,226688.14,,,,,,,,0
2023-08-22,,Cash,,,,,226688.14,,,,,,,,0
2023-08-23,,Cash,,,,,226688.14,,,,,,,,0
2023-08-24,Stock,阳光电源(300274.XSHE),Long,2300Shares,0Shares,99.3,228390,6670,96.4,-,0,6670,2300Shares,3.01%,233291.62,97.9%
2023-08-24,,Cash,,,,,4901.62,,,,,,,,0
2023-08-25,Stock,阳光电源(300274.XSHE),Long,2300Shares,2300Shares,98.18,225814,4094,96.4,-,0,-2576,0Shares,1.85%,230715.62,97.88%
2023-08-25,,Cash,,,,,4901.62,,,,,,,,0
2023-08-28,Stock,阳光电源(300274.XSHE),Long,2300Shares,2300Shares,100.2,230460,8740,96.4,-,0,4646,0Shares,3.94%,235361.62,97.92%
2023-08-28,,Cash,,,,,4901.62,,,,,,,,0
2023-08-29,Stock,阳光电源(300274.XSHE),Long,2300Shares,2300Shares,102.38,235474,13754,96.4,-,0,5014,0Shares,6.2%,240375.62,97.96%
2023-08-29,,Cash,,,,,4901.62,,,,,,,,0
