,gross_return,funding_return,turnover,cost_return,net_return,nav,signal_spread_return
2021-01-01,0.0,-0.0,0.0,0.0,0.0,1.0,0.046001786467996686
2021-01-02,-0.00323447808626681,-4.7248190476190477e-05,0.09523809523809523,3.809523809523809e-05,-0.0033198215148382386,0.9966801784851618,0.7659284757241834
2021-01-03,0.0013375856887271097,2.612557142857141e-05,0.09523809523809523,3.809523809523809e-05,0.001325616022060443,0.9980013936986318,0.8325245488940596
2021-01-04,0.005797174628534624,-0.000273160761904762,0.09523809523809523,3.809523809523809e-05,0.005485918628534624,1.0034763481356266,0.7683768765574684
2021-01-05,-0.0002327692556533464,-9.303914285714289e-05,0.09523809523809523,3.809523809523809e-05,-0.0003639036366057274,1.003111179443292,0.7822791863407978
2021-01-06,0.019571213048127024,-6.222738095238136e-06,0.09523809523809523,3.809523809523809e-05,0.01952689507193655,1.0226988261897678,0.8708601093013513
2021-01-07,0.0367561641989546,-0.0003506079761904764,0.09523809523809526,3.8095238095238106e-05,0.03636746098466888,1.059891785850291,0.5844745769043325
2021-01-08,0.021790499928635396,-0.0001789576428571429,0.09523809523809526,3.8095238095238106e-05,0.021573447047683016,1.0827573051686064,0.8538118702994275
2021-01-09,0.0020662516894836124,-9.692157142857162e-05,0.09523809523809522,3.809523809523809e-05,0.0019312348799598025,1.0848483638428792,0.029724266426563117
2021-01-10,-0.020852283472210964,-0.000552224380952381,0.09523809523809523,3.809523809523809e-05,-0.02144260309125858,1.0615863909627952,0.9292575082003195
2021-01-11,-0.01094480753599118,-0.00025684533333333333,0.09523809523809522,3.809523809523809e-05,-0.011239748107419751,1.0496544273341084,0.8908205843536977
2021-01-12,0.025645004495052488,-0.0001052042619047619,0.09523809523809526,3.8095238095238106e-05,0.02550170499505249,1.0764224048867337,0.0928415980163706
2021-01-13,-0.005472569651745187,-4.500276190476191e-05,0.09523809523809525,3.80952380952381e-05,-0.005555667651745188,1.0704421597522906,-0.14031096593896164
2021-01-14,0.01482701984688824,-0.00012426542857142862,0.09523809523809522,3.809523809523809e-05,0.014664659180221574,1.0861398291971982,0.8281442659767904
2021-01-15,0.013248168200465456,-0.00040137902380952395,0.09523809523809527,3.809523809523811e-05,0.012808693938560694,1.1000518618438657,1.1520182744672685
2021-01-16,-0.007627493190794041,-0.0003978675476190477,0.09523809523809518,3.809523809523807e-05,-0.008063455976508326,1.0911816420840117,0.6934522217191553
2021-01-17,0.016481407181020296,-0.00016365992857142868,0.09523809523809529,3.809523809523812e-05,0.016279652014353628,1.1089456995015903,2.0648798849699865
2021-01-18,-0.020640761826593617,0.00018384214285714257,0.09523809523809523,3.809523809523809e-05,-0.02049501492183171,1.086217840842804,1.8382407978693596
