date,selected_symbols
2025-04-23,"00297,00991,01086,01114,01277,02001,03868,09983"
2025-04-24,"00297,00991,01086,01114,01277,02255,03868,09983"
2025-04-25,"00297,00991,01086,01114,01137,01277,02255,03868,09983"
2025-04-28,"00297,00991,01086,01114,01137,01277,02255,03868,09983"
2025-04-29,"00297,00991,01086,01114,01137,01277,02255,03868,09983"
2025-04-30,"00297,00991,01086,01114,01137,01277,02255,03868,09983"
2025-05-02,"00297,00991,01086,01114,01137,01277,02255,03868,09983"
2025-05-06,"00297,00991,01086,01114,01137,01277,02255,03868,09983"
2025-05-07,"00297,00991,01114,01137,01277,02255,03868,09983"
2025-05-08,"00297,00991,01114,01137,01277,02255,03868,09983"
2025-05-09,"00297,00991,01114,01137,01277,02255,03868,09983"
2025-05-12,"00297,00991,01114,01137,02255,03868,09983"
2025-05-13,"00297,00991,01114,01137,02255,03868,09983"
2025-05-14,"00297,00991,01114,01137,02255,09983"
2025-05-15,"00297,00991,01114,01137,02255,09983"
2025-05-16,"00297,00732,00991,01114,01137,01788,02255,02866,09983"
2025-05-19,"00732,00991,01114,01137,01788,02866,09983"
2025-05-20,"00732,00991,01114,01137,01788,02866,09983"
2025-05-21,"00732,01114,01137,01788,02866,09983"
2025-05-22,"00732,01114,01137,01788,02866,09983"
2025-05-23,"00732,01114,01137,01788,02866,09983"
2025-05-26,"00732,01114,01137,01788,02866,09983"
2025-05-27,"00732,01114,01137,01788,02866,09983"
2025-05-28,"00732,01114,01137,01788,02866,09983"
2025-05-29,"00732,01114,01137,01788,02866,09983"
2025-05-30,"00732,01114,01137,01788,02866,09983"
2025-06-02,"00732,01114,01137,01788,02866,09983"
2025-06-03,"00732,01114,01137,01788,02866,09983"
2025-06-04,"00732,01114,01137,01788,02866,09983"
2025-06-05,"00732,01114,01137,01788,02866,09983"
2025-06-06,"00297,00732,01114,01137,01508,01606,01788,02866,09983"
2025-06-09,"00297,00732,01114,01137,01508,01606,01788,02866,09983"
2025-06-10,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-11,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-12,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-13,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-16,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-17,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-18,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-19,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-20,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-23,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-24,"00297,00732,01114,01137,01508,01606,01788,09983"
2025-06-25,"00297,01114,01137,01508,01606,01788,09983"
2025-06-26,"00297,01114,01137,01508,01606,01788,09983"
2025-06-27,"00297,00604,01114,01137,01508,01905,02866,03877,09983"
2025-06-30,"00297,00604,01114,01137,01905,02866,03877,09983"
2025-07-02,"00604,01137,01905,02866,03877,09983"
2025-07-03,"00604,01137,01905,02866,03877,09983"
2025-07-04,"00604,01137,01905,02866,03877,09983"
2025-07-07,"00604,01137,01905,02866,03877,09983"
2025-07-08,"00604,01137,01905,01916,02866,03877,09983"
2025-07-09,"00604,01137,01905,01916,02866,03877,09983"
2025-07-10,"00604,01137,01905,01916,02866,03877,09983"
2025-07-11,"00604,01137,01905,01916,02866,03877,09983"
2025-07-14,"00604,01137,01905,01916,02866,03877,09983"
2025-07-15,"00604,01137,01905,01916,02866,03877,09983"
2025-07-16,"00604,01137,01905,01916,02866,03877,09983"
2025-07-17,"00604,01137,01905,01916,02866,03877,09983"
2025-07-18,"00604,01137,01905,01916,02866,03877,09983"
2025-07-21,"00604,00732,01137,01905,01916,02866,03380,03800,03877,09983"
2025-07-22,"00405,00604,00732,01137,01905,01916,02866,03380,03800,03877,09983"
2025-07-23,"00405,00732,01137,01905,01916,03380,03800,03877,09983"
2025-07-24,"00405,00732,01890,01905,03380,03800,09983"
2025-07-25,"00405,00732,01890,01905,03380,03800,09983"
2025-07-28,"00405,00732,01890,01905,03380,03800,09983"
2025-07-29,"00405,00732,01890,01905,03380,03800,09983"
2025-07-30,"00405,00732,01890,01905,03380,03800,09983"
2025-07-31,"00405,00732,01890,01905,03380,03800,09983"
2025-08-01,"00405,00732,01890,01905,03380,03800,09983"
2025-08-04,"00405,00732,01890,01905,03380,03800,09983"
2025-08-05,"00405,00732,01890,01905,03380,03800,09983"
2025-08-06,"00405,00732,01890,01905,03380,03800,09983"
2025-08-07,"00405,00732,01890,01905,03380,03800,09983"
2025-08-08,"00405,00732,01890,01905,03380,03800,09983"
2025-08-11,"00405,00697,00732,00990,01114,01119,01890,01905,03380,09983"
2025-08-12,"00405,00697,00732,00990,01114,01119,01890,03380,09983"
2025-08-13,"00405,00697,00709,00732,00990,01114,01119,01890,03380,09983"
2025-08-14,"00405,00697,00709,00732,00990,01114,01119,01890,09983"
2025-08-15,"00405,00697,00709,00732,00990,01114,01119,01890,09983"
2025-08-18,"00405,00697,00709,00732,00990,01114,01119,01890,09983"
2025-08-19,"00405,00697,00709,00990,01114,01119,01890,09983"
2025-08-20,"00405,00697,00709,00990,01114,01119,01890,09983"
2025-08-21,"00405,00697,00709,00990,01114,01119,01890,09983"
2025-08-22,"00405,00697,00709,00990,01114,01119,01890,09983"
2025-08-25,"00697,00709,00990,01114,01119,01890,09983"
2025-08-26,"00697,00709,00990,01114,01119,01890,09983"
2025-08-27,"00697,00709,00990,01114,01119,01890"
2025-08-28,"00697,00709,00990,01114,01119,01890"
2025-08-29,"00697,00709,00990,01114,01119"
2025-09-01,"00709,00732,00990,01114,01117,01119,01905"
2025-09-02,"00709,00732,00990,01114,01117,01119,01905"
2025-09-03,"00709,00732,01114,01117,01119,01905"
2025-09-04,"00709,00732,01114,01117,01119,01905"
2025-09-05,"00709,00732,01114,01117,01119,01905"
2025-09-08,"00732,01114,01117,01119,01905"
2025-09-09,"00732,01114,01117,01119,01905"
2025-09-10,"00732,01114,01117,01119,01905"
2025-09-11,"00732,01114,01117,01119,01905"
2025-09-12,"00732,01114,01117,01119,01890,01905"
2025-09-15,"00732,01114,01117,01890,01905"
2025-09-16,"00732,01114,01117,01890,01905"
2025-09-17,"00732,01114,01117,01890,01905"
2025-09-18,"00732,01114,01117,01890,01905"
2025-09-19,"00732,01114,01117,01890,01905"
2025-09-22,"00451,00732,01117,01890,01905,02880"
2025-09-23,"00451,00520,00732,01117,01890,01905,02880"
2025-09-24,"00451,00520,00732,01117,01890,01905,02369,02880"
2025-09-25,"00451,00520,00732,01890,01905,02369,02880"
2025-09-26,"00451,00520,00732,01890,01905,02369,02880"
2025-09-29,"00451,00520,00732,01890,01905,02369,02880"
2025-09-30,"00451,00520,00732,01890,01905,02369,02880"
2025-10-02,"00451,00520,00732,01890,01905,02369,02880"
2025-10-03,"00451,00520,00732,01890,01905,02369,02880"
2025-10-06,"00451,00520,00732,01890,01905,02369,02880"
2025-10-08,"00451,00520,00732,01890,01905,02369,02880"
2025-10-09,"00451,00520,00732,01890,01905,02369,02880"
2025-10-10,"00451,00520,00732,01890,01905,02369,02880"
2025-10-13,"00451,00520,00732,01890,01905,02369,02880"
2025-10-14,"00451,00520,00732,01890,01905,02369,02880"
2025-10-15,"00451,00520,00658,00732,01725,01890,01905,02009,02369,02880,09886"
2025-10-16,"00451,00520,00658,00732,01725,01890,01905,02009,02369,02880,09886"
