date,symbol,side,shares,price,notional,fees,slippage_rate
2025-04-23,297,buy,26000,1.081673955531156,28123.522843810053,77.57000000000002,0.0015499588251441
2025-04-23,991,buy,1876000,1.5956105538993772,2993365.399115232,5783.852319292186,0.0035286502511806
2025-04-23,1086,sell,529500,1.0248527212681635,542659.5159114928,1061.037612729194,0.0049973579920739
2025-04-23,1114,buy,242500,1.824307054619704,442394.4607452782,868.0955685962226,0.0023665135273098
2025-04-23,1277,sell,169000,1.0945045508274232,184971.2690898345,371.4670152718675,0.0049958628841607
2025-04-23,2001,sell,293500,0.8656516046522319,254068.74596543008,505.5149967723441,0.0049981555721472
2025-04-23,3868,sell,230000,0.8457538753799392,194523.391337386,390.3187130699089,0.0049954407294832
2025-04-24,297,sell,41500,1.1181364890375385,46402.66429505784,105.01213143604627,0.0016638490736266
2025-04-24,991,buy,4500,1.6224412015980332,7300.985407191149,53.93,0.0015069145666871
2025-04-24,1086,sell,375000,1.0547044466640032,395514.1674990012,777.6413339992009,0.0049958050339592
2025-04-24,1114,buy,588000,1.8172526781581195,1068544.574756974,2074.535659805579,0.0040070045072481
2025-04-24,1277,sell,228500,1.1243534586794928,256914.7653082641,510.1718122466112,0.0049969392216878
2025-04-24,2001,sell,273500,0.8666569486414704,237030.67545344212,472.7345403627537,0.0038425877684248
2025-04-24,2255,buy,500,0.8112156277540357,405.6078138770178,46.05,0.0015007750049821
2025-04-24,3868,sell,169000,0.8557035579196217,144613.90128841606,294.0511210307329,0.0049958628841607
2025-04-25,297,buy,45000,1.1017933531014432,49580.70088956494,110.95456071165196,0.0016303210013121
2025-04-25,991,sell,25500,1.6374877809489832,41755.938414199074,95.70475073135924,0.0015318408847663
2025-04-25,1086,sell,579000,1.054700320352301,610671.4854839824,1192.097188387186,0.0049996977808479
2025-04-25,1114,buy,519000,1.8491976519315787,959733.5813524892,1864.6668650819915,0.0049987238758579
2025-04-25,1137,buy,2500,1.522413534136546,3806.033835341365,49.49,0.0015878514056224
2025-04-25,1277,sell,177500,1.1044543725379854,196040.6511254924,393.722520900394,0.0049960607765897
2025-04-25,3868,sell,195000,0.865651560738083,168802.0543439262,340.48164347514097,0.0049982060481804
2025-04-28,297,buy,2000,1.1216931045409744,2243.386209081949,48.28000000000001,0.0015117004830126
2025-04-28,991,sell,104000,1.767136468151217,183782.19268772652,369.3657541501812,0.0016178146038322
2025-04-28,1086,sell,408500,1.0447508994126284,426780.74241005874,837.6145939280469,0.0049991434165442
2025-04-28,1114,buy,326000,1.856410635549432,605189.8671891147,1182.0118937512918,0.0034652084050981
2025-04-28,1137,buy,83500,1.5175189075638005,126712.82878157734,259.46026302526184,0.0049794089826493
2025-04-28,1277,sell,289500,1.1044553604691274,319739.8268558124,631.4018614846499,0.0049951707485339
2025-04-28,2255,buy,234500,0.8212861322957847,192591.59802336156,386.5332784186893,0.0015684540192496
2025-04-29,297,sell,13500,1.1182547150259068,15096.438652849742,62.91,0.0015582901554404
2025-04-29,991,sell,28000,1.787257675075978,50043.21490212738,112.3945719217019,0.001532025097219
2025-04-29,1086,sell,134000,1.0348,138663.19999999998,282.53056,0.005
2025-04-29,1114,buy,10000,1.832813620087537,18328.136200875368,66.33,0.0015374973155939
2025-04-29,1137,buy,67500,1.5275647682119204,103110.62185430464,214.57849748344373,0.0049768211920529
2025-04-29,2255,buy,118000,0.6911124532853162,81551.26948766732,172.60101559013387,0.0016122511381395
2025-04-30,297,buy,52000,1.0919159375025225,56779.62875013117,124.63370300010492,0.0017577408280023
2025-04-30,991,buy,65500,1.7129378528628496,112197.42936251665,232.0079434900133,0.0017180426098535
2025-04-30,1086,sell,158500,1.014908986784141,160863.07440528634,325.12045952422903,0.0049911894273127
2025-04-30,1114,sell,76000,1.8967115891741848,144150.08077723804,293.62006462179045,0.0017307425399028
2025-04-30,1137,buy,286500,1.5469819505526297,443210.3288333284,869.8482630666626,0.0045337341250842
2025-04-30,1277,sell,172500,1.08455,187084.87500000003,376.4279,0.005
2025-04-30,2255,buy,500,0.6609902906025916,330.4951453012958,46.04,0.0015004403069568
2025-04-30,3868,sell,142000,0.865654282700422,122922.90814345992,251.94832651476796,0.0049950773558368
2025-05-02,297,buy,44000,1.091771643799222,48037.95232716577,108.5303618617326,0.0016253612836897
2025-05-02,991,sell,3500,1.737329142921628,6080.6520002256975,52.77,0.0015349753323977
2025-05-02,1086,sell,235500,1.0149007578008915,239009.12846210995,476.557302769688,0.0049992570579494
2025-05-02,1114,sell,16500,1.9469442392099487,32124.579946964157,82.08999999999999,0.0015670568154108
2025-05-02,1137,buy,269000,1.706528818580117,459056.2521980515,900.5450017584413,0.0038404815177158
2025-05-02,1277,sell,210500,1.1044573684210528,232488.2760526316,463.5206208421053,0.0049933617828354
2025-05-02,2255,buy,500,0.6810210723135842,340.5105361567921,46.04,0.0015015769317413
2025-05-06,297,buy,84000,1.0718720345061754,90037.25089851873,189.46980071881495,0.0017495649590424
2025-05-06,991,buy,9000,1.752663046103941,15773.967414935469,63.0,0.0015217406308233
2025-05-06,1086,sell,493000,1.07460306445075,529779.3107742198,1036.0934486193755,0.0049971625456019
2025-05-06,1114,sell,23500,1.996879434183524,46926.66670331281,105.50133336265024,0.001560282908238
2025-05-06,1137,buy,140000,1.8491824049042789,258885.53668659905,513.9884293492792,0.0049904374479773
2025-05-06,1277,sell,248500,1.1044562434712737,274457.3765026115,544.4259012020891,0.0049943752511048
2025-05-06,2255,buy,883500,0.6915721462917275,611003.9912487413,1193.403192998993,0.0022784728865616
2025-05-06,3868,sell,148500,0.865658824332781,128550.33541341795,263.1602683307344,0.0049898570887575
2025-05-07,297,sell,5000,1.0783639866368908,5391.819933184454,51.68999999999999,0.001514827188064
2025-05-07,991,sell,7000,1.7673132493788164,12371.192745651717,59.57000000000001,0.0015179382040584
2025-05-07,1086,sell,46500,1.1278066056910567,52443.00716463414,116.61440573170732,0.0019410569105691
2025-05-07,1114,sell,26500,2.04673364741106,54238.44165639309,120.27075332511448,0.001593342726312
2025-05-07,1137,buy,153000,1.839129253263252,281386.7757492776,557.849420599422,0.0049886629853834
2025-05-07,1277,sell,220000,1.1044500000000002,242979.00000000003,483.24320000000006,0.005
2025-05-07,2255,buy,734000,0.692156656595058,508042.9859407726,994.9543887526182,0.0031255892682
2025-05-07,3868,sell,491000,0.8656509624986193,425034.6225868221,835.0076980694578,0.0049988936797479
2025-05-08,297,buy,43000,1.0717350805876038,46084.60846526697,104.71768677221355,0.0016215706426203
2025-05-08,991,sell,10500,1.7872159747102212,18765.767734457324,66.39000000000001,0.0015553213909378
2025-05-08,1114,buy,47000,2.0034029393753827,94159.938150643,197.27795052051437,0.0017014696876913
2025-05-08,1137,buy,198000,1.97948639743468,391938.30669206666,770.3206453536535,0.0048154301698882
2025-05-08,1277,sell,325500,1.1144018056195304,362737.78772915713,714.2402301833256,0.0049983878397052
2025-05-08,2255,buy,1000,0.7010520068807339,701.0520068807339,46.09,0.001502866972477
2025-05-08,3868,sell,177500,0.8656551377952756,153653.78695866145,311.4330295669291,0.0049940944881889
2025-05-09,297,sell,54000,1.07822792543608,58224.30797354832,127.97944637883867,0.0016408097814073
2025-05-09,991,sell,6000,1.7773098967408842,10663.859380445305,57.36000000000001,0.0015112939657954
2025-05-09,1114,buy,1500,1.982979529036864,2974.469293555296,48.37,0.0015048126448806
2025-05-09,1137,buy,97000,1.8692777276976975,181319.9395866767,365.0859516693413,0.0049880256439234
2025-05-09,1277,sell,303000,1.1144012933025405,337663.59187066974,666.0208734965357,0.0049988452655889
2025-05-09,2255,buy,695500,0.7016900146484375,488025.4051879883,956.4003241503908,0.002414306640625
2025-05-09,3868,sell,306500,0.8756030498448846,268372.3347774571,532.7778678219656,0.0049965342671766
2025-05-12,297,buy,27500,1.0716703351833683,29470.934217542628,78.75,0.0015610609190356
2025-05-12,991,buy,10000,1.7726827530623457,17726.827530623454,65.24999999999999,0.0015156796962403
2025-05-12,1114,sell,31500,2.016844652445545,63530.60655203467,137.90448524162773,0.0015620532447796
2025-05-12,1137,buy,100000,1.829090459311033,182909.04593110332,367.5472367448827,0.0049947578632051
2025-05-12,1277,sell,341000,1.1256232441837342,383837.5262666533,754.8200210133228,0.0038732352356333
2025-05-12,2255,buy,842500,0.7216457225079272,607986.5212129287,1186.6092169703431,0.0022857257054544
2025-05-12,3868,sell,455500,0.8656513500976131,394304.1899694628,775.5233519755702,0.004998448163663
2025-05-13,297,sell,42500,1.088268450819987,46251.40915984944,104.87112732787956,0.0015885772293697
2025-05-13,991,buy,7000,1.772727199142767,12409.090393999371,59.58000000000001,0.0015407904761397
2025-05-13,1114,sell,67500,2.1164537853003536,142860.6305077739,290.4285044062191,0.0016727427828522
2025-05-13,1137,buy,145500,1.7587490571898208,255897.9878211189,508.2183902568952,0.0049994612513262
2025-05-13,2255,buy,539500,0.7019376036665211,378695.33717808814,745.0562697424706,0.0027680052378873
2025-05-13,3868,sell,520000,0.8855513209184719,460486.6868776054,902.8693495020844,0.0049985158219416
2025-05-14,297,buy,20000,1.0916632340008086,21833.26468001617,69.77000000000001,0.0015259027530352
2025-05-14,991,buy,12500,1.7727549838605552,22159.43729825694,70.81,0.0015564880568108
2025-05-14,1114,sell,31000,2.176433187350985,67469.42880788054,145.53554304630444,0.0016361525912912
2025-05-14,1137,buy,55500,1.758722533632287,97609.10061659192,203.48728049327352,0.0049843049327354
2025-05-14,2255,buy,438000,0.7121593944497511,311925.81476899097,616.1506518151928,0.0030414006334523
2025-05-14,3868,sell,745500,0.8668281940632043,646220.4186741188,1261.046334939295,0.0036457539503398
2025-05-15,297,sell,126000,1.1478685972433689,144631.44325266447,294.07515460213165,0.0018533937014183
2025-05-15,991,buy,27500,1.7628582989690724,48478.60322164949,108.9428825773196,0.0016240335051546
2025-05-15,1114,buy,14000,2.1834203505199565,30567.884907279396,79.89,0.0015689681284203
2025-05-15,1137,buy,106000,1.7587495175497967,186427.44886027844,374.8119590882226,0.0049997243141695
2025-05-15,2255,buy,43000,0.7111271683732837,30578.4682400512,79.89,0.0015875610891319
2025-05-16,297,sell,1640500,1.1044507103242325,1811851.390286903,3506.591112229522,0.0049993600682593
2025-05-16,732,buy,137500,0.9547427612481856,131277.12967162553,268.6917037373004,0.0049923802612481
2025-05-16,991,sell,391500,1.751203145264233,685596.0313709471,1336.5568250967576,0.0049982129180495
2025-05-16,1114,buy,5000,2.153269903926483,10766.349519632417,57.370000000000005,0.0015208855472013
2025-05-16,1137,buy,108500,1.7285874646084116,187551.73991001263,376.86139192801016,0.0049927119816346
2025-05-16,1788,buy,545500,1.045199666391715,570156.4180166804,1114.5351344133444,0.0049996792228026
2025-05-16,2255,sell,900500,0.7163999999999999,645118.2,1259.02456,0.005
2025-05-16,2866,buy,2240500,1.042527964172334,2335783.9037281144,4516.267122982492,0.0024307347810902
2025-05-19,297,sell,1156500,1.1151765524892523,1289701.6829538206,2500.5513463630564,0.0043066495631673
2025-05-19,732,buy,192500,0.9446965853658535,181854.09268292683,365.5732741463415,0.0049963674104826
2025-05-19,991,sell,591500,1.7313039674964217,1024066.2967741336,1989.3130374193067,0.0049977198296427
2025-05-19,1114,sell,6000,2.1567232146622337,12940.339287973402,59.64,0.001517030248966
2025-05-19,1137,sell,62500,1.813362983316977,113335.18645731108,234.05814916584887,0.0036467124631992
