period_end_date,return
2011-12-31,-4.41%
2012-12-31,5.05%
2013-12-31,33.12%
2014-12-31,8.85%
2015-12-31,91.11%
2016-12-31,1.35%
2017-12-31,16.28%
2018-12-31,10.01%
2019-12-31,29.66%
2020-12-31,10.98%
2021-12-31,4.72%
2022-12-31,15.76%
2023-12-31,-4.46%
2024-12-31,57.8%
2025-12-31,17.75%
2026-12-31,10.34%
