metric,value
Cumulative NAV,12.32
Annual Return,18.10%
Max Drawdown,-16.58%
Max Drawdown Start,2012-03-19 00:00:00
Max Drawdown End,2012-11-06 00:00:00
Return / Drawdown Ratio,1.09
Winning Periods,763.0
Losing Periods,2902.0
Win Rate,20.81%
Average Return per Period,0.07%
Profit / Loss Ratio,5.44
Best Period Return,17.39%
Worst Period Return,-8.08%
Max Consecutive Winning Periods,13.0
Max Consecutive Losing Periods,95.0
Return Std Dev,1.01%
