metric,value
Cumulative NAV,10.66
Annual Return,16.97%
Max Drawdown,-51.78%
Max Drawdown Start,2022-01-04 00:00:00
Max Drawdown End,2024-02-05 00:00:00
Return / Drawdown Ratio,0.33
Winning Periods,1933.0
Losing Periods,1732.0
Win Rate,52.73%
Average Return per Period,0.08%
Profit / Loss Ratio,1.02
Best Period Return,17.39%
Worst Period Return,-9.42%
Max Consecutive Winning Periods,13.0
Max Consecutive Losing Periods,8.0
Return Std Dev,1.79%
