period_id,label,start,end,days,annual_return,sharpe,max_drawdown,benchmark_total_return
strategy_sample,strategy_sample,2018-01-02,2026-04-02,2036,0.42379817224185845,0.9677338983407489,-0.4091476350878317,-0.17692040989413682
bull_01,bull,2025-04-23,2025-10-16,122,1.6335273544571076,2.6080674144787737,-0.0660574845420524,0.17287892300813512
bull_02,bull,2020-11-05,2021-03-23,95,0.9180530534823177,2.229795410101159,-0.09275327094447483,0.10902357051304112
bear_01,bear,2018-06-28,2018-11-27,105,0.21383341484842533,0.5539266134730488,-0.2106535039713764,-0.0759846663214222
bear_02,bear,2022-07-11,2022-11-29,100,0.3774067034245583,0.8616743116333206,-0.275042079271848,-0.1382073469870807
sideways_01,sideways,2019-10-16,2019-12-03,35,0.18070265694708976,0.5106249685748403,-0.10147422006717555,-0.010237610872047553
sideways_02,sideways,2025-11-18,2026-01-05,32,-0.3934620870436105,-2.300687169492957,-0.07453422152957556,0.016089875284108546
