trade_date,stock_code,portfolio_weight,raw_value,eligible_rank,eligible_percentile,weighted_score_component,factor_id,factor_name,factor_column
2026-03-25,sh603786,0.1,-0.2347470762293926,124.0,0.0905109489051095,15.716096324461343,F05,Oversold,oversold_270
2026-03-25,sh688088,0.1,-0.2231130230739147,136.0,0.0992700729927007,17.23700887198986,F05,Oversold,oversold_270
2026-03-25,sh688111,0.1,-0.3701813471502591,33.0,0.0240875912408759,4.182509505703423,F05,Oversold,oversold_270
2026-03-25,sh688279,0.1,-0.2950454545454545,72.0,0.0525547445255474,9.125475285171104,F05,Oversold,oversold_270
2026-03-25,sh688486,0.1,-0.4910941475826972,8.0,0.0058394160583941,1.0139416983523448,F05,Oversold,oversold_270
2026-03-25,sh688608,0.1,-0.5449420871077209,4.0,0.002919708029197,0.5069708491761724,F05,Oversold,oversold_270
2026-03-25,sh688692,0.1,-0.4392807527980918,13.0,0.0094890510948905,1.6476552598225602,F05,Oversold,oversold_270
2026-03-25,sz301000,0.1,-0.1753155680224404,207.0,0.1510948905109489,26.23574144486692,F05,Oversold,oversold_270
2026-03-25,sz301101,0.1,-0.2610334885783988,93.0,0.0678832116788321,11.787072243346008,F05,Oversold,oversold_270
2026-03-25,sz301498,0.1,-0.4208791208791208,17.0,0.0124087591240875,2.1546261089987326,F05,Oversold,oversold_270
2026-03-25,sh603786,0.1,-21445429.02160596,210.0,0.1532846715328467,1.0646387832699622,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sh688088,0.1,-36097921.29627831,119.0,0.0868613138686131,0.6032953105196451,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sh688111,0.1,-146843357.94732508,17.0,0.0124087591240875,0.0861850443599493,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sh688279,0.1,-22895337.81162827,195.0,0.1423357664233576,0.9885931558935362,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sh688486,0.1,-11022764.28831696,428.0,0.3124087591240876,2.169835234474018,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sh688608,0.1,-37624670.206091,112.0,0.0817518248175182,0.5678073510773132,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sh688692,0.1,-21761529.02764004,206.0,0.1503649635036496,1.0443599493029152,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sz301000,0.1,-10986398.267496036,430.0,0.3138686131386861,2.1799746514575413,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sz301101,0.1,-4877065.737876395,772.0,0.5635036496350365,3.913814955640051,F06,Net Capital Inflow,net_capital_inflow_6
2026-03-25,sz301498,0.1,-13398839.73000724,354.0,0.2583941605839416,1.7946768060836504,F06,Net Capital Inflow,net_capital_inflow_6
