,mean,std,ir
ic_1d,0.02119350765992365,0.10358290228986891,0.20460430429546397
ic_5d,0.02832941517739952,0.11311878640263115,0.2504395253726005
ic_20d,0.05368467281386222,0.12550678331421888,0.4277431975884302
