date,q1,q2,q3,q4,q5
2018-01-02,,,,,
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-08,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-15,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,-0.025816138878409372,-0.04419598661210592,-0.05079056472791407,-0.015897721129063448,-0.04820118693444753
2018-01-19,-0.024862771221335428,-0.03592177559431855,-0.0509348067568767,-0.026433987813581333,-0.053688096342422026
2018-01-22,-0.0266325408426987,-0.04567143229664211,-0.05248853852751497,-0.03646071592304148,-0.04315706767230719
2018-01-23,-0.03390546859477103,-0.06542439465849387,-0.06635154324747786,-0.05656544795504104,-0.05747637350506055
2018-01-24,-0.021332754187587795,-0.034927061869530894,-0.043731802774753185,-0.06326579465867617,-0.05067111447982833
2018-01-25,-0.019284048945343104,-0.044788411219709334,-0.029790060939517343,-0.051592440356802466,-0.01684671203181203
2018-01-26,-0.047837162120027574,-0.05055593798225821,-0.05140656511694004,-0.06878586655257779,-0.06708966444542894
2018-01-29,-0.033344949203833754,-0.06494917075863943,-0.05752471544254655,0.25401893705761663,-0.07734173505832503
2018-01-30,-0.024315653148338386,-0.05493306398208892,-0.02831298856754338,-0.036936552479375544,-0.03198105356224958
2018-01-31,-0.037793020325942124,-0.06365597925303741,-0.047455618008398086,-0.05682216809037805,-0.04594094111642032
2018-02-01,-0.06237617713880947,-0.06571358506706819,-0.060597034780119005,-0.060797909933802526,-0.046187397750937983
2018-02-02,-0.05271433831968394,-0.052947386736234385,-0.05200009813857787,-0.034565119853911315,-0.02946382554194475
2018-02-05,-0.047456405901593515,-0.05985055597452724,-0.024891452231083265,-0.018957011622361488,-0.022533471362062577
2018-02-06,0.04363701231635818,0.07495078677440795,0.058032235138062944,0.09706329300345218,0.04498107411459022
2018-02-07,0.058419992605854475,0.1099317892446399,0.07581196326804047,0.08454645561049248,0.10223900538097509
2018-02-08,0.06670929205279726,0.14032646597204332,0.07814167680298846,0.0950688764544495,0.12320752291443184
2018-02-09,0.12077147162348705,0.17126087826491407,0.16446948136158943,0.1519350388545627,0.16923731860090918
2018-02-12,0.11118429483929226,0.13390990899434912,0.135175941780083,0.13767800234384261,0.13914211949060917
2018-02-13,0.08222062671292893,0.11240376016465235,0.10259854523008365,0.2106614461922707,0.22381927662073572
2018-02-14,0.05955658216868878,0.20909197158657783,0.14415104061199077,0.0952253047564231,0.12127786919271905
2018-02-15,0.12112910352693172,0.10135727316836211,0.03417202794677633,0.05362642965646573,0.09040402053674461
2018-02-20,0.028812837792938667,0.09882459097031097,0.02820502730952778,0.04491624314695006,0.06843046608701821
2018-02-21,0.025389372751703373,0.05106096991480977,0.014939902323992333,0.017676980121044163,0.007497654028435233
2018-02-22,0.011224956648520665,0.04869104600229441,0.027982634981427945,0.017108910276580066,0.009859428258241742
2018-02-23,-0.044209329333787344,-0.020096018725620078,-0.005997024968976748,-0.017492668406681393,-0.048292463611595254
2018-02-26,-0.052365153528684365,-0.023740084533531332,-0.011599148055234414,0.0060088082146906524,-0.047821180269643423
2018-02-27,-0.02074424246685869,0.028153182209701613,0.022521797515048726,0.018350459857719357,-0.02872952317073768
2018-02-28,-0.04521480564455606,0.007739365358105583,-0.009276324470250978,-0.010156808267792883,-0.028532615068292324
2018-03-01,-0.04761886390926608,0.02503744063885269,-0.020020802908227105,-0.017449762820455603,-0.04426327018843678
2018-03-02,-0.03304406796702786,0.020825542030799088,0.005349467248248471,0.0009003752628748373,-0.001344806933718195
2018-03-05,-0.024170241256270292,0.013544191316187925,0.006982001575658887,-0.0011494687507065484,0.0508319863019985
2018-03-06,-0.03541305387998266,0.01081507557067571,0.0036005479910651015,-0.0239705154286892,0.020560249274225277
2018-03-07,-0.021445776841675052,0.011553667684742254,0.0432178881267352,0.024375285978559504,0.032085969006479365
2018-03-08,-0.019547307522854315,0.037492341811174446,0.03212677109176348,0.027528954283374783,0.021871914453398554
