,mean,std,median,p05,p95,coverage
count,923.0,923.0,923.0,923.0,923.0,925.0
mean,0.02403216774616581,0.05467005702813867,0.0,0.0,0.16574513895741944,0.7672505708065629
std,0.0030871143145718882,0.004292444907896683,0.0,0.0,0.018142696435109476,0.31516878328560216
min,0.005444328808651841,0.025655726009744393,0.0,0.0,0.014852312202288755,0.0
25%,0.022856121092230848,0.05300946806106903,0.0,0.0,0.15927523041059866,0.5771119842829077
50%,0.024310822841238058,0.05503803165357367,0.0,0.0,0.16839204626790863,0.9882121807465619
75%,0.025689193781948876,0.056942232789845504,0.0,0.0,0.1762757035606635,0.9941060903732809
max,0.04245067265217959,0.08221760460810054,0.0,0.0,0.21677282907048911,0.9941060903732809
