,mean,std,ir
ic_1d,-0.005961082931850982,0.05818868817611823,-0.10244401650383873
ic_5d,-0.0031688269145477327,0.05800843201463311,-0.05462700515242973
ic_20d,-0.0029998931789322154,0.05766294168285729,-0.05202462953470961
