,mean,std,ir
ic_1d,-0.03209238783527531,0.1347629628384828,-0.23813952408970807
ic_5d,-0.023776408184706735,0.12917796740888704,-0.18405931492517813
ic_20d,-0.0086822777543449,0.12375930567467845,-0.0701545447997881
