date,ic_1d,ic_5d,ic_20d
2018-01-02,,,
2018-01-03,,,
2018-01-04,,,
2018-01-05,,,
2018-01-08,,,
2018-01-09,,,
2018-01-10,,,
2018-01-11,,,
2018-01-12,,,
2018-01-15,,,
2018-01-16,,,
2018-01-17,,,
2018-01-18,,,
2018-01-19,,,
2018-01-22,,,
2018-01-23,,,
2018-01-24,,,
2018-01-25,,,
2018-01-26,,,
2018-01-29,-0.28766736136306753,-0.15613217217378814,-0.3261029006883761
2018-01-30,0.06520726986920869,-0.14646114924960435,-0.16768329006920288
2018-01-31,-0.04631623687083888,-0.2772387467386403,-0.16611862884862671
2018-02-01,-0.20487511902459632,-0.2366406121972459,-0.15147297001814491
2018-02-02,0.07580354800554585,-0.20656427637006164,-0.1150899012587657
2018-02-05,-0.11019557976322264,-0.16664557737864832,-0.13956535019596386
2018-02-06,-0.1186873501535744,-0.09800833606404934,-0.18670890480596072
2018-02-07,-0.15035093168873193,-0.09423847145428191,-0.19848587797128017
2018-02-08,0.3696019943794823,-0.11585417390947042,-0.1752708742012685
2018-02-09,-0.17459281083582187,-0.368448339623842,-0.36039081656695177
2018-02-12,-0.25728859392051967,-0.3978540205296229,-0.3134885053014723
2018-02-13,-0.20144724099908,-0.24992856937091973,-0.19501673953448376
2018-02-14,-0.24692935721053078,-0.29799897878483705,-0.13066690022522634
2018-02-15,0.03491861997323012,-0.21862150492187757,-0.05882926888592275
2018-02-20,-0.30855355451759653,-0.24435352910899033,-0.013927857356198498
2018-02-21,-0.03369421884929125,-0.13398403719361346,0.009420788889109974
2018-02-22,-0.2407929951112612,-0.01684178186173614,-0.06471468256685071
2018-02-23,-0.04013794307439252,0.029303412792547338,-0.0679108592413389
2018-02-26,-0.15140405165910342,-0.10693408340003095,-0.08178520121019041
2018-02-27,0.026517908731923927,-0.13261983278750716,-0.051864090424558605
2018-02-28,-0.12221889390294449,-0.15312288577403105,-0.10493186967617618
2018-03-01,0.051081594610799926,-0.04434176106795312,-0.018230782189453155
2018-03-02,-0.0591729421620655,-0.11028875837340739,-0.00939230640799705
2018-03-05,-0.27700099552455604,-0.20785479622448721,-0.008041367965414254
2018-03-06,0.0899445700314757,0.0019394418155595967,-0.010059867695476442
2018-03-07,-0.0619795826258314,-0.03743339785198035,0.003977224186315419
2018-03-08,-0.05137416912985282,0.021462137972372446,0.07756869736059684
2018-03-09,-0.11152830963612062,0.010959466148731997,0.03513758849449807
2018-03-12,-0.005603037935240908,0.1269694225999469,0.0662637196187132
2018-03-13,0.04386460527585789,0.12072746786728451,0.018558716874336113
2018-03-14,0.07044496837205134,0.009340903290261878,0.040931172202799335
2018-03-15,0.10174902852714289,-0.04537375123376306,0.00524390130938036
2018-03-16,-0.03505309030064114,-0.12583061864337436,-0.02042478962892411
2018-03-19,-0.007910565992780665,0.000297186236174443,0.004191692669438231
2018-03-20,-0.1305803234550054,0.01970003897268211,0.0036686531078720373
2018-03-21,-0.06029103917983148,0.13070605060248774,0.056340155118014795
2018-03-22,0.03543710620954804,0.17553760484188582,0.11900822145808422
2018-03-23,0.07076382869352518,0.12601947179519288,0.09779493336716578
2018-03-26,-0.006206637073522714,0.16117745464501765,0.1475319796953087
2018-03-27,0.12244079355468143,0.22621801269111735,0.18817165689553508
2018-03-28,0.004617392565802035,0.17058198492002513,0.13216701285833282
2018-03-29,0.07653244427305668,0.05279871483822285,0.17829172261386134
2018-04-03,0.12563298916448418,-0.0180495152384047,0.1557132183902135
2018-04-04,0.16999546360948792,-0.10426950859343259,0.10763050281569769
2018-04-06,-0.15675203766365764,-0.1917285973299352,0.055903427495045614
2018-04-09,-0.20744373034527647,-0.059152524466465746,0.07844849612385345
2018-04-10,-0.11365946548277125,-0.004526291288619595,0.16456984373574168
2018-04-11,0.06083043822202306,0.14523782911865504,0.15499401332766202
2018-04-12,0.038704839210940485,0.11791971371199149,0.1095585093859289
2018-04-13,0.047073019082407526,0.1353731285124527,0.10699317559602317
2018-04-16,0.023936114634035843,0.043163157200028154,0.07491852074749437
