metric,value
Cumulative NAV,0.89
Annual Return,-11.29%
Max Drawdown,-19.17%
Max Drawdown Start,2023-04-17 00:00:00
Max Drawdown End,2023-12-20 00:00:00
Return / Drawdown Ratio,-0.59
Winning Periods,109.0
Losing Periods,126.0
Win Rate,46.19%
Average Return per Period,-0.05%
Profit / Loss Ratio,0.99
Best Period Return,2.40%
Worst Period Return,-2.43%
Max Consecutive Winning Periods,6.0
Max Consecutive Losing Periods,6.0
Return Std Dev,0.79%
