period_end_date,return
2023-01-31,4.99%
2023-02-28,3.01%
2023-03-31,-2.08%
2023-04-30,-1.84%
2023-05-31,-3.73%
2023-06-30,3.05%
2023-07-31,1.55%
2023-08-31,-3.62%
2023-09-30,-1.94%
2023-10-31,-3.53%
2023-11-30,0.04%
2023-12-31,-6.79%
