metric,value
Cumulative NAV,0.96
Annual Return,-4.41%
Max Drawdown,-6.44%
Max Drawdown Start,2023-02-21 00:00:00
Max Drawdown End,2023-11-22 00:00:00
Return / Drawdown Ratio,-0.69
Winning Periods,31.0
Losing Periods,204.0
Win Rate,13.14%
Average Return per Period,-0.02%
Profit / Loss Ratio,5.03
Best Period Return,1.66%
Worst Period Return,-1.69%
Max Consecutive Winning Periods,4.0
Max Consecutive Losing Periods,50.0
Return Std Dev,0.34%
