combo_id,strategy_name,strategy_description,holding_period,selection_count,factor_long_term_low_volume,factor_rolling_pe,factor_turnover_rate,factor_oversold,cumulative_nav,annual_return,max_drawdown,return_drawdown_ratio,win_rate,return_std_dev
492,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,23.99,21.66%,-56.10%,0.39,53.83%,2.03%
493,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,31.18,23.65%,-55.44%,0.43,53.80%,2.01%
494,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,26.0,22.27%,-51.97%,0.43,53.70%,2.01%
495,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,32.13,23.88%,-48.98%,0.49,54.16%,2.01%
496,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,26.35,22.37%,-47.29%,0.47,53.63%,2.01%
497,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,48.71,27.10%,-47.07%,0.58,54.29%,2.02%
498,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,19.76,20.22%,-57.02%,0.35,53.17%,2.03%
499,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,15.91,18.62%,-56.94%,0.33,52.81%,2.02%
500,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,20.48,20.48%,-51.77%,0.4,53.40%,2.01%
501,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,23.97,21.66%,-52.34%,0.41,53.68%,2.02%
502,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,28.61,22.99%,-52.30%,0.44,53.68%,2.03%
503,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,28.19,22.88%,-52.99%,0.43,53.80%,2.03%
504,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,26.45,22.40%,-52.35%,0.43,53.52%,2.03%
505,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,23.49,21.50%,-51.96%,0.41,53.57%,2.03%
506,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,21.42,20.82%,-51.08%,0.41,53.37%,2.02%
507,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,20.6,20.52%,-51.34%,0.4,53.27%,2.01%
508,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,24.51,21.82%,-48.87%,0.45,53.47%,2.02%
509,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,30.58,23.50%,-44.12%,0.53,53.75%,2.03%
510,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,26.97,22.54%,-46.79%,0.48,54.01%,2.01%
511,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,24.05,21.68%,-46.84%,0.46,53.88%,2.01%
512,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,21.21,20.74%,-48.47%,0.43,53.70%,2.01%
513,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,35.78,24.70%,-47.45%,0.52,54.36%,2.02%
514,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,19.77,20.22%,-56.45%,0.36,53.17%,2.04%
515,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,15.73,18.53%,-56.34%,0.33,53.32%,2.02%
516,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,15.17,18.27%,-51.29%,0.36,53.68%,2.02%
517,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,21.26,20.76%,-54.60%,0.38,53.93%,2.03%
518,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,25.13,22.01%,-52.87%,0.42,53.65%,2.03%
519,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,21.12,20.71%,-52.96%,0.39,53.45%,2.03%
520,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,27.09,22.58%,-52.58%,0.43,53.32%,2.03%
521,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,23.84,21.62%,-50.40%,0.43,53.68%,2.03%
522,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 41,10D,5,30,,30,41,23.08,21.37%,-52.97%,0.4,53.27%,2.02%
523,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,26.08,22.29%,-48.57%,0.46,53.42%,2.02%
524,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,24.8,21.91%,-48.81%,0.45,53.52%,2.02%
525,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 41,10D,5,30,,22,41,30.19,23.40%,-46.67%,0.5,53.52%,2.02%
526,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,38.11,25.19%,-48.43%,0.52,53.73%,2.02%
527,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,29.13,23.13%,-49.21%,0.47,53.75%,2.02%
528,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,32.12,23.87%,-46.17%,0.52,54.11%,2.02%
529,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 42,10D,5,30,,10,42,32.09,23.87%,-47.18%,0.51,53.98%,2.03%
530,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 42,10D,5,30,,11,42,23.22,21.42%,-53.51%,0.4,53.50%,2.03%
531,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 42,10D,5,30,,12,42,20.73,20.57%,-55.76%,0.37,53.32%,2.04%
532,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,16.45,18.86%,-55.48%,0.34,53.60%,2.02%
533,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,28.08,22.85%,-52.51%,0.44,53.83%,2.03%
534,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,25.6,22.15%,-52.80%,0.42,53.63%,2.03%
535,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 42,10D,5,30,,16,42,25.2,22.03%,-52.93%,0.42,53.75%,2.03%
536,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,39.26,25.42%,-52.72%,0.48,54.24%,2.03%
537,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,32.22,23.90%,-52.50%,0.46,54.16%,2.03%
538,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,29.03,23.10%,-54.67%,0.42,54.11%,2.02%
539,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 42,10D,5,30,,20,42,39.3,25.42%,-45.81%,0.55,54.11%,2.02%
540,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 42,10D,5,30,,21,42,36.48,24.85%,-45.00%,0.55,54.44%,2.02%
541,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 42,10D,5,30,,22,42,41.21,25.79%,-45.37%,0.57,54.18%,2.02%
542,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,37.26,25.01%,-49.08%,0.51,54.03%,2.02%
543,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 42,10D,5,30,,24,42,45.54,26.57%,-48.34%,0.55,54.24%,2.02%
544,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 42,10D,5,30,,30,42,38.26,25.22%,-44.79%,0.56,54.03%,2.02%
545,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,49.26,27.19%,-43.86%,0.62,54.16%,2.02%
546,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,18.97,19.91%,-57.00%,0.35,53.07%,2.03%
547,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,18.72,19.81%,-56.28%,0.35,53.37%,2.04%
548,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,22.04,21.03%,-56.84%,0.37,53.45%,2.04%
549,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,31.66,23.76%,-55.21%,0.43,53.55%,2.03%
550,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,23.59,21.54%,-53.01%,0.41,53.32%,2.03%
551,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,22.68,21.24%,-53.82%,0.39,53.60%,2.03%
552,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 17 | Oversold: 250,10D,5,30,,17,250,28.28,22.90%,-54.22%,0.42,53.55%,2.04%
553,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,23.72,21.58%,-53.91%,0.4,53.60%,2.02%
554,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,20.14,20.36%,-55.49%,0.37,53.32%,2.02%
555,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,20.98,20.66%,-53.35%,0.39,53.65%,2.01%
556,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,35.29,24.60%,-52.35%,0.47,53.98%,2.02%
557,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,35.58,24.66%,-51.98%,0.47,53.93%,2.02%
558,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,36.89,24.94%,-50.97%,0.49,53.90%,2.02%
559,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,34.06,24.32%,-51.53%,0.47,53.63%,2.02%
560,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,32.48,23.96%,-49.27%,0.49,54.06%,2.02%
561,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,32.98,24.08%,-47.98%,0.5,54.06%,2.02%
562,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,26.95,22.54%,-56.67%,0.4,53.42%,2.05%
563,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,20.9,20.63%,-55.78%,0.37,53.42%,2.04%
564,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,20.3,20.42%,-55.95%,0.36,53.73%,2.03%
565,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,34.12,24.34%,-52.15%,0.47,53.68%,2.05%
566,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,34.16,24.35%,-51.74%,0.47,53.83%,2.05%
567,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,23.85,21.62%,-54.07%,0.4,53.88%,2.05%
568,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,28.98,23.09%,-53.65%,0.43,53.63%,2.06%
569,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,21.98,21.01%,-53.27%,0.39,53.83%,2.03%
570,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,20.38,20.44%,-56.07%,0.36,53.75%,2.03%
571,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,23.88,21.63%,-51.77%,0.42,53.83%,2.02%
572,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,35.35,24.61%,-50.26%,0.49,53.93%,2.03%
573,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,36.95,24.95%,-47.91%,0.52,53.78%,2.02%
574,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,38.08,25.18%,-50.09%,0.5,54.26%,2.02%
575,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 24 | Oversold: 250,10D,5,30,,24,250,25.07,21.99%,-48.19%,0.46,53.80%,2.00%
576,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,30.5,23.48%,-48.71%,0.48,54.16%,2.01%
577,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,10D,5,30,,10,250,36.73,24.90%,-48.62%,0.51,53.83%,2.03%
578,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,10D,5,30,,11,250,13.12,17.22%,-50.40%,0.34,53.27%,2.02%
579,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,10D,5,30,,12,250,16.53,18.90%,-52.90%,0.36,53.27%,2.02%
580,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,11.6,16.33%,-53.65%,0.3,53.63%,2.01%
581,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,17.98,19.52%,-52.70%,0.37,53.96%,2.02%
582,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,18.66,19.79%,-52.15%,0.38,53.98%,2.03%
583,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,10D,5,30,,16,250,16.92,19.07%,-53.15%,0.36,53.98%,2.03%
584,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,22.04,21.03%,-52.52%,0.4,53.68%,2.03%
585,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,21.09,20.70%,-50.28%,0.41,53.57%,2.01%
586,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,17.12,19.16%,-57.06%,0.34,53.47%,2.03%
587,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,10D,5,30,,20,250,18.33,19.66%,-58.16%,0.34,53.68%,2.03%
588,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,10D,5,30,,21,250,24.12,21.70%,-55.16%,0.39,53.80%,2.01%
589,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 250,10D,5,30,,22,250,20.42,20.46%,-51.98%,0.39,53.70%,2.00%
590,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 10D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,10D,5,30,,30,250,18.83,19.86%,-54.07%,0.37,53.78%,2.00%
