,mean,std,median,p05,p95,coverage
count,925.0,925.0,925.0,925.0,925.0,925.0
mean,16.54210719290321,1.1867862206341557,16.55926194260719,14.64418071417805,18.446292973548136,0.7399601762863061
std,2.2153016288597533,0.5242336321948922,2.2158627488224742,2.801262070148632,1.8712037330538394,0.31242071635469154
min,0.6931471805599452,1.1110203123578054e-16,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.00343811394891945
25%,15.191447309707295,0.7651990214839778,15.257187038654541,12.673054003979683,17.450528344519437,0.5618860510805501
50%,16.621075928057195,1.0864807561500351,16.63068877178069,14.904237202958416,18.584757077571833,0.9091355599214146
75%,18.03777394006004,1.517666828477686,18.067078327344444,16.687718848919076,19.57507825451584,0.9891944990176817
max,22.88316774529657,2.9280200981504705,22.86039006415725,22.190487412810192,23.836246403599535,0.9901768172888016
