metric,value
Cumulative NAV,1.0
Annual Return,0.63%
Max Drawdown,-16.82%
Max Drawdown Start,2020-12-04 00:00:00
Max Drawdown End,2021-02-08 00:00:00
Return / Drawdown Ratio,0.04
Winning Periods,74.0
Losing Periods,76.0
Win Rate,49.01%
Average Return per Period,0.01%
Profit / Loss Ratio,1.05
Best Period Return,5.23%
Worst Period Return,-4.16%
Max Consecutive Winning Periods,8.0
Max Consecutive Losing Periods,6.0
Return Std Dev,1.48%
