metric,value
Cumulative NAV,0.97
Annual Return,-4.58%
Max Drawdown,-5.48%
Max Drawdown Start,2020-07-07 00:00:00
Max Drawdown End,2020-07-16 00:00:00
Return / Drawdown Ratio,-0.84
Winning Periods,13.0
Losing Periods,137.0
Win Rate,8.61%
Average Return per Period,-0.02%
Profit / Loss Ratio,8.44
Best Period Return,3.20%
Worst Period Return,-3.76%
Max Consecutive Winning Periods,3.0
Max Consecutive Losing Periods,75.0
Return Std Dev,0.57%
