period_end_date,return
2020-07-31,4.62%
2020-08-31,4.11%
2020-09-30,-7.86%
2020-10-31,2.75%
2020-11-30,6.35%
2020-12-31,-7.99%
2021-01-31,-4.09%
2021-02-28,3.73%
