metric,value
Cumulative NAV,1.24
Annual Return,24.77%
Max Drawdown,-19.90%
Max Drawdown Start,2016-01-06 00:00:00
Max Drawdown End,2016-01-28 00:00:00
Return / Drawdown Ratio,1.24
Winning Periods,130.0
Losing Periods,110.0
Win Rate,53.94%
Average Return per Period,0.11%
Profit / Loss Ratio,1.0
Best Period Return,6.03%
Worst Period Return,-8.79%
Max Consecutive Winning Periods,13.0
Max Consecutive Losing Periods,5.0
Return Std Dev,2.06%
