metric,value
Cumulative NAV,0.85
Annual Return,-15.53%
Max Drawdown,-24.77%
Max Drawdown Start,2016-01-20 00:00:00
Max Drawdown End,2016-06-21 00:00:00
Return / Drawdown Ratio,-0.63
Winning Periods,39.0
Losing Periods,201.0
Win Rate,16.18%
Average Return per Period,-0.06%
Profit / Loss Ratio,3.7
Best Period Return,2.96%
Worst Period Return,-8.70%
Max Consecutive Winning Periods,13.0
Max Consecutive Losing Periods,63.0
Return Std Dev,1.14%
