metric,value
Cumulative NAV,1.03
Annual Return,3.74%
Max Drawdown,-27.50%
Max Drawdown Start,2018-04-02 00:00:00
Max Drawdown End,2018-10-18 00:00:00
Return / Drawdown Ratio,0.14
Winning Periods,114.0
Losing Periods,101.0
Win Rate,52.78%
Average Return per Period,0.03%
Profit / Loss Ratio,0.93
Best Period Return,5.79%
Worst Period Return,-7.87%
Max Consecutive Winning Periods,7.0
Max Consecutive Losing Periods,5.0
Return Std Dev,1.71%
