,gross_pnl_usdt,fee_pnl_usdt,net_pnl_usdt,long_pnl_usdt,short_pnl_usdt
2021-01-31,14.461376525878899,-0.18106869996525884,14.280307825913642,64.040357025071,-49.74438842163501
2021-02-28,-2.940936145589337,-0.273125903160489,-3.2140620487498266,95.70624027360725,-98.87985912005024
2021-03-31,113.69352223418494,-0.3684937389721982,113.32502849521275,177.7332136639589,-64.36210900132828
2021-04-30,33.81758007302426,-0.4289909149002488,33.38858915812402,60.13852957774808,-26.704719691655786
2021-05-31,23.388756365435015,-0.5013256019224732,22.887430763512544,-25.870806851983453,48.84926205770182
2021-06-30,-30.48795284465275,-0.4651000115695142,-30.953052856222264,-36.68337545628341,5.796948723224782
2021-07-31,21.621012030044582,-0.4902692958404693,21.130742734204116,85.89483511147643,-64.69529647998664
2021-08-31,15.935572492590367,-0.5219782456973907,15.413594246892973,103.52671796553003,-88.04935477053257
2021-09-30,21.168048936118623,-0.49697018313120994,20.671078752987412,4.07046610715442,16.67588937963202
2021-10-31,-21.59229654019815,-0.4934779017219424,-22.08577444192009,46.51436376330253,-68.52633968584668
2021-11-30,27.679741928480503,-0.5196793296318687,27.16006259884863,39.72160140154296,-12.46921608621632
2021-12-31,-23.648836663382845,-0.5229521560402872,-24.17178881942313,-66.81774473341198,42.73951079486867
2022-01-31,52.69949173666763,-0.5319281141517642,52.16756362251587,-56.81092273008093,109.05249562537917
2022-02-28,-4.261133831053186,-0.4963872789018371,-4.757521109955022,-13.530443354630616,8.840229687455437
2022-03-31,-15.459048579545039,-0.512195877863074,-15.971244457408112,75.1240540101123,-91.02528537574034
2022-04-30,-10.384151268034113,-0.5339190186002046,-10.918070286634318,-59.687031568251015,48.869556169112286
2022-05-31,1.7684183692916235,-0.5213241065745464,1.2470942627170807,-57.871291286075675,59.2078776651216
2022-06-30,111.26135094568228,-0.6073400105282145,110.65401093515409,52.17590459462302,58.58378676975299
2022-07-31,8.989528572156104,-0.6939957892087706,8.295532782947335,71.61294315509824,-63.201721909575845
2022-08-31,-17.020256324952918,-0.6729529050897688,-17.693209230042687,-42.594781204675066,25.013716754744163
2022-09-30,-2.799768882659782,-0.6060171155828337,-3.4057859982426133,-12.258867549289864,8.948218223706597
2022-10-31,16.040468218430448,-0.6448887525440871,15.395579465886359,25.5627938225425,-10.081391116888696
2022-11-30,-15.435364596155408,-0.6390758653546806,-16.074440461510086,-31.128508186778884,15.157410387874922
2022-12-31,42.33877472181516,-0.6548595676922042,41.683915154122964,-30.0737268990312,71.8468075229587
2023-01-31,-22.677715786931635,-0.6590158073704733,-23.33673159430211,114.51152482320458,-137.74245517054686
2023-02-28,41.138938990950656,-0.6094819628929672,40.52945702805769,60.812927711120956,-20.185225271751776
2023-03-31,19.72264821965478,-0.6769138701241432,19.045734349530633,15.770108594011031,3.3945977822330877
2023-04-30,25.23216090188263,-0.715944807174612,24.516216094708014,18.217192122399958,6.416293934886782
2023-05-31,0.9080845294817554,-0.783177149416055,0.12490738006570556,-36.03422673116058,36.24303237713666
2023-06-30,-8.582997312260284,-0.7247830884714923,-9.307780400731781,-49.15182540815733,39.95323046171685
2023-07-31,50.429158148515654,-0.7606476836369539,49.66851046487869,37.247597853270875,12.543576403830105
2023-08-31,37.765753261270405,-0.7873668565425813,36.97838640472783,-26.227797229003478,63.330592890987006
2023-09-30,-10.186180581085784,-0.7864386577534604,-10.972619238839245,10.350775077488283,-21.193986471867714
2023-10-31,14.892506501771384,-0.8378440185001215,14.054662483271262,67.19846312257604,-52.9809868728648
2023-11-30,20.99720620322151,-0.8477060903914078,20.149500112830104,64.3489129143126,-44.06885240168193
2023-12-31,-4.649141645784079,-0.8858501536496889,-5.534991799433773,72.96498487798866,-78.34015823342762
2024-01-31,-12.822059842992871,-0.8806755295882889,-13.702735372581161,-10.971569101025297,-2.5582700336197806
2024-02-29,154.1809650188398,-0.8415706817099954,153.3393943371298,252.4115188544004,-98.91906087190254
2024-03-31,135.26621376057204,-1.117497398366002,134.14871636220605,212.38415757265673,-78.03700768493745
2024-04-30,94.24994207475339,-1.1932771662625372,93.05666490849084,-29.949329994915953,123.23873414067585
2024-05-31,6.303357758341432,-1.3549898063663954,4.948367951975039,60.3402443183805,-55.144089656307514
2024-06-30,88.44948215503395,-1.3147384936619622,87.134743661372,-173.7449165200137,261.129806917591
2024-07-31,99.79195662259,-1.4516495551816058,98.34030706740842,112.1693689435152,-13.584094154190318
2024-08-31,-15.46749286098381,-1.5453556472090972,-17.01284850819291,-93.86802431618243,77.13035821569098
2024-09-30,-29.357761696906366,-1.383716223720188,-30.741477920626547,96.3562287527539,-126.81080228288394
2024-10-31,16.544562365480616,-1.465322629672872,15.07923973580774,-53.3975054942434,68.74021066029476
2024-11-30,119.63408582348941,-1.4242676661826745,118.20981815730676,342.26014546880026,-223.74391333423407
2024-12-31,80.50576545910381,-1.6667049597628787,78.83906049934095,-34.64119479252045,113.78077080740053
2025-01-31,90.95351507775145,-1.6811232738415673,89.27239180390987,-77.63318478690127,167.27201813895078
2025-02-28,40.03358773769324,-1.6356841896834464,38.39790354800981,-102.9282399550102,141.62202932077193
2025-03-31,-46.88337242285236,-1.7711645017630049,-48.654536924615364,-123.60966729543128,75.30080528376605
2025-04-30,-24.41187899874811,-1.7848654725803441,-26.19674447132845,107.36109323098785,-133.18289683138715
2025-05-31,142.20866842711553,-1.852377793670271,140.35629063344527,58.65141770588912,82.10488391630153
2025-06-30,130.90006625293128,-1.9464953526645568,128.95357090026673,44.08556621585373,85.24649583702919
2025-07-31,36.374615268544574,-2.108340033544814,34.26627523499977,219.2707254305552,-184.51960958404038
2025-08-31,84.67270308345624,-2.1817080688914303,82.49099501456485,115.96380738652715,-32.97124577327315
2025-09-30,485.9000640685269,-2.3611025780596417,483.5389614904673,320.6323149508814,163.455377527662
2025-10-31,179.59651864583225,-2.8806021982725603,176.71591644755972,-42.14983230158839,219.5610075587541
2025-11-30,236.35241610676522,-2.9993755841179652,233.3530405226473,-79.35815124909408,313.3812718873204
2025-12-31,104.05187342294364,-3.3180733154964503,100.73380010744718,-57.16087921273735,158.7206905489722
2026-01-31,351.17634421265467,-3.6096294509842863,347.56671476167037,162.77919376085404,185.60678824721
2026-02-28,239.2618846788217,-3.516270338715378,235.7456143401063,-133.5900701145718,370.2313967027749
2026-03-31,185.2027974981059,-2.5102676553731387,182.69252984273277,195.74299989763213,-12.571003892579789
