,long_return,short_return,long_price_return,short_price_return,long_funding_return,short_funding_return,long_fee_return,short_fee_return
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2021-01-02,-0.0007473461364703586,0.0006482723862767679,-0.0007378223269465491,0.0006577961958005775,0.0,0.0,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-03,0.001400532542195447,0.0005997662142328031,0.001415254288227193,0.0005909907380423269,-5.197936507936508e-06,1.8299285714285715e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-04,0.006347148251932036,-0.004841106886005527,0.006363481109074893,-0.00491771783838648,-6.809047619047616e-06,8.613476190476191e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-05,0.003608937195934491,-0.001442912143692903,0.003492065053077348,-0.001483565635756395,0.00012639595238095238,5.017730158730158e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-06,-0.0043340322821669545,-0.00411258823020399,-0.004449422678992352,-0.004180274658775419,0.00012491420634920633,7.721023809523809e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-07,0.007534127076213411,-0.009098726644311897,0.007478552234943569,-0.00920404243796269,6.509865079365077e-05,0.00011483960317460316,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-08,-0.007068301413094117,0.0012054160956153387,-0.007022923238490943,0.0011242398257740689,-3.5854365079365074e-05,9.070007936507935e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-09,0.023502237044046397,-0.010172688797016282,0.023560596012300365,-0.010238102606540091,-4.883515873015873e-05,7.176301587301587e-05,-9.523809523809525e-06,-6.349206349206349e-06
2021-01-10,0.023851679456203288,-0.03928712809500321,0.024196599773663605,-0.03966194650770163,-0.0003353965079365079,0.0003843422222222222,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-11,-0.024800332621005887,0.006115431999175923,-0.02471701952576779,0.006040045411874335,-7.378928571428571e-05,8.491039682539681e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-12,-0.016866149201313376,0.014532674900159847,-0.016867481582265757,0.01451600823349318,1.403079365079365e-05,2.301587301587302e-05,-1.2698412698412699e-05,-6.349206349206349e-06
2021-01-13,0.008052976680106044,0.007649327041462801,0.008041088664233028,0.007634247676383436,2.141182539682539e-05,2.4603174603174605e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-14,0.04430654072997528,-0.03892179020565745,0.04423155541251496,-0.038979084808832054,8.13345238095238e-05,6.681841269841271e-05,-6.349206349206349e-06,-9.523809523809525e-06
2021-01-15,0.01589912143744203,-0.018628622365726384,0.015984605405695997,-0.018697129587948606,-7.596015873015875e-05,7.803103174603175e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-16,0.0055945851276789395,-0.017974192176292897,0.005551020286409098,-0.01800670670010242,5.308865079365078e-05,4.203833333333333e-05,-9.523809523809525e-06,-9.523809523809525e-06
2021-01-17,0.031496241927550406,-0.017027156328901352,0.03141306914977263,-0.0171409330749331,8.952198412698411e-05,0.00012330055555555557,-6.349206349206349e-06,-9.523809523809525e-06
2021-01-18,0.015162920130667083,-0.01793917019992754,0.015321214257651209,-0.01815995393008627,-0.00015194492063492061,0.0002334821428571428,-6.349206349206349e-06,-1.2698412698412699e-05
2021-01-19,0.00902279239925722,-0.008865057345653524,0.009147156605606426,-0.009165982425018603,-0.00011801500000000001,0.0003104488888888889,-6.349206349206349e-06,-9.523809523809525e-06
2021-01-20,-0.011985219351444193,0.002669387119478956,-0.011920482764142605,0.002488529897256734,-5.521277777777778e-05,0.00018720642857142855,-9.523809523809525e-06,-6.349206349206349e-06
2021-01-21,0.008707827259036235,0.005162879152370136,0.008785219481258457,0.005108418993639977,-6.469380952380952e-05,6.0809365079365075e-05,-1.2698412698412699e-05,-6.349206349206349e-06
2021-01-22,-0.07674565323283113,0.08515871014138936,-0.07676811093124383,0.08526551355408776,3.1981507936507935e-05,-0.00010045420634920629,-9.523809523809525e-06,-6.349206349206349e-06
2021-01-23,0.08029008802769173,-0.05878421606454223,0.0802529585038822,-0.05877318265184382,4.982793650793651e-05,8.014206349206346e-06,-1.2698412698412699e-05,-1.9047619047619046e-05
2021-01-24,0.017795973000198313,-0.01733289896327528,0.017862542603372916,-0.01738034737597369,-5.387119047619048e-05,5.697222222222223e-05,-1.2698412698412699e-05,-9.523809523809525e-06
2021-01-25,0.014323453629260699,-0.020555240649179185,0.01442281339116546,-0.02056125263330617,-8.66613492063492e-05,1.871039682539682e-05,-1.2698412698412699e-05,-1.2698412698412699e-05
2021-01-26,0.009587924843051305,0.00254616804699808,0.009607116033527496,0.002497159396204429,-6.492777777777762e-06,6.170706349206349e-05,-1.2698412698412699e-05,-1.2698412698412699e-05
2021-01-27,0.01160262112844266,0.0015506608646083254,0.011563646604633136,0.0015175368169892778,5.484753968253969e-05,4.2647857142857146e-05,-1.5873015873015872e-05,-9.523809523809525e-06
2021-01-28,-0.019048261662443843,0.029874849861739425,-0.019006820233872415,0.029839059782374344,-2.874301587301587e-05,3.8964682539682543e-05,-1.2698412698412699e-05,-3.1746031746031746e-06
2021-01-29,0.04940719343946795,-0.02840703176219761,0.04947483883629335,-0.02845618271457856,-5.177238095238096e-05,5.550015873015873e-05,-1.5873015873015872e-05,-6.349206349206349e-06
2021-01-30,-0.006421106826910999,-0.0035030015436801924,-0.006171837382466554,-0.0036077820198706684,-0.00023339642857142856,0.00012065349206349206,-1.5873015873015872e-05,-1.5873015873015872e-05
2021-01-31,0.015852915679005007,-0.02285280405138882,0.01625174020281453,-0.02324656960694438,-0.000382951507936508,0.00040646396825396824,-1.5873015873015872e-05,-1.2698412698412699e-05
2021-02-01,-0.02751052681438635,0.0213237210440625,-0.0272918208620054,0.021152004536125993,-0.00020283293650793648,0.0001844149206349206,-1.5873015873015872e-05,-1.2698412698412699e-05
2021-02-02,0.030887976134241834,-0.030068779277402223,0.031244943118368815,-0.030437928959941907,-0.00033157015873015874,0.00038184809523809536,-2.5396825396825397e-05,-1.2698412698412699e-05
2021-02-03,0.018933803536017455,-0.015973246312928263,0.019749179805858726,-0.016726685201817155,-0.000802677857142857,0.0007693119047619048,-1.2698412698412699e-05,-1.5873015873015872e-05
2021-02-04,0.02214310039486903,-0.021483849300857963,0.0233029235694722,-0.022368128427842093,-0.001147124761904762,0.0009096759523809523,-1.2698412698412699e-05,-2.5396825396825394e-05
2021-02-05,0.022552206605278496,-0.006168404607413158,0.023440174224326114,-0.006850277067730618,-0.0008752692063492062,0.000694570873015873,-1.2698412698412699e-05,-1.2698412698412699e-05
2021-02-06,0.03757928475025993,-0.04987668626069449,0.03861340221057739,-0.050704215387678615,-0.001011895238095238,0.0008434021428571428,-2.222222222222222e-05,-1.5873015873015872e-05
2021-02-07,-0.022986878779347863,0.007182575858954313,-0.02211611830315739,0.006402542287525742,-0.0008548874603174604,0.0007895573809523807,-1.5873015873015872e-05,-9.523809523809525e-06
2021-02-08,0.014312041529303925,0.016389435795219027,0.014591570338827735,0.016152852303155538,-0.00025730658730158725,0.00024293269841269843,-2.222222222222222e-05,-6.349206349206349e-06
2021-02-09,0.07945088917438833,-0.06405583911238434,0.08094999488867405,-0.0652699335568288,-0.0014800580952380952,0.0012299674603174604,-1.9047619047619046e-05,-1.5873015873015872e-05
2021-02-10,0.04732376324291453,-0.040260811065340796,0.04934330435402564,-0.042250784239943974,-0.0019973188888888892,0.001999496984126984,-2.2222222222222223e-05,-9.523809523809525e-06
2021-02-11,-0.002786110742547024,-0.03119924008200441,-0.0021498397108009925,-0.03165763103438536,-0.0006267472222222222,0.0004774385714285714,-9.523809523809525e-06,-1.9047619047619046e-05
2021-02-12,0.05228887902450023,-0.08617260369535909,0.053603833548309755,-0.08719713345726385,-0.0013054307142857143,0.0010499265873015872,-9.523809523809525e-06,-2.5396825396825394e-05
2021-02-13,0.03809096420496186,-0.023664928446868613,0.04042140341131106,-0.02566923098655115,-0.002320915396825396,0.0020233501587301585,-9.523809523809525e-06,-1.9047619047619046e-05
2021-02-14,-0.012135017995873599,-0.035980449344031884,-0.010699048868889472,-0.03737165537577791,-0.0014264453174603173,0.001407079047619048,-9.523809523809525e-06,-1.5873015873015872e-05
2021-02-15,-0.0014222338678390428,0.02945412755942529,-0.0008963964868866619,0.02891542914672688,-0.0005163135714285714,0.0005577460317460317,-9.523809523809525e-06,-1.9047619047619046e-05
2021-02-16,-0.02067221473108202,0.00241609937769617,-0.020449173461240748,0.0022280943776961703,-0.00020399365079365076,0.0001943542063492063,-1.9047619047619046e-05,-6.349206349206349e-06
2021-02-17,-0.0032556460713859927,-0.006926149635374859,-0.003087315912655834,-0.0070367782861685095,-0.00015483809523809524,0.00012570801587301588,-1.3492063492063494e-05,-1.5079365079365077e-05
2021-02-18,0.028379579298837724,-0.03843310910805954,0.029297921699631375,-0.03928577650885319,-0.0009088185912698414,0.0008717150198412697,-9.523809523809525e-06,-1.9047619047619046e-05
2021-02-19,0.019089486218142323,-0.022949975900170474,0.019954864928459784,-0.023750648221599044,-0.0008463310912698412,0.0008070215277777777,-1.9047619047619046e-05,-6.349206349206349e-06
2021-02-20,0.028990594453124522,-0.01262685601422487,0.029919742925346743,-0.01357348488327249,-0.00090692625,0.0009593272817460316,-2.222222222222222e-05,-1.2698412698412699e-05
2021-02-21,-0.01960226619297029,0.015004730944534654,-0.0193981187524941,0.014814463146915608,-0.00018827442460317458,0.00019979160714285717,-1.5873015873015872e-05,-9.523809523809525e-06
2021-02-22,0.0012634800851245489,-0.002442487868306592,0.0014344465533785173,-0.0027048467968780205,-0.00015826805555555555,0.00026870813492063493,-1.2698412698412699e-05,-6.349206349206349e-06
2021-02-23,-0.018966579183041888,0.023975431716145322,-0.01897285368701014,0.023971588085192938,2.532212301587302e-05,1.9716646825396835e-05,-1.9047619047619046e-05,-1.5873015873015872e-05
2021-02-24,-0.03800777937258876,0.03341332654654668,-0.03800361762655701,0.03348728525686415,8.536666666666667e-06,-5.808569444444444e-05,-1.2698412698412699e-05,-1.5873015873015872e-05
