date,official_nav,official_return,official_turnover,official_fee_usdt,official_funding_usdt,shadow_nav,shadow_return,shadow_turnover,nav_gap,return_gap,turnover_gap
2026-01-01,1.0,,0.0,0.0,0.0,10.940183045899945,0.00840200600732445,0.09523809523809523,9.940183045899945,0.00840200600732445,0.09523809523809523
2026-01-02,1.0,0.0,0.0,0.0,0.0,10.925014271618434,-0.0013865192399312887,0.09523809523809523,9.925014271618434,-0.0013865192399312887,0.09523809523809523
2026-01-03,1.0,0.0,0.0,0.0,0.0,10.892681824672852,-0.0029594878452082057,0.09523809523809523,9.892681824672852,-0.0029594878452082057,0.09523809523809523
2026-01-04,0.9999905773264016,-9.422673598380449e-06,6.360304678933176,0.0025441218715732,0.0,10.873435799063138,-0.0017668766901938943,0.09523809523809523,9.873445221736736,-0.001757454016595514,-6.265066583695081
2026-01-05,0.9969466354981824,-0.0030439705105599,6.819645082664147,0.0027278580330656,0.0016119205146528,10.809278307931569,-0.00590038809417503,0.09523809523809523,9.812331672433388,-0.00285641758361513,-6.724406987426052
2026-01-06,0.9981534277518482,0.0012104883157189,0.0,0.0,0.0018030414780455,10.813021402976197,0.00034628537983730006,0.09523809523809523,9.814867975224349,-0.0008642029358816,0.09523809523809523
2026-01-07,0.9981738701627684,2.048022914280523e-05,5.9191657559509565,0.0023676663023803,-2.583311000000125e-06,10.942618709387327,0.011985300091560066,0.09523809523809523,9.944444839224559,0.01196481986241726,-5.823927660712862
2026-01-08,0.998327384300987,0.0001537949878347,0.0,0.0,0.0004244830237441,10.93771684975028,-0.00044796038016392797,0.09523809523809523,9.939389465449294,-0.0006017553679986279,0.09523809523809523
2026-01-09,1.0007874485989945,0.0024641859340861,6.605177470666535,0.0026420709882666,0.00017908310885,10.883917977536678,-0.004918656512380893,0.09523809523809523,9.883130528937683,-0.007382842446466993,-6.5099393754284405
2026-01-10,0.9987220201574282,-0.002063803302547,11.707040313909154,0.0046828161255636,-0.0012759929815056,11.010617731967953,0.011641005995522051,0.09523809523809523,10.011895711810524,0.01370480929806905,-11.611802218671059
