,gross_pnl_usdt,fee_pnl_usdt,net_pnl_usdt,long_pnl_usdt,short_pnl_usdt
2021-12-31,193.09558839193411,-5.26343198255335,187.8321564093808,547.9743978477127,-359.3696723018242
2022-12-31,167.7383090816428,-7.1148844020919855,160.62342467955085,-79.4798771964372,241.21170040390098
2023-12-31,164.99042143068698,-9.075170145923957,155.91525128476303,350.0086377280516,-192.6303405713502
2024-12-31,737.2790166373214,-15.639765757684497,721.639250879637,679.3491236916058,45.22264272357751
2025-12-31,1459.7487766699599,-26.520912362586053,1433.227864307374,383.12497011993185,1055.9908278308276
2026-12-31,775.6410263895823,-9.636167445072804,766.0048589445095,224.93212354391437,543.2671810574051
