Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2014-01-02,Stock,华润双鹤(600062.XSHG),Long,800Shares,0Shares,22.61,18088,256,22.29,-,0,256,800Shares,1.44%,101758.98,17.78%
2014-01-02,Stock,古井贡酒(000596.XSHE),Long,800Shares,0Shares,22.31,17848,8,22.3,-,0,8,800Shares,0.04%,101758.98,17.54%
2014-01-02,Stock,科伦药业(002422.XSHE),Long,400Shares,0Shares,46.49,18596,276,45.8,-,0,276,400Shares,1.51%,101758.98,18.27%
2014-01-02,Stock,山西汾酒(600809.XSHG),Long,1000Shares,0Shares,19.27,19270,270,19,-,0,270,1000Shares,1.42%,101758.98,18.94%
2014-01-02,Stock,上海家化(600315.XSHG),Long,400Shares,0Shares,45.15,18060,976,42.71,-,0,976,400Shares,5.71%,101758.98,17.75%
2014-01-02,,Cash,,,,,9896.98,,,,,,,,0
2014-01-03,Stock,华润双鹤(600062.XSHG),Long,800Shares,800Shares,21.81,17448,-384,22.29,-,0,-640,0Shares,-2.15%,101558.98,17.18%
2014-01-03,Stock,古井贡酒(000596.XSHE),Long,800Shares,800Shares,22.61,18088,248,22.3,-,0,240,0Shares,1.39%,101558.98,17.81%
2014-01-03,Stock,科伦药业(002422.XSHE),Long,400Shares,400Shares,47.4,18960,640,45.8,-,0,364,0Shares,3.49%,101558.98,18.67%
2014-01-03,Stock,山西汾酒(600809.XSHG),Long,1000Shares,1000Shares,19.11,19110,110,19,-,0,-160,0Shares,0.58%,101558.98,18.82%
2014-01-03,Stock,上海家化(600315.XSHG),Long,400Shares,400Shares,45.14,18056,972,42.71,-,0,-4,0Shares,5.69%,101558.98,17.78%
2014-01-03,,Cash,,,,,9896.98,,,,,,,,0
2014-01-06,Stock,华润双鹤(600062.XSHG),Long,800Shares,800Shares,20.97,16776,-1056,22.29,-,0,-672,0Shares,-5.92%,98230.98,17.08%
