"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2024-12-04","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-14300 shares","28.73","-410839","-14300 shares","-","-1432.79","534.09","Filled","2024-12-04 09:30:00"
"2024-12-04","09:30:00","Equity","603369.XSHG","Sell","MarketOrder","-8700 shares","47.41","-412467","-8700 shares","-","3306","536.21","Filled","2024-12-04 09:30:00"
"2024-12-04","09:30:00","Equity","601816.XSHG","Sell","MarketOrder","-68400 shares","6.2","-424080","-68400 shares","-","10260","551.3","Filled","2024-12-04 09:30:00"
"2024-12-05","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-4300 shares","27.74","-119282","-4300 shares","-","-4687.84","155.07","Filled","2024-12-05 09:30:00"
"2024-12-05","09:30:00","Equity","603369.XSHG","Sell","MarketOrder","-2600 shares","47.11","-122486","-2600 shares","-","208","159.23","Filled","2024-12-05 09:30:00"
"2024-12-05","09:30:00","Equity","601816.XSHG","Sell","MarketOrder","-20500 shares","6.16","-126280","-20500 shares","-","2255","164.16","Filled","2024-12-05 09:30:00"
"2024-12-06","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-1300 shares","28.47","-37011","-1300 shares","-","-468.25","48.11","Filled","2024-12-06 09:30:00"
"2024-12-06","09:30:00","Equity","603369.XSHG","Sell","MarketOrder","-800 shares","47.56","-38048","-800 shares","-","424","49.46","Filled","2024-12-06 09:30:00"
"2024-12-06","09:30:00","Equity","601816.XSHG","Sell","MarketOrder","-6200 shares","6.25","-38750","-6200 shares","-","1240","50.38","Filled","2024-12-06 09:30:00"
"2024-12-09","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-400 shares","29.82","-11928","-400 shares","-","395.92","16.93","Filled","2024-12-09 09:30:00"
"2024-12-09","09:30:00","Equity","603369.XSHG","Sell","MarketOrder","-200 shares","47.31","-9462","-200 shares","-","56","14.46","Filled","2024-12-09 09:30:00"
"2024-12-09","09:30:00","Equity","601816.XSHG","Sell","MarketOrder","-1800 shares","6.25","-11250","-1800 shares","-","360","16.25","Filled","2024-12-09 09:30:00"
"2024-12-10","09:30:00","Equity","601816.XSHG","Sell","MarketOrder","-600 shares","6.46","-3876","-600 shares","-","246","8.88","Filled","2024-12-10 09:30:00"
"2024-12-17","09:30:00","Equity","603369.XSHG","Sell","MarketOrder","-200 shares","47.59","-9518","-200 shares","-","112","14.52","Filled","2024-12-17 09:30:00"
"2024-12-17","09:30:00","Equity","601816.XSHG","Sell","MarketOrder","-300 shares","6.2","-1860","-300 shares","-","45","6.86","Filled","2024-12-17 09:30:00"
"2024-12-17","09:30:00","Equity","300413.XSHE","Buy","MarketOrder","19400 shares","30.21","586074","19400 shares","-","0","175.82","Filled","2024-12-17 09:30:00"
"2024-12-17","09:30:00","Equity","603259.XSHG","Buy","MarketOrder","10600 shares","56","593600","10600 shares","-","0","178.08","Filled","2024-12-17 09:30:00"
"2024-12-17","09:30:00","Equity","002916.XSHE","Buy","MarketOrder","5800 shares","101.63","589454","5800 shares","-","0","176.84","Filled","2024-12-17 09:30:00"
"2024-12-19","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-13700 shares","29.22","-400314","-13700 shares","-","-13370.11","520.41","Filled","2024-12-19 09:30:00"
"2024-12-19","09:30:00","Equity","603259.XSHG","Sell","MarketOrder","-7400 shares","55.52","-410848","-7400 shares","-","-3552","534.1","Filled","2024-12-19 09:30:00"
"2024-12-19","09:30:00","Equity","002916.XSHE","Sell","MarketOrder","-4000 shares","108.5","-434000","-4000 shares","-","27480","564.2","Filled","2024-12-19 09:30:00"
"2024-12-24","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-2900 shares","28.5","-82650","-2900 shares","-","-4918.17","107.44","Filled","2024-12-24 09:30:00"
"2024-12-25","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-1500 shares","28.48","-42720","-1500 shares","-","-2573.88","55.54","Filled","2024-12-25 09:30:00"
"2024-12-25","09:30:00","Equity","002916.XSHE","Sell","MarketOrder","-900 shares","123","-110700","-900 shares","-","19233","143.91","Filled","2024-12-25 09:30:00"
"2024-12-26","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-700 shares","28.11","-19677","-700 shares","-","-1460.14","25.58","Filled","2024-12-26 09:30:00"
"2024-12-27","09:30:00","Equity","300413.XSHE","Sell","MarketOrder","-800 shares","27.73","-22184","-800 shares","-","-1972.74","28.84","Filled","2024-12-27 09:30:00"
"2024-12-27","09:30:00","Equity","002916.XSHE","Sell","MarketOrder","-400 shares","128.53","-51412","-400 shares","-","10760","66.84","Filled","2024-12-27 09:30:00"
"2024-12-30","09:30:00","Equity","002916.XSHE","Sell","MarketOrder","-200 shares","127.61","-25522","-200 shares","-","5196","33.18","Filled","2024-12-30 09:30:00"
"2024-12-31","09:30:00","Equity","002916.XSHE","Sell","MarketOrder","-100 shares","129.44","-12944","-100 shares","-","2781","17.94","Filled","2024-12-31 09:30:00"
"2024-12-31","09:30:00","Equity","603259.XSHG","Sell","MarketOrder","-3200 shares","56.08","-179456","-3200 shares","-","256","233.29","Filled","2024-12-31 09:30:00"
"2024-12-31","09:30:00","Equity","002916.XSHE","Sell","MarketOrder","-200 shares","129.44","-25888","-200 shares","-","5562","33.65","Filled","2024-12-31 09:30:00"
"2024-12-31","09:30:00","Equity","600938.XSHG","Buy","MarketOrder","20300 shares","29.57","600271","20300 shares","-","0","180.08","Filled","2024-12-31 09:30:00"
"2024-12-31","09:30:00","Equity","000786.XSHE","Buy","MarketOrder","19600 shares","30.6","599760","19600 shares","-","0","179.93","Filled","2024-12-31 09:30:00"
"2024-12-31","09:30:00","Equity","600018.XSHG","Buy","MarketOrder","98600 shares","6.1","601460","98600 shares","-","0","180.44","Filled","2024-12-31 09:30:00"
