"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","Equity","002028.XSHE","Long","700 shares","0 shares","26.13","18291","-77","26.24","-","0","-77","700 shares","-0.42%","100394.32"
"2011-01-04","Equity","601898.XSHG","Long","1800 shares","0 shares","11.07","19926","-72","11.11","-","0","-72","1800 shares","-0.36%","100394.32"
"2011-01-04","Equity","600395.XSHG","Long","500 shares","0 shares","35.62","17810","560","34.5","-","0","560","500 shares","3.25%","100394.32"
"2011-01-04","","Cash","","","","","44367.32","","","","","","","","0"
"2011-01-05","Equity","002028.XSHE","Long","700 shares","700 shares","26.75","18725","357","26.24","-","0","434","0 shares","1.94%","101061.32"
"2011-01-05","Equity","601898.XSHG","Long","1800 shares","1800 shares","11.18","20124","126","11.11","-","0","198","0 shares","0.63%","101061.32"
"2011-01-05","Equity","600395.XSHG","Long","500 shares","500 shares","35.69","17845","595","34.5","-","0","35","0 shares","3.45%","101061.32"
"2011-01-05","","Cash","","","","","44367.32","","","","","","","","0"
"2011-01-06","Equity","002028.XSHE","Long","700 shares","700 shares","26.46","18522","154","26.24","-","0","-203","0 shares","0.84%","100594.32"
"2011-01-06","Equity","601898.XSHG","Long","1800 shares","1800 shares","11.1","19980","-18","11.11","-","0","-144","0 shares","-0.09%","100594.32"
"2011-01-06","Equity","600395.XSHG","Long","500 shares","500 shares","35.45","17725","475","34.5","-","0","-120","0 shares","2.75%","100594.32"
"2011-01-06","","Cash","","","","","44367.32","","","","","","","","0"
"2011-01-07","Equity","002028.XSHE","Long","700 shares","700 shares","25.71","17997","-371","26.24","-","0","-525","0 shares","-2.02%","98996.32"
"2011-01-07","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.99","19782","-216","11.11","-","0","-198","0 shares","-1.08%","98996.32"
"2011-01-07","Equity","600395.XSHG","Long","500 shares","500 shares","33.7","16850","-400","34.5","-","0","-875","0 shares","-2.32%","98996.32"
"2011-01-07","","Cash","","","","","44367.32","","","","","","","","0"
"2011-01-10","Equity","002028.XSHE","Long","700 shares","700 shares","25.62","17934","-434","26.24","-","0","-63","0 shares","-2.36%","98600.32"
"2011-01-10","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.83","19494","-504","11.11","-","0","-288","0 shares","-2.52%","98600.32"
"2011-01-10","Equity","600395.XSHG","Long","500 shares","500 shares","33.61","16805","-445","34.5","-","0","-45","0 shares","-2.58%","98600.32"
"2011-01-10","","Cash","","","","","44367.32","","","","","","","","0"
"2011-01-11","Equity","002028.XSHE","Long","700 shares","700 shares","25.92","18144","-224","26.24","-","0","210","0 shares","-1.22%","99163.32"
"2011-01-11","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.89","19602","-396","11.11","-","0","108","0 shares","-1.98%","99163.32"
