Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2024-04-01,Stock,藏格矿业(000408.XSHE),Long,500Shares,500Shares,31.69,15845,415,30.86,-,0,80,0Shares,2.69%,145205.6,10.91%
2024-04-01,Stock,泰格医药(300347.XSHE),Long,500Shares,500Shares,53.1,26550,965,51.17,-,0,-25,0Shares,3.77%,145205.6,18.28%
2024-04-01,Stock,中国海油(600938.XSHG),Long,500Shares,500Shares,28.98,14490,160,28.66,-,0,-125,0Shares,1.12%,145205.6,9.98%
2024-04-01,,Cash,,,,,32513.6,,,,,,,,0
2024-04-02,Stock,芒果超媒(300413.XSHE),Long,1100Shares,1100Shares,24.84,27324,-11,24.85,-,0,-484,0Shares,-0.04%,144722.6,18.88%
2024-04-02,Stock,盐湖Shares份(000792.XSHE),Long,1700Shares,1700Shares,16.5,28050,-136,16.58,-,0,51,0Shares,-0.48%,144722.6,19.38%
2024-04-02,Stock,藏格矿业(000408.XSHE),Long,500Shares,500Shares,31.83,15915,485,30.86,-,0,70,0Shares,3.14%,144722.6,11%
2024-04-02,Stock,泰格医药(300347.XSHE),Long,500Shares,500Shares,52.04,26020,435,51.17,-,0,-530,0Shares,1.7%,144722.6,17.98%
2024-04-02,Stock,中国海油(600938.XSHG),Long,500Shares,500Shares,29.8,14900,570,28.66,-,0,410,0Shares,3.98%,144722.6,10.3%
2024-04-02,,Cash,,,,,32513.6,,,,,,,,0
2024-04-03,Stock,芒果超媒(300413.XSHE),Long,1100Shares,1100Shares,24.13,26543,-792,24.85,-,0,-781,0Shares,-2.9%,144461.6,18.37%
2024-04-03,Stock,盐湖Shares份(000792.XSHE),Long,1700Shares,1700Shares,16.85,28645,459,16.58,-,0,595,0Shares,1.63%,144461.6,19.83%
2024-04-03,Stock,藏格矿业(000408.XSHE),Long,500Shares,500Shares,33.36,16680,1250,30.86,-,0,765,0Shares,8.1%,144461.6,11.55%
2024-04-03,Stock,泰格医药(300347.XSHE),Long,500Shares,500Shares,50.24,25120,-465,51.17,-,0,-900,0Shares,-1.82%,144461.6,17.39%
2024-04-03,Stock,中国海油(600938.XSHG),Long,500Shares,500Shares,29.92,14960,630,28.66,-,0,60,0Shares,4.4%,144461.6,10.36%
2024-04-03,,Cash,,,,,32513.6,,,,,,,,0
2024-04-08,Stock,藏格矿业(000408.XSHE),Long,800Shares,500Shares,33.28,26624,1144,31.85,-,0,-106,300Shares,4.49%,143495.22,18.55%
2024-04-08,Stock,北新建材(000786.XSHE),Long,900Shares,0Shares,29.84,26856,216,29.6,-,0,216,900Shares,0.81%,143495.22,18.72%
2024-04-08,Stock,五粮液(000858.XSHE),Long,100Shares,0Shares,147.29,14729,-471,152,-,0,-471,100Shares,-3.1%,143495.22,10.26%
2024-04-08,Stock,上港集团(600018.XSHG),Long,5100Shares,0Shares,5.58,28458,0,5.58,-,0,0,5100Shares,0%,143495.22,19.83%
2024-04-08,,Cash,,,,,46828.22,,,,,,,,0
2024-04-09,Stock,藏格矿业(000408.XSHE),Long,800Shares,800Shares,32.4,25920,440,31.85,-,0,-704,0Shares,1.73%,142764.22,18.16%
2024-04-09,Stock,北新建材(000786.XSHE),Long,900Shares,900Shares,29.73,26757,117,29.6,-,0,-99,0Shares,0.44%,142764.22,18.74%
2024-04-09,Stock,五粮液(000858.XSHE),Long,100Shares,100Shares,146.48,14648,-552,152,-,0,-81,0Shares,-3.63%,142764.22,10.26%
2024-04-09,Stock,上港集团(600018.XSHG),Long,5100Shares,5100Shares,5.61,28611,153,5.58,-,0,153,0Shares,0.54%,142764.22,20.04%
2024-04-09,,Cash,,,,,46828.22,,,,,,,,0
2024-04-10,Stock,藏格矿业(000408.XSHE),Long,800Shares,800Shares,32.51,26008,528,31.85,-,0,88,0Shares,2.07%,142039.22,18.31%
2024-04-10,Stock,北新建材(000786.XSHE),Long,900Shares,900Shares,29.2,26280,-360,29.6,-,0,-477,0Shares,-1.35%,142039.22,18.5%
2024-04-10,Stock,五粮液(000858.XSHE),Long,100Shares,100Shares,143.12,14312,-888,152,-,0,-336,0Shares,-5.84%,142039.22,10.08%
2024-04-10,Stock,上港集团(600018.XSHG),Long,5100Shares,5100Shares,5.61,28611,153,5.58,-,0,0,0Shares,0.54%,142039.22,20.14%
2024-04-10,,Cash,,,,,46828.22,,,,,,,,0
2024-04-11,Stock,藏格矿业(000408.XSHE),Long,800Shares,800Shares,31.72,25376,-104,31.85,-,0,-632,0Shares,-0.41%,141374.22,17.95%
2024-04-11,Stock,北新建材(000786.XSHE),Long,900Shares,900Shares,29.25,26325,-315,29.6,-,0,45,0Shares,-1.18%,141374.22,18.62%
2024-04-11,Stock,五粮液(000858.XSHE),Long,100Shares,100Shares,142.34,14234,-966,152,-,0,-78,0Shares,-6.36%,141374.22,10.07%
2024-04-11,Stock,上港集团(600018.XSHG),Long,5100Shares,5100Shares,5.61,28611,153,5.58,-,0,0,0Shares,0.54%,141374.22,20.24%
2024-04-11,,Cash,,,,,46828.22,,,,,,,,0
2024-04-12,Stock,藏格矿业(000408.XSHE),Long,800Shares,800Shares,32.08,25664,184,31.85,-,0,288,0Shares,0.72%,141486.22,18.14%
2024-04-12,Stock,北新建材(000786.XSHE),Long,900Shares,900Shares,29.09,26181,-459,29.6,-,0,-144,0Shares,-1.72%,141486.22,18.5%
2024-04-12,Stock,五粮液(000858.XSHE),Long,100Shares,100Shares,140.49,14049,-1151,152,-,0,-185,0Shares,-7.57%,141486.22,9.93%
