Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2023-01-20,09:30:00,Stock,特变电工(600089.XSHG),Buy,Market_Order,1000Shares,20.89,20890,1000Shares,-,0,6.27,Filled,2023-01-20 09:30:00
2023-01-20,09:30:00,Stock,中国电信(601728.XSHG),Buy,Market_Order,4800Shares,4.44,21312,4800Shares,-,0,6.39,Filled,2023-01-20 09:30:00
2023-01-20,09:30:00,Stock,中国联通(600050.XSHG),Buy,Market_Order,4100Shares,5.19,21279,4100Shares,-,0,6.38,Filled,2023-01-20 09:30:00
2023-02-09,09:30:00,Stock,中国联通(600050.XSHG),Sell,Market_Order,-2000Shares,4.83,-9660,-2000Shares,-,-720,14.66,Filled,2023-02-09 09:30:00
2023-02-10,09:30:00,Stock,中国联通(600050.XSHG),Sell,Market_Order,-1000Shares,4.92,-4920,-1000Shares,-,-270,9.92,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,天齐锂业(002466.XSHE),Sell,Market_Order,-200Shares,91.85,-18370,-200Shares,-,590,23.88,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,北方稀土(600111.XSHG),Sell,Market_Order,-700Shares,28.88,-20216,-700Shares,-,959,26.28,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,特变电工(600089.XSHG),Sell,Market_Order,-1000Shares,21.33,-21330,-1000Shares,-,440,27.73,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,中国电信(601728.XSHG),Sell,Market_Order,-4800Shares,5.01,-24048,-4800Shares,-,2736,31.26,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,中国联通(600050.XSHG),Sell,Market_Order,-1100Shares,4.92,-5412,-1100Shares,-,-297,10.41,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,藏格矿业(000408.XSHE),Buy,Market_Order,700Shares,28.52,19964,700Shares,-,0,5.99,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,900Shares,22.34,20106,900Shares,-,0,6.03,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,生益科技(600183.XSHG),Buy,Market_Order,1300Shares,16.83,21879,1300Shares,-,0,6.56,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,北新建材(000786.XSHE),Buy,Market_Order,700Shares,28.71,20097,700Shares,-,0,6.03,Filled,2023-02-10 09:30:00
2023-02-10,09:30:00,Stock,金域医学(603882.XSHG),Buy,Market_Order,200Shares,85.52,17104,200Shares,-,0,5.13,Filled,2023-02-10 09:30:00
2023-02-24,09:30:00,Stock,藏格矿业(000408.XSHE),Sell,Market_Order,-700Shares,28.05,-19635,-700Shares,-,-329,25.53,Filled,2023-02-24 09:30:00
2023-02-24,09:30:00,Stock,生益科技(600183.XSHG),Sell,Market_Order,-1300Shares,17.27,-22451,-1300Shares,-,572,29.19,Filled,2023-02-24 09:30:00
