"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-05-30","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","300 shares","26","7800","300 shares","-","0","5","Filled","2011-05-30 09:30:00"
"2011-06-03","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-300 shares","27.03","-8109","-300 shares","-","309","13.11","Filled","2011-06-03 11:25:00"
"2011-06-07","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-2400 shares","21","-50400","-2400 shares","-","1416","65.52","Filled","2011-06-07 11:25:00"
"2011-06-08","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-1200 shares","41.05","-49260","-1200 shares","-","3714","64.04","Filled","2011-06-08 11:25:00"
"2011-06-21","09:30:00","Equity","002555.XSHE","Buy","MarketOrder","4300 shares","12.52","53836","4300 shares","-","0","16.15","Filled","2011-06-21 09:30:00"
"2011-06-21","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","3000 shares","17.64","52920","3000 shares","-","0","15.88","Filled","2011-06-21 09:30:00"
"2011-06-24","11:25:00","Equity","002555.XSHE","Sell","MarketOrder","-4300 shares","13.42","-57706","-4300 shares","-","3870","75.02","Filled","2011-06-24 11:25:00"
"2011-07-01","11:25:00","Equity","002335.XSHE","Sell","MarketOrder","-3000 shares","19.7","-59100","-3000 shares","-","6180","76.83","Filled","2011-07-01 11:25:00"
"2011-07-21","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","5600 shares","21","117600","5600 shares","-","0","35.28","Filled","2011-07-21 09:30:00"
"2011-07-25","14:50:00","Equity","002049.XSHE","Sell","MarketOrder","-5600 shares","19.6","-109760","-5600 shares","-","-7840","142.69","Filled","2011-07-25 14:50:00"
"2011-08-02","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","6200 shares","17.67","109554","6200 shares","-","0","32.87","Filled","2011-08-02 09:30:00"
"2011-08-08","11:25:00","Equity","002402.XSHE","Sell","MarketOrder","-6200 shares","15.67","-97154","-6200 shares","-","-12400","126.3","Filled","2011-08-08 11:25:00"
"2011-08-09","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","2100 shares","15.05","31605","2100 shares","-","0","9.48","Filled","2011-08-09 09:30:00"
"2011-08-09","09:30:00","Equity","600803.XSHG","Buy","MarketOrder","3200 shares","10.03","32096","3200 shares","-","0","9.63","Filled","2011-08-09 09:30:00"
"2011-08-09","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","1400 shares","21.69","30366","1400 shares","-","0","9.11","Filled","2011-08-09 09:30:00"
"2011-08-11","09:30:00","Equity","600089.XSHG","Buy","MarketOrder","100 shares","10.39","1039","100 shares","-","0","5","Filled","2011-08-11 09:30:00"
