"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-02-01","","Cash","","","","","78900.15","","","","","","","","0"
"2011-02-09","Equity","002049.XSHE","Long","700 shares","700 shares","22.95","16065","2065","20","-","0","812","0 shares","14.75%","108625.15"
"2011-02-09","Equity","002236.XSHE","Long","200 shares","200 shares","68.3","13660","486","65.87","-","0","-230","0 shares","3.69%","108625.15"
"2011-02-09","","Cash","","","","","78900.15","","","","","","","","0"
"2011-02-10","Equity","002236.XSHE","Long","200 shares","200 shares","70.53","14106","932","65.87","-","0","446","0 shares","7.07%","109469.66"
"2011-02-10","","Cash","","","","","95363.66","","","","","","","","0"
"2011-02-11","Equity","002236.XSHE","Long","200 shares","200 shares","71.33","14266","1092","65.87","-","0","160","0 shares","8.29%","109629.66"
"2011-02-11","","Cash","","","","","95363.66","","","","","","","","0"
"2011-02-14","Equity","002236.XSHE","Long","200 shares","200 shares","75.4","15080","1906","65.87","-","0","814","0 shares","14.47%","110443.66"
"2011-02-14","","Cash","","","","","95363.66","","","","","","","","0"
"2011-02-15","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-16","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-17","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-18","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-21","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-22","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-23","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-24","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-25","","Cash","","","","","110799.21","","","","","","","","0"
"2011-02-28","","Cash","","","","","110799.21","","","","","","","","0"
"2011-03-01","","Cash","","","","","110799.21","","","","","","","","0"
"2011-03-02","","Cash","","","","","110799.21","","","","","","","","0"
"2011-03-03","","Cash","","","","","110799.21","","","","","","","","0"
"2011-03-04","Equity","002049.XSHE","Long","4600 shares","0 shares","24.8","114080","5566","23.59","-","0","5566","4600 shares","5.13%","116332.65"
"2011-03-04","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-07","Equity","002049.XSHE","Long","4600 shares","4600 shares","24.88","114448","5934","23.59","-","0","368","0 shares","5.47%","116700.65"
"2011-03-07","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-08","Equity","002049.XSHE","Long","4600 shares","4600 shares","24.88","114448","5934","23.59","-","0","0","0 shares","5.47%","116700.65"
"2011-03-08","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-09","Equity","002049.XSHE","Long","4600 shares","4600 shares","24.65","113390","4876","23.59","-","0","-1058","0 shares","4.49%","115642.65"
"2011-03-09","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-10","Equity","002049.XSHE","Long","4600 shares","4600 shares","24.99","114954","6440","23.59","-","0","1564","0 shares","5.93%","117206.65"
"2011-03-10","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-11","Equity","002049.XSHE","Long","4600 shares","4600 shares","24.98","114908","6394","23.59","-","0","-46","0 shares","5.89%","117160.65"
"2011-03-11","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-14","Equity","002049.XSHE","Long","4600 shares","4600 shares","25.55","117530","9016","23.59","-","0","2622","0 shares","8.31%","119782.65"
"2011-03-14","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-15","Equity","002049.XSHE","Long","4600 shares","4600 shares","24.56","112976","4462","23.59","-","0","-4554","0 shares","4.11%","115228.65"
"2011-03-15","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-16","Equity","002049.XSHE","Long","4600 shares","4600 shares","25.25","116150","7636","23.59","-","0","3174","0 shares","7.04%","118402.65"
"2011-03-16","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-17","Equity","002049.XSHE","Long","4600 shares","4600 shares","25.68","118128","9614","23.59","-","0","1978","0 shares","8.86%","120380.65"
"2011-03-17","","Cash","","","","","2252.65","","","","","","","","0"
"2011-03-18","Equity","600760.XSHG","Long","100 shares","0 shares","16.25","1625","43","15.82","-","0","43","100 shares","2.72%","130004.41"
"2011-03-18","","Cash","","","","","128379.41","","","","","","","","0"
"2011-03-21","Equity","600760.XSHG","Long","100 shares","100 shares","16.34","1634","52","15.82","-","0","9","0 shares","3.29%","130013.41"
"2011-03-21","","Cash","","","","","128379.41","","","","","","","","0"
"2011-03-22","Equity","600760.XSHG","Long","100 shares","100 shares","16.23","1623","41","15.82","-","0","-11","0 shares","2.59%","130002.41"
"2011-03-22","","Cash","","","","","128379.41","","","","","","","","0"
"2011-03-23","Equity","600760.XSHG","Long","100 shares","100 shares","16.31","1631","49","15.82","-","0","8","0 shares","3.1%","130010.41"
"2011-03-23","","Cash","","","","","128379.41","","","","","","","","0"
"2011-03-24","","Cash","","","","","130000.78","","","","","","","","0"
"2011-03-25","","Cash","","","","","130000.78","","","","","","","","0"
"2011-03-28","","Cash","","","","","130000.78","","","","","","","","0"
"2011-03-29","","Cash","","","","","130000.78","","","","","","","","0"
"2011-03-30","","Cash","","","","","130000.78","","","","","","","","0"
"2011-03-31","","Cash","","","","","130000.78","","","","","","","","0"
"2011-04-01","Equity","600089.XSHG","Long","6400 shares","0 shares","20.62","131968","2368","20.25","-","0","2368","6400 shares","1.83%","132329.9"
"2011-04-01","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-06","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.62","131968","2368","20.25","-","0","0","0 shares","1.83%","132329.9"
"2011-04-06","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-07","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.76","132864","3264","20.25","-","0","896","0 shares","2.52%","133225.9"
"2011-04-07","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-08","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.78","132992","3392","20.25","-","0","128","0 shares","2.62%","133353.9"
"2011-04-08","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-11","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.15","128960","-640","20.25","-","0","-4032","0 shares","-0.49%","129321.9"
"2011-04-11","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-12","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.13","128832","-768","20.25","-","0","-128","0 shares","-0.59%","129193.9"
"2011-04-12","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-13","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.38","130432","832","20.25","-","0","1600","0 shares","0.64%","130793.9"
"2011-04-13","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-14","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.18","129152","-448","20.25","-","0","-1280","0 shares","-0.35%","129513.9"
"2011-04-14","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-15","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.06","128384","-1216","20.25","-","0","-768","0 shares","-0.94%","128745.9"
"2011-04-15","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-18","Equity","600089.XSHG","Long","6400 shares","6400 shares","20.26","129664","64","20.25","-","0","1280","0 shares","0.05%","130025.9"
"2011-04-18","","Cash","","","","","361.9","","","","","","","","0"
"2011-04-19","","Cash","","","","","125063.58","","","","","","","","0"
"2011-04-20","Equity","002056.XSHE","Long","3700 shares","0 shares","33.25","123025","1110","32.95","-","0","1110","3700 shares","0.91%","126137"
"2011-04-20","","Cash","","","","","3112","","","","","","","","0"
"2011-04-21","Equity","002056.XSHE","Long","3700 shares","3700 shares","33.88","125356","3441","32.95","-","0","2331","0 shares","2.82%","128468"
"2011-04-21","","Cash","","","","","3112","","","","","","","","0"
"2011-04-22","Equity","002056.XSHE","Long","3700 shares","3700 shares","33.42","123654","1739","32.95","-","0","-1702","0 shares","1.43%","126766"
"2011-04-22","","Cash","","","","","3112","","","","","","","","0"
"2011-04-25","Equity","002056.XSHE","Long","3700 shares","3700 shares","32.08","118696","-3219","32.95","-","0","-4958","0 shares","-2.64%","121808"
"2011-04-25","","Cash","","","","","3112","","","","","","","","0"
"2011-04-26","Equity","002056.XSHE","Long","3700 shares","3700 shares","31.76","117512","-4403","32.95","-","0","-1184","0 shares","-3.61%","120624"
"2011-04-26","","Cash","","","","","3112","","","","","","","","0"
"2011-04-27","Equity","002335.XSHE","Long","100 shares","0 shares","23.16","2316","7","23.09","-","0","7","100 shares","0.3%","117258.42"
"2011-04-27","","Cash","","","","","114942.42","","","","","","","","0"
"2011-04-28","","Cash","","","","","117151.21","","","","","","","","0"
"2011-04-29","Equity","002049.XSHE","Long","2800 shares","0 shares","21.7","60760","3304","20.52","-","0","3304","2800 shares","5.75%","121066.37"
"2011-04-29","Equity","300059.XSHE","Long","1500 shares","0 shares","37.33","55995","645","36.9","-","0","645","1500 shares","1.17%","121066.37"
"2011-04-29","","Cash","","","","","4311.37","","","","","","","","0"
"2011-05-03","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.06","61768","4312","20.52","-","0","1008","0 shares","7.5%","122539.37"
"2011-05-03","Equity","300059.XSHE","Long","1500 shares","1500 shares","37.64","56460","1110","36.9","-","0","465","0 shares","2.01%","122539.37"
"2011-05-03","","Cash","","","","","4311.37","","","","","","","","0"
"2011-05-04","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.88","61264","3808","20.52","-","0","-504","0 shares","6.63%","121083.37"
"2011-05-04","Equity","300059.XSHE","Long","1500 shares","1500 shares","37.05","55575","225","36.9","-","0","-885","0 shares","0.41%","121083.37"
"2011-05-04","Equity","002402.XSHE","Long","100 shares","0 shares","29.21","2921","-62","29.83","-","0","-62","100 shares","-2.08%","121083.37"
"2011-05-04","","Cash","","","","","1323.37","","","","","","","","0"
"2011-05-05","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.28","62384","4928","20.52","-","0","1120","0 shares","8.58%","123522.37"
"2011-05-05","Equity","300059.XSHE","Long","1500 shares","1500 shares","37.95","56925","1575","36.9","-","0","1350","0 shares","2.85%","123522.37"
"2011-05-05","Equity","002402.XSHE","Long","100 shares","100 shares","28.9","2890","-93","29.83","-","0","-31","0 shares","-3.12%","123522.37"
"2011-05-05","","Cash","","","","","1323.37","","","","","","","","0"
"2011-05-06","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.19","62132","4984","20.41","-","0","56","0 shares","8.72%","124373.77"
"2011-05-06","Equity","300059.XSHE","Long","1500 shares","1500 shares","38.5","57750","2400","36.9","-","0","825","0 shares","4.34%","124373.77"
"2011-05-06","Equity","002402.XSHE","Long","100 shares","100 shares","29.22","2922","-61","29.83","-","0","32","0 shares","-2.04%","124373.77"
"2011-05-06","","Cash","","","","","1569.77","","","","","","","","0"
"2011-05-09","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.43","62804","5656","20.41","-","0","672","0 shares","9.9%","125164.77"
"2011-05-09","Equity","300059.XSHE","Long","1500 shares","1500 shares","38.58","57870","2520","36.9","-","0","120","0 shares","4.55%","125164.77"
"2011-05-09","Equity","002402.XSHE","Long","100 shares","100 shares","29.21","2921","-62","29.83","-","0","-1","0 shares","-2.08%","125164.77"
"2011-05-09","","Cash","","","","","1569.77","","","","","","","","0"
"2011-05-10","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.46","62888","5740","20.41","-","0","84","0 shares","10.04%","125774.77"
"2011-05-10","Equity","300059.XSHE","Long","1500 shares","1500 shares","38.92","58380","3030","36.9","-","0","510","0 shares","5.47%","125774.77"
"2011-05-10","Equity","002402.XSHE","Long","100 shares","100 shares","29.37","2937","-46","29.83","-","0","16","0 shares","-1.54%","125774.77"
"2011-05-10","","Cash","","","","","1569.77","","","","","","","","0"
"2011-05-11","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.02","61656","4508","20.41","-","0","-1232","0 shares","7.89%","124692.77"
"2011-05-11","Equity","300059.XSHE","Long","1500 shares","1500 shares","39.02","58530","3180","36.9","-","0","150","0 shares","5.75%","124692.77"
"2011-05-11","Equity","002402.XSHE","Long","100 shares","100 shares","29.37","2937","-46","29.83","-","0","0","0 shares","-1.54%","124692.77"
"2011-05-11","","Cash","","","","","1569.77","","","","","","","","0"
"2011-05-12","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.89","61292","4144","20.41","-","0","-364","0 shares","7.25%","121849.77"
"2011-05-12","Equity","300059.XSHE","Long","1500 shares","1500 shares","37.4","56100","750","36.9","-","0","-2430","0 shares","1.36%","121849.77"
"2011-05-12","Equity","002402.XSHE","Long","100 shares","100 shares","28.88","2888","-95","29.83","-","0","-49","0 shares","-3.18%","121849.77"
"2011-05-12","","Cash","","","","","1569.77","","","","","","","","0"
"2011-05-13","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.7","60760","3612","20.41","-","0","-532","0 shares","6.32%","121827.77"
"2011-05-13","Equity","300059.XSHE","Long","1500 shares","1500 shares","37.72","56580","1230","36.9","-","0","480","0 shares","2.22%","121827.77"
"2011-05-13","Equity","002402.XSHE","Long","100 shares","100 shares","29.18","2918","-65","29.83","-","0","30","0 shares","-2.18%","121827.77"
"2011-05-13","","Cash","","","","","1569.77","","","","","","","","0"
"2011-05-16","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.4","62720","5572","20.41","-","0","1960","0 shares","9.75%","123913.77"
"2011-05-16","Equity","300059.XSHE","Long","1500 shares","1500 shares","37.78","56670","1320","36.9","-","0","90","0 shares","2.38%","123913.77"
"2011-05-16","Equity","002402.XSHE","Long","100 shares","100 shares","29.54","2954","-29","29.83","-","0","36","0 shares","-0.97%","123913.77"
"2011-05-16","","Cash","","","","","1569.77","","","","","","","","0"
"2011-05-17","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.82","61096","3948","20.41","-","0","-1624","0 shares","6.91%","122222.09"
"2011-05-17","Equity","002402.XSHE","Long","100 shares","100 shares","29.6","2960","-23","29.83","-","0","6","0 shares","-0.77%","122222.09"
"2011-05-17","","Cash","","","","","58166.09","","","","","","","","0"
"2011-05-18","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.3","62440","5292","20.41","-","0","1344","0 shares","9.26%","123576.09"
"2011-05-18","Equity","002402.XSHE","Long","100 shares","100 shares","29.7","2970","-13","29.83","-","0","10","0 shares","-0.44%","123576.09"
"2011-05-18","","Cash","","","","","58166.09","","","","","","","","0"
"2011-05-19","Equity","002049.XSHE","Long","2800 shares","2800 shares","22.03","61684","4536","20.41","-","0","-756","0 shares","7.94%","122820.09"
"2011-05-19","Equity","002402.XSHE","Long","100 shares","100 shares","29.7","2970","-13","29.83","-","0","0","0 shares","-0.44%","122820.09"
"2011-05-19","","Cash","","","","","58166.09","","","","","","","","0"
"2011-05-20","Equity","002049.XSHE","Long","2800 shares","2800 shares","22","61600","4452","20.41","-","0","-84","0 shares","7.79%","122684.09"
"2011-05-20","Equity","002402.XSHE","Long","100 shares","100 shares","29.18","2918","-65","29.83","-","0","-52","0 shares","-2.18%","122684.09"
"2011-05-20","","Cash","","","","","58166.09","","","","","","","","0"
"2011-05-23","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.48","60144","2996","20.41","-","0","-1456","0 shares","5.24%","121910.18"
"2011-05-23","Equity","002236.XSHE","Long","700 shares","0 shares","77.49","54243","756","76.41","-","0","756","700 shares","1.41%","121910.18"
"2011-05-23","","Cash","","","","","7523.18","","","","","","","","0"
"2011-05-24","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.13","59164","2016","20.41","-","0","-980","0 shares","3.53%","121516.18"
"2011-05-24","Equity","002236.XSHE","Long","700 shares","700 shares","78.18","54726","1239","76.41","-","0","483","0 shares","2.32%","121516.18"
"2011-05-24","Equity","600160.XSHG","Long","200 shares","0 shares","27.22","5444","108","26.68","-","0","108","200 shares","2.02%","121516.18"
"2011-05-24","","Cash","","","","","2182.18","","","","","","","","0"
"2011-05-25","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.51","60228","3080","20.41","-","0","1064","0 shares","5.39%","122892.18"
"2011-05-25","Equity","002236.XSHE","Long","700 shares","700 shares","78.6","55020","1533","76.41","-","0","294","0 shares","2.87%","122892.18"
"2011-05-25","Equity","600160.XSHG","Long","200 shares","200 shares","27.31","5462","126","26.68","-","0","18","0 shares","2.36%","122892.18"
"2011-05-25","","Cash","","","","","2182.18","","","","","","","","0"
"2011-05-26","Equity","002049.XSHE","Long","2800 shares","2800 shares","21.45","60060","2912","20.41","-","0","-168","0 shares","5.1%","122752.18"
"2011-05-26","Equity","002236.XSHE","Long","700 shares","700 shares","78.3","54810","1323","76.41","-","0","-210","0 shares","2.47%","122752.18"
"2011-05-26","Equity","600160.XSHG","Long","200 shares","200 shares","28.5","5700","364","26.68","-","0","238","0 shares","6.82%","122752.18"
"2011-05-26","","Cash","","","","","2182.18","","","","","","","","0"
"2011-05-27","Equity","002049.XSHE","Long","2800 shares","2800 shares","21","58800","1652","20.41","-","0","-1260","0 shares","2.89%","121231.73"
"2011-05-27","Equity","002236.XSHE","Long","700 shares","700 shares","78.3","54810","1323","76.41","-","0","0","0 shares","2.47%","121231.73"
"2011-05-27","","Cash","","","","","7621.73","","","","","","","","0"
"2011-05-30","Equity","002049.XSHE","Long","2800 shares","2800 shares","20.5","57400","252","20.41","-","0","-1400","0 shares","0.44%","119788.73"
"2011-05-30","Equity","002236.XSHE","Long","700 shares","700 shares","78.3","54810","1323","76.41","-","0","0","0 shares","2.47%","119788.73"
