date,returns
2025-11-18,-0.0173709100074314
2025-11-19,-0.0061019207592254
2025-11-20,-0.0005250489382714
2025-11-21,-0.0250734328515122
2025-11-24,0.0165159208808753
2025-11-25,0.0048875503704575
2025-11-26,0.0014837187952889
2025-11-27,-0.0036050460456477
2025-11-28,-0.0027833583789421
2025-12-01,-0.0151049004383061
2025-12-02,-0.0033737639707768
2025-12-03,0.0002301847276218
2025-12-04,-0.005284090829973
2025-12-05,0.0105771138223338
2025-12-08,-0.0011919358913291
2025-12-09,-0.0082361551507073
2025-12-10,-0.0069364683539825
2025-12-11,-0.022110580218845
2025-12-12,0.0245513682249929
2025-12-15,0.0012878318852289
2025-12-16,-0.0181680271601197
2025-12-17,0.0084070016749258
2025-12-18,-0.008979387485379
2025-12-19,0.0131082038296108
2025-12-22,-0.0023828479111324
2025-12-23,-0.0034132188678129
2025-12-24,-0.0029597719507717
2025-12-29,-0.0153429767861281
2025-12-30,-0.0051689417529799
2025-12-31,0.0007659074579609
2026-01-02,0.0076019106367768
2026-01-05,0.0056446744175289
