"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2019-02-20","Equity","601238.XSHG","Long","13800 shares","13800 shares","11.28","155664","7452","10.74","-","0","1242","0 shares","5.03%","1122656.5"
"2019-02-20","","Cash","","","","","8507.5","","","","","","","","0"
"2019-02-21","Equity","002601.XSHE","Long","11500 shares","11500 shares","13.65","156975","8165","12.94","-","0","-1840","0 shares","5.49%","1125277.5"
"2019-02-21","Equity","600009.XSHG","Long","2900 shares","2900 shares","56.8","164720","17980","50.6","-","0","1421","0 shares","12.25%","1125277.5"
"2019-02-21","Equity","002050.XSHE","Long","10500 shares","10500 shares","14.3","150150","1575","14.15","-","0","-3150","0 shares","1.06%","1125277.5"
"2019-02-21","Equity","603799.XSHG","Long","4800 shares","4800 shares","33.95","162960","16512","30.51","-","0","-816","0 shares","11.27%","1125277.5"
"2019-02-21","Equity","600176.XSHG","Long","14300 shares","14300 shares","10.92","156156","7150","10.42","-","0","-1859","0 shares","4.8%","1125277.5"
"2019-02-21","Equity","002236.XSHE","Long","10500 shares","10500 shares","15.81","166005","18060","14.09","-","0","4725","0 shares","12.21%","1125277.5"
"2019-02-21","Equity","601238.XSHG","Long","13800 shares","13800 shares","11.58","159804","11592","10.74","-","0","4140","0 shares","7.82%","1125277.5"
"2019-02-21","","Cash","","","","","8507.5","","","","","","","","0"
"2019-02-22","Equity","002601.XSHE","Long","11500 shares","11500 shares","13.68","157320","8510","12.94","-","0","345","0 shares","5.72%","1148243.5"
"2019-02-22","Equity","600009.XSHG","Long","2900 shares","2900 shares","58.97","171013","24273","50.6","-","0","6293","0 shares","16.54%","1148243.5"
"2019-02-22","Equity","002050.XSHE","Long","10500 shares","10500 shares","14.58","153090","4515","14.15","-","0","2940","0 shares","3.04%","1148243.5"
"2019-02-22","Equity","603799.XSHG","Long","4800 shares","4800 shares","34.25","164400","17952","30.51","-","0","1440","0 shares","12.26%","1148243.5"
"2019-02-22","Equity","600176.XSHG","Long","14300 shares","14300 shares","10.78","154154","5148","10.42","-","0","-2002","0 shares","3.45%","1148243.5"
"2019-02-22","Equity","002236.XSHE","Long","10500 shares","10500 shares","16.35","171675","23730","14.09","-","0","5670","0 shares","16.04%","1148243.5"
"2019-02-22","Equity","601238.XSHG","Long","13800 shares","13800 shares","12.18","168084","19872","10.74","-","0","8280","0 shares","13.41%","1148243.5"
"2019-02-22","","Cash","","","","","8507.5","","","","","","","","0"
"2019-02-25","Equity","002601.XSHE","Long","11500 shares","11500 shares","14.2","163300","14490","12.94","-","0","5980","0 shares","9.74%","1201173.24"
"2019-02-25","Equity","600009.XSHG","Long","1500 shares","1500 shares","59.45","89175","13275","50.6","-","0","720","0 shares","17.49%","1201173.24"
"2019-02-25","Equity","002050.XSHE","Long","10500 shares","10500 shares","15.32","160860","12285","14.15","-","0","7770","0 shares","8.27%","1201173.24"
"2019-02-25","Equity","603799.XSHG","Long","4800 shares","4800 shares","37.55","180240","33792","30.51","-","0","15840","0 shares","23.07%","1201173.24"
"2019-02-25","Equity","600176.XSHG","Long","14300 shares","14300 shares","11.21","160303","11297","10.42","-","0","6149","0 shares","7.58%","1201173.24"
"2019-02-25","Equity","002236.XSHE","Long","5300 shares","5300 shares","17.25","91425","16748","14.09","-","0","4770","0 shares","22.43%","1201173.24"
"2019-02-25","Equity","601238.XSHG","Long","13800 shares","13800 shares","12.52","172776","24564","10.74","-","0","4692","0 shares","16.57%","1201173.24"
"2019-02-25","","Cash","","","","","183094.24","","","","","","","","0"
"2019-02-26","Equity","002601.XSHE","Long","11500 shares","11500 shares","14.22","163530","14720","12.94","-","0","230","0 shares","9.89%","1193416.08"
"2019-02-26","Equity","600009.XSHG","Long","1500 shares","1500 shares","56.93","85395","9495","50.6","-","0","-3780","0 shares","12.51%","1193416.08"
"2019-02-26","Equity","002050.XSHE","Long","10500 shares","10500 shares","15.07","158235","9660","14.15","-","0","-2625","0 shares","6.5%","1193416.08"
"2019-02-26","Equity","603799.XSHG","Long","2400 shares","2400 shares","39.62","95088","21864","30.51","-","0","4968","0 shares","29.86%","1193416.08"
"2019-02-26","Equity","600176.XSHG","Long","14300 shares","14300 shares","11.02","157586","8580","10.42","-","0","-2717","0 shares","5.76%","1193416.08"
"2019-02-26","Equity","002236.XSHE","Long","2700 shares","2700 shares","16.72","45144","7101","14.09","-","0","-1431","0 shares","18.67%","1193416.08"
"2019-02-26","Equity","601238.XSHG","Long","13800 shares","13800 shares","12.32","170016","21804","10.74","-","0","-2760","0 shares","14.71%","1193416.08"
