year,most_frequently_selected_stocks
2020,sh600793_10 sh600613_8 sh603383_8 sh603637_8 sh603508_7 sz002468_7 sh603086_6 sh603331_6 sz002777_6 sz002840_6 sh600094_5 sh601311_5 sh603339_5 sh603639_5 sh603797_5 sz000617_5 sh600965_4 sh603160_4 sh603379_4 sz002120_4
2021,sh603022_4 sh603383_4 sz300109_4 sh603090_3 sz002969_3 sh600589_2 sh603320_2 sh603360_2 sh603929_2 sh688108_2 sz002058_2 sz002248_2 sz002476_2 sz002779_2 sz300577_2 sh600094_1 sh600455_1 sh600615_1 sh600778_1 sh603089_1
