Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2018-01-02,,Cash,,,,,100000,,,,,,,,0
2018-01-03,,Cash,,,,,100000,,,,,,,,0
2018-01-04,,Cash,,,,,100000,,,,,,,,0
2018-01-05,,Cash,,,,,100000,,,,,,,,0
2018-01-08,,Cash,,,,,100000,,,,,,,,0
2018-01-09,,Cash,,,,,100000,,,,,,,,0
2018-01-10,,Cash,,,,,100000,,,,,,,,0
2018-01-11,Stock,阳光电源(300274.XSHE),Long,5900Shares,0Shares,17.12,101008,2065,16.77,-,0,2065,5900Shares,2.09%,102035.32,98.99%
2018-01-11,,Cash,,,,,1027.32,,,,,,,,0
2018-01-12,Stock,阳光电源(300274.XSHE),Long,5900Shares,5900Shares,16.93,99887,944,16.77,-,0,-1121,0Shares,0.95%,100914.32,98.98%
2018-01-12,,Cash,,,,,1027.32,,,,,,,,0
2018-01-15,,Cash,,,,,96659.83,,,,,,,,0
2018-01-16,Stock,数据港(603881.XSHG),Long,2200Shares,0Shares,44.1,97020,1496,43.42,-,0,1496,2200Shares,1.57%,98127.18,98.87%
2018-01-16,,Cash,,,,,1107.18,,,,,,,,0
2018-01-17,Stock,数据港(603881.XSHG),Long,2200Shares,2200Shares,43.98,96756,1232,43.42,-,0,-264,0Shares,1.29%,97863.18,98.87%
2018-01-17,,Cash,,,,,1107.18,,,,,,,,0
2018-01-18,Stock,数据港(603881.XSHG),Long,2200Shares,2200Shares,43.99,96778,1254,43.42,-,0,22,0Shares,1.31%,97883.18,98.87%
2018-01-18,Stock,横店东磁(002056.XSHE),Long,100Shares,0Shares,10.27,1027,3,10.24,-,0,3,100Shares,0.29%,97883.18,1.05%
2018-01-18,,Cash,,,,,78.18,,,,,,,,0
2018-01-19,Stock,数据港(603881.XSHG),Long,2200Shares,2200Shares,44.25,97350,1826,43.42,-,0,572,0Shares,1.91%,98434.18,98.9%
2018-01-19,Stock,横店东磁(002056.XSHE),Long,100Shares,100Shares,10.06,1006,-18,10.24,-,0,-21,0Shares,-1.76%,98434.18,1.02%
2018-01-19,,Cash,,,,,78.18,,,,,,,,0
