Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-06-25,11:25:00,Stock,盛弘股份(300693.XSHE),Sell,Market_Order,-4200Shares,25.6,-107520,-4200Shares,-,12684,139.78,Filled,2018-06-25 11:25:00
2018-06-26,09:30:00,Stock,科沃斯(603486.XSHG),Buy,Market_Order,900Shares,55.98,50382,900Shares,-,0,15.11,Filled,2018-06-26 09:30:00
2018-06-26,09:30:00,Stock,紫光国微(002049.XSHE),Buy,Market_Order,1400Shares,37.94,53116,1400Shares,-,0,15.93,Filled,2018-06-26 09:30:00
2018-06-28,11:25:00,Stock,科沃斯(603486.XSHG),Sell,Market_Order,-900Shares,60.69,-54621,-900Shares,-,4239,71.01,Filled,2018-06-28 11:25:00
2018-06-29,09:30:00,Stock,太阳能(000591.XSHE),Buy,Market_Order,16200Shares,3.64,58968,16200Shares,-,0,17.69,Filled,2018-06-29 09:30:00
2018-06-29,14:50:00,Stock,紫光国微(002049.XSHE),Sell,Market_Order,-1400Shares,44.1,-61740,-1400Shares,-,8624,80.26,Filled,2018-06-29 14:50:00
2018-07-02,14:50:00,Stock,太阳能(000591.XSHE),Sell,Market_Order,-16200Shares,3.44,-55728,-16200Shares,-,-3240,72.45,Filled,2018-07-02 14:50:00
2018-07-04,09:30:00,Stock,太阳能(000591.XSHE),Buy,Market_Order,34500Shares,3.4,117300,34500Shares,-,0,35.19,Filled,2018-07-04 09:30:00
2018-07-10,11:25:00,Stock,横店东磁(002056.XSHE),Sell,Market_Order,-100Shares,7.63,-763,-100Shares,-,112,5.76,Filled,2018-07-10 11:25:00
2018-07-17,11:25:00,Stock,太阳能(000591.XSHE),Sell,Market_Order,-34500Shares,3.59,-123855,-34500Shares,-,6555,161.01,Filled,2018-07-17 11:25:00
2018-07-24,09:30:00,Stock,科沃斯(603486.XSHG),Buy,Market_Order,1900Shares,62.58,118902,1900Shares,-,0,35.67,Filled,2018-07-24 09:30:00
2018-07-26,11:25:00,Stock,科沃斯(603486.XSHG),Sell,Market_Order,-1900Shares,59.65,-113335,-1900Shares,-,-5567,147.34,Filled,2018-07-26 11:25:00
2018-07-31,09:30:00,Stock,大华股份(002236.XSHE),Buy,Market_Order,3100Shares,18.72,58032,3100Shares,-,0,17.41,Filled,2018-07-31 09:30:00
2018-07-31,09:30:00,Stock,盛弘股份(300693.XSHE),Buy,Market_Order,2700Shares,22,59400,2700Shares,-,0,17.82,Filled,2018-07-31 09:30:00
2018-08-01,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,100Shares,11.22,1122,100Shares,-,0,5,Filled,2018-08-01 09:30:00
2018-08-01,14:50:00,Stock,大华股份(002236.XSHE),Sell,Market_Order,-3100Shares,18.08,-56048,-3100Shares,-,-1984,72.86,Filled,2018-08-01 14:50:00
2018-08-02,11:25:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-100Shares,10.21,-1021,-100Shares,-,-101,6.02,Filled,2018-08-02 11:25:00
2018-08-02,14:50:00,Stock,盛弘股份(300693.XSHE),Sell,Market_Order,-2700Shares,21.28,-57456,-2700Shares,-,-1944,74.69,Filled,2018-08-02 14:50:00
2018-08-03,09:30:00,Stock,领益智造(002600.XSHE),Buy,Market_Order,31500Shares,3.63,114345,31500Shares,-,0,34.3,Filled,2018-08-03 09:30:00
2018-08-23,11:25:00,Stock,领益智造(002600.XSHE),Sell,Market_Order,-31500Shares,3.52,-110880,-31500Shares,-,-3465,144.14,Filled,2018-08-23 11:25:00
2018-08-28,09:30:00,Stock,领益智造(002600.XSHE),Buy,Market_Order,35400Shares,3.13,110802,35400Shares,-,0,33.24,Filled,2018-08-28 09:30:00
2018-08-29,11:25:00,Stock,领益智造(002600.XSHE),Sell,Market_Order,-35400Shares,2.96,-104784,-35400Shares,-,-6018,136.22,Filled,2018-08-29 11:25:00
2018-09-03,09:30:00,Stock,领益智造(002600.XSHE),Buy,Market_Order,37000Shares,2.83,104710,37000Shares,-,0,31.41,Filled,2018-09-03 09:30:00
2018-09-05,11:25:00,Stock,领益智造(002600.XSHE),Sell,Market_Order,-37000Shares,3.22,-119140,-37000Shares,-,14430,154.88,Filled,2018-09-05 11:25:00
2018-09-11,09:30:00,Stock,紫光国微(002049.XSHE),Buy,Market_Order,1500Shares,37.24,55860,1500Shares,-,0,16.76,Filled,2018-09-11 09:30:00
2018-09-11,09:30:00,Stock,华友钴业(603799.XSHG),Buy,Market_Order,1200Shares,46.23,55476,1200Shares,-,0,16.64,Filled,2018-09-11 09:30:00
2018-09-17,11:25:00,Stock,紫光国微(002049.XSHE),Sell,Market_Order,-1500Shares,36.1,-54150,-1500Shares,-,-1710,70.4,Filled,2018-09-17 11:25:00
2018-09-18,09:30:00,Stock,科沃斯(603486.XSHG),Buy,Market_Order,700Shares,41.8,29260,700Shares,-,0,8.78,Filled,2018-09-18 09:30:00
2018-09-18,09:30:00,Stock,盛弘股份(300693.XSHE),Buy,Market_Order,2000Shares,15.2,30400,2000Shares,-,0,9.12,Filled,2018-09-18 09:30:00
2018-09-19,11:25:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-1200Shares,49.25,-59100,-1200Shares,-,3624,76.83,Filled,2018-09-19 11:25:00
2018-09-25,11:25:00,Stock,盛弘股份(300693.XSHE),Sell,Market_Order,-2000Shares,16.05,-32100,-2000Shares,-,1700,41.73,Filled,2018-09-25 11:25:00
2018-09-28,09:30:00,Stock,盛弘股份(300693.XSHE),Buy,Market_Order,6000Shares,15.38,92280,6000Shares,-,0,27.68,Filled,2018-09-28 09:30:00
2018-10-08,11:25:00,Stock,盛弘股份(300693.XSHE),Sell,Market_Order,-6000Shares,14.65,-87900,-6000Shares,-,-4380,114.27,Filled,2018-10-08 11:25:00
2018-10-10,09:30:00,Stock,中航沈飞(600760.XSHG),Buy,Market_Order,2500Shares,35.07,87675,2500Shares,-,0,26.3,Filled,2018-10-10 09:30:00
2018-10-11,11:25:00,Stock,科沃斯(603486.XSHG),Sell,Market_Order,-0Shares,--,0,-700Shares,-,-0,0,Order_Cancelled,2018-10-11 11:25:00
2018-10-11,14:50:00,Stock,科沃斯(603486.XSHG),Sell,Market_Order,-0Shares,--,0,-700Shares,-,-0,0,Order_Cancelled,2018-10-11 14:50:00
