cumulative_contribution,rank
0.4084386609640965,1
0.7893915539115538,2
1.1066528558947883,3
1.4035456015868228,4
1.6926549345920543,5
1.889068985292603,6
2.061148623621435,7
2.230603534795717,8
2.399891338571304,9
2.5613405784020773,10
2.7136909110642327,11
2.8592238382015727,12
2.9992597339744536,13
3.125785641950461,14
3.24748122754611,15
3.3619791295394426,16
3.4740603295979993,17
3.5856703068229643,18
3.6969421993674003,19
3.806614483506752,20
3.9155241293497483,21
4.023772819667175,22
4.121510771661512,23
4.213946347372444,24
4.304750984884346,25
4.3879310186957925,26
4.471110631143247,27
4.5517917988708065,28
4.628615774939953,29
4.703743944871175,30
4.77386937993569,31
4.843713402314955,32
4.910094373996555,33
4.965468136739278,34
5.015912112807035,35
5.064443164197181,36
5.112208412087469,37
5.158654226690344,38
5.203267480588741,39
5.245192907264894,40
5.286151723040001,41
5.326762763733116,42
5.365620774224373,43
5.402962251109235,44
5.43583383032246,45
5.465871481408299,46
5.495609818526487,47
5.525149964781065,48
5.55280157433389,49
5.578456278579511,50
5.603674046992775,51
5.626578745482797,52
5.648539167564778,53
5.6704604907506235,54
5.690658632531533,55
5.708184126878705,56
5.724563630214564,57
5.738815241947775,58
5.752520589730917,59
5.765641703638489,60
5.778520441150389,61
5.79132170001707,62
5.802020089699556,63
5.8090713416052076,64
5.815955558207608,65
5.821960130265778,66
5.8267039697527725,67
5.830005902506818,68
5.831959652808043,69
5.8334740680795605,70
5.83470004415083,71
5.834785104994599,72
5.834785104994599,73
5.834785104994599,74
5.834785104994599,75
5.834785104994599,76
5.834785104994599,77
5.834785104994599,78
5.834785104994599,79
5.834785104994599,80
5.834785104994599,81
5.834785104994599,82
5.834785104994599,83
5.834785104994599,84
5.834785104994599,85
5.834785104994599,86
5.834785104994599,87
5.834785104994599,88
5.834785104994599,89
5.834785104994599,90
5.834785104994599,91
5.834785104994599,92
5.834785104994599,93
5.834785104994599,94
5.834785104994599,95
5.834785104994599,96
5.834785104994599,97
5.834785104994599,98
5.834785104994599,99
5.834785104994599,100
5.834785104994599,101
5.834785104994599,102
5.834785104994599,103
5.834785104994599,104
5.834785104994599,105
5.834785104994599,106
5.834785104994599,107
5.834785104994599,108
5.834785104994599,109
5.834785104994599,110
5.834785104994599,111
5.834785104994599,112
5.834785104994599,113
5.834785104994599,114
5.834785104994599,115
5.834785104994599,116
5.834785104994599,117
5.834785104994599,118
5.834785104994599,119
5.834785104994599,120
5.834785104994599,121
5.834785104994599,122
5.834785104994599,123
5.834785104994599,124
5.834785104994599,125
5.834785104994599,126
5.834785104994599,127
5.834785104994599,128
5.834785104994599,129
5.834785104994599,130
5.834785104994599,131
5.834785104994599,132
5.834785104994599,133
5.834785104994599,134
5.834785104994599,135
5.834785104994599,136
5.834785104994599,137
5.834785104994599,138
5.834785104994599,139
5.834785104994599,140
5.834785104994599,141
5.834785104994599,142
5.834785104994599,143
5.834785104994599,144
5.834785104994599,145
5.834785104994599,146
5.834785104994599,147
5.834785104994599,148
5.834785104994599,149
5.834785104994599,150
5.834785104994599,151
5.834785104994599,152
5.834785104994599,153
5.834785104994599,154
5.834785104994599,155
5.834785104994599,156
5.834785104994599,157
5.834785104994599,158
5.834785104994599,159
5.834785104994599,160
5.834785104994599,161
5.834785104994599,162
5.834785104994599,163
5.834785104994599,164
5.834785104994599,165
5.834785104994599,166
5.834785104994599,167
5.834785104994599,168
5.834785104994599,169
5.834785104994599,170
5.834785104994599,171
5.834785104994599,172
5.834785104994599,173
5.834785104994599,174
5.834785104994599,175
5.834785104994599,176
5.834785104994599,177
5.834785104994599,178
5.834785104994599,179
5.834785104994599,180
5.834785104994599,181
5.834785104994599,182
5.834785104994599,183
5.834785104994599,184
5.834785104994599,185
5.834785104994599,186
5.834785104994599,187
5.834785104994599,188
5.834785104994599,189
5.834785104994599,190
5.834785104994599,191
5.834785104994599,192
5.834785104994599,193
5.834785104994599,194
5.834785104994599,195
5.834785104994599,196
5.834785104994599,197
5.834785104994599,198
5.834785104994599,199
5.834785104994599,200
5.834785104994599,201
5.834785104994599,202
5.834785104994599,203
5.834785104994599,204
5.834785104994599,205
5.834785104994599,206
5.834785104994599,207
5.834785104994599,208
5.834785104994599,209
5.834785104994599,210
5.834785104994599,211
5.834785104994599,212
5.834785104994599,213
5.834785104994599,214
5.834785104994599,215
5.834785104994599,216
5.834785104994599,217
5.834785104994599,218
5.834785104994599,219
5.834785104994599,220
5.834785104994599,221
5.834785104994599,222
5.834785104994599,223
5.834785104994599,224
5.834785104994599,225
5.834785104994599,226
5.834785104994599,227
5.834785104994599,228
5.834785104994599,229
5.834785104994599,230
5.834785104994599,231
5.834785104994599,232
5.834785104994599,233
5.834785104994599,234
5.834785104994599,235
5.834785104994599,236
5.834785104994599,237
5.834785104994599,238
5.834785104994599,239
5.834785104994599,240
5.834785104994599,241
5.834785104994599,242
5.834785104994599,243
5.834785104994599,244
5.834785104994599,245
5.834785104994599,246
5.834785104994599,247
5.834785104994599,248
5.834785104994599,249
5.834785104994599,250
5.834785104994599,251
5.834785104994599,252
5.834785104994599,253
5.834785104994599,254
5.834785104994599,255
5.834785104994599,256
5.834785104994599,257
5.834785104994599,258
5.834785104994599,259
5.834785104994599,260
5.834785104994599,261
5.834785104994599,262
5.834785104994599,263
5.834785104994599,264
5.834785104994599,265
5.834785104994599,266
5.834785104994599,267
5.834785104994599,268
5.834785104994599,269
5.834785104994599,270
5.834785104994599,271
5.834785104994599,272
5.834785104994599,273
5.834785104994599,274
5.834785104994599,275
5.834785104994599,276
5.834785104994599,277
5.834785104994599,278
5.834785104994599,279
5.834785104994599,280
5.834785104994599,281
5.834785104994599,282
5.834785104994599,283
5.834785104994599,284
5.834785104994599,285
5.834785104994599,286
5.834785104994599,287
5.834785104994599,288
5.834785104994599,289
5.834785104994599,290
5.834785104994599,291
5.834785104994599,292
5.834785104994599,293
5.834785104994599,294
5.834785104994599,295
5.834785104994599,296
5.834785104994599,297
5.834785104994599,298
5.834785104994599,299
5.834785104994599,300
5.834785104994599,301
5.834785104994599,302
5.834785104994599,303
5.834785104994599,304
5.834785104994599,305
5.834785104994599,306
5.834785104994599,307
5.834785104994599,308
5.834785104994599,309
5.834785104994599,310
5.834785104994599,311
5.834785104994599,312
5.834785104994599,313
5.834785104994599,314
5.834785104994599,315
5.834785104994599,316
5.834785104994599,317
5.834785104994599,318
5.834785104994599,319
5.834785104994599,320
5.834785104994599,321
5.834785104994599,322
5.834785104994599,323
5.834785104994599,324
5.834785104994599,325
5.834785104994599,326
5.834785104994599,327
5.834785104994599,328
5.834785104994599,329
5.834785104994599,330
5.834785104994599,331
5.834785104994599,332
5.834785104994599,333
5.834785104994599,334
5.834785104994599,335
5.834785104994599,336
5.834785104994599,337
5.834785104994599,338
5.834785104994599,339
5.834785104994599,340
5.834785104994599,341
5.834785104994599,342
5.834785104994599,343
5.834785104994599,344
5.834785104994599,345
5.834785104994599,346
5.834785104994599,347
5.834785104994599,348
5.834785104994599,349
5.834785104994599,350
5.834785104994599,351
5.834785104994599,352
5.834785104994599,353
5.834785104994599,354
5.834785104994599,355
5.834785104994599,356
5.834785104994599,357
5.834785104994599,358
5.834785104994599,359
5.834785104994599,360
5.834785104994599,361
5.834785104994599,362
5.834785104994599,363
5.834785104994599,364
5.834785104994599,365
5.834785104994599,366
5.834785104994599,367
5.834785104994599,368
5.834785104994599,369
5.834785104994599,370
5.834785104994599,371
5.834785104994599,372
5.834785104994599,373
5.834785104994599,374
5.834785104994599,375
5.834785104994599,376
5.834785104994599,377
5.834785104994599,378
5.834785104994599,379
5.834785104994599,380
5.834785104994599,381
5.834785104994599,382
5.834785104994599,383
5.834785104994599,384
5.834785104994599,385
5.834785104994599,386
5.834785104994599,387
5.834785104994599,388
5.834785104994599,389
5.834785104994599,390
5.834785104994599,391
5.834785104994599,392
5.834785104994599,393
5.834785104994599,394
5.834785104994599,395
5.834785104994599,396
5.834785104994599,397
5.834785104994599,398
5.834785104994599,399
5.834785104994599,400
5.834785104994599,401
5.834785104994599,402
5.834785104994599,403
5.834785104994599,404
5.834785104994599,405
5.834785104994599,406
5.834785104994599,407
5.834785104994599,408
5.834785104994599,409
5.834785104994599,410
5.834785104994599,411
5.834785104994599,412
5.834785104994599,413
5.834785104994599,414
5.834785104994599,415
5.834785104994599,416
5.834785104994599,417
5.834785104994599,418
5.834785104994599,419
5.834785104994599,420
5.834785104994599,421
5.834785104994599,422
5.834785104994599,423
5.834785104994599,424
5.834785104994599,425
5.834785104994599,426
5.834785104994599,427
5.834785104994599,428
5.834785104994599,429
5.834785104994599,430
5.834785104994599,431
5.834785104994599,432
5.834785104994599,433
5.834785104994599,434
5.834785104994599,435
5.834785104994599,436
5.834785104994599,437
5.834785104994599,438
5.834785104994599,439
5.834785104994599,440
5.834785104994599,441
5.834785104994599,442
5.834785104994599,443
5.834785104994599,444
5.834785104994599,445
5.834785104994599,446
5.834785104994599,447
5.834785104994599,448
5.834785104994599,449
5.834785104994599,450
5.834785104994599,451
5.834785104994599,452
5.834785104994599,453
5.834785104994599,454
5.834785104994599,455
5.834785104994599,456
5.834785104994599,457
5.834785104994599,458
5.834785104994599,459
5.834785104994599,460
5.834785104994599,461
5.834785104994599,462
5.834785104994599,463
5.834785104994599,464
5.834785104994599,465
5.834785104994599,466
5.834785104994599,467
5.834785104994599,468
5.834785104994599,469
5.834785104994599,470
5.834785104994599,471
5.834785104994599,472
5.834785104994599,473
5.834785104994599,474
5.834785104994599,475
5.834785104994599,476
5.834785104994599,477
5.834785104994599,478
5.834785104994599,479
5.834785104994599,480
5.834785104994599,481
5.834785104994599,482
5.834785104994599,483
5.834785104994599,484
5.834785104994599,485
5.834785104994599,486
5.834785104994599,487
5.834785104994599,488
5.834785104994599,489
5.834785104994599,490
5.834785104994599,491
5.834785104994599,492
5.834785104994599,493
5.834785104994599,494
5.834785104994599,495
5.834785104994599,496
5.834785104994599,497
5.834785104994599,498
5.834785104994599,499
5.834785104994599,500
5.834785104994599,501
5.834785104994599,502
5.834785104994599,503
5.834785104994599,504
5.834785104994599,505
5.834785104994599,506
5.834785104994599,507
5.834785104994599,508
5.834785104994599,509
5.834785104994599,510
5.834785104994599,511
5.834785104994599,512
5.834785104994599,513
5.834785104994599,514
5.834785104994599,515
5.834785104994599,516
5.834785104994599,517
5.834785104994599,518
5.834785104994599,519
5.834785104994599,520
5.834785104994599,521
5.834785104994599,522
5.834785104994599,523
5.834785104994599,524
5.834785104994599,525
5.834785104994599,526
5.834785104994599,527
5.834785104994599,528
5.834785104994599,529
5.834785104994599,530
5.834785104994599,531
5.834785104994599,532
5.834785104994599,533
5.834785104994599,534
5.834785104994599,535
5.834785104994599,536
5.834785104994599,537
5.834785104994599,538
5.834785104994599,539
5.834785104994599,540
5.834785104994599,541
5.834785104994599,542
5.834785104994599,543
5.834785104994599,544
5.834785104994599,545
5.834785104994599,546
5.834785104994599,547
5.834785104994599,548
5.834785104994599,549
5.834785104994599,550
5.834785104994599,551
5.834785104994599,552
5.834785104994599,553
5.834785104994599,554
5.834785104994599,555
5.834785104994599,556
5.834785104994599,557
5.834785104994599,558
5.834785104994599,559
5.834785104994599,560
5.834785104994599,561
5.834785104994599,562
5.834785104994599,563
5.834785104994599,564
5.834785104994599,565
5.834785104994599,566
5.834785104994599,567
5.834785104994599,568
5.834785104994599,569
5.834785104994599,570
5.834785104994599,571
5.834785104994599,572
5.834785104994599,573
5.834785104994599,574
5.834785104994599,575
5.834785104994599,576
5.834785104994599,577
5.834785104994599,578
5.834785104994599,579
5.834785104994599,580
5.834785104994599,581
5.834785104994599,582
5.834785104994599,583
5.834785104994599,584
5.834785104994599,585
5.834785104994599,586
5.834785104994599,587
5.834785104994599,588
5.834785104994599,589
5.834785104994599,590
