,total_contribution,avg_weight,turnover
2233,-0.1201516238118797,0.0314223761889116,3.375807339278619
546,-0.10027558595488,0.0178067144862465,2.531662186434258
3818,-0.0766919693310528,0.0054283134265944,0.9645726442901698
38,-0.0705852357849745,0.0021651326686009,0.3918165836892275
272,-0.0656596079962807,0.0288780596114521,2.3747325208781582
709,-0.0584269343915647,0.00889166008975,1.0581106065503083
1060,-0.0527578727404194,0.0027638602630415,0.4919866490628479
1585,-0.04888019524564,0.008184021139726,1.1656677110630045
1725,-0.0466437560184476,0.0012822420716368,0.1497188837316155
3738,-0.0425477688136729,0.0094410600828031,0.8766383953410257
1361,-0.0400354239577475,0.0034705091553307,0.323123753396659
1905,-0.0358675348964642,0.0198683538197483,1.6273769355169247
1068,-0.0335121816701805,0.0010293767299185,0.1559422295548775
1811,-0.030283850373771,0.0026357524165556,0.5248287066431383
1685,-0.0301327501256797,0.000863468156474,0.0788731011906254
2799,-0.0294363700279465,0.0018824486435381,0.2468459845436293
1918,-0.0283638641165319,0.0014022879097565,0.2611758043812962
107,-0.0280081649233042,0.0055379169746617,0.822364275344132
3382,-0.0277338966832779,0.0032505887408639,0.4922329170334072
956,-0.0251379542091205,0.0222386779580354,2.995091931940964
520,-0.0235897341723289,0.003077580670971,0.1610020979625413
337,-0.0224801986832647,0.0013558732818744,0.2185273850711519
1415,-0.0215126032783694,0.0012539079420691,0.2934141836005864
1053,-0.0200385746558866,0.0016426288980679,0.2460666186651611
3380,-0.0196393107622911,0.001570583845772,0.2190909430595032
1086,-0.0191597398305068,0.0037407282488222,0.5296066636703185
1258,-0.0185903160906271,0.0009476501114812,0.1940665551585798
1855,-0.0182664940078776,0.0015667078501489,0.2267260976486034
3877,-0.0178401283577862,0.019797878084266,2.2422389397224465
631,-0.0173894357413002,0.0012982162227774,0.2304911871787288
