timetag,open,high,low,close,volumn,amount,open_ineterst
20190621,3.42,3.48,2.85,3.01,45760000.0,177314400.00,0.00
20190624,2.94,3.00,2.81,2.83,5844000.0,20804710.00,0.00
20190625,2.88,2.88,2.58,2.82,5318000.0,18001760.00,0.00
20190626,2.82,2.94,2.73,2.89,8222000.0,30130700.00,0.00
20190627,2.87,2.95,2.81,2.91,1768000.0,6336700.00,0.00
20190628,2.93,2.95,2.82,2.95,1461050.0,5199887.00,0.00
20190702,3.03,3.03,2.88,2.92,2801000.0,10139100.00,0.00
20190703,2.92,2.95,2.89,2.91,963000.0,3462960.00,0.00
20190704,2.92,2.92,2.76,2.79,2139000.0,7504500.00,0.00
20190705,2.79,2.89,2.79,2.82,615000.0,2145950.00,0.00
20190708,2.85,2.86,2.71,2.80,1322000.0,4573560.00,0.00
20190709,2.72,2.73,2.64,2.70,1540000.0,5181590.00,0.00
20190710,2.64,2.78,2.64,2.70,1549000.0,5207580.00,0.00
20190711,2.68,2.70,2.58,2.58,1141000.0,3775150.00,0.00
20190712,2.53,2.62,2.39,2.47,1861000.0,5840500.00,0.00
20190715,2.51,2.70,2.47,2.65,563000.0,1855890.00,0.00
20190716,2.67,2.89,2.63,2.83,815000.0,2816200.00,0.00
20190717,2.81,2.99,2.72,2.92,2017000.0,7267080.00,0.00
20190718,2.90,3.08,2.83,3.01,1957000.0,7186740.00,0.00
20190719,3.22,3.23,3.11,3.20,4815000.0,18510120.00,0.00
20190722,3.21,3.21,3.11,3.20,4329000.0,16647110.00,0.00
20190723,3.23,3.40,3.16,3.27,10979000.0,43173360.00,0.00
20190724,3.30,3.40,3.15,3.21,4369000.0,17101350.00,0.00
20190725,3.23,3.31,3.18,3.22,3150000.0,12365690.00,0.00
20190726,3.20,3.30,3.20,3.21,2560000.0,10030830.00,0.00
20190729,3.27,3.52,3.22,3.48,5258000.0,21389370.00,0.00
20190730,3.51,3.90,3.48,3.80,6729000.0,30084610.00,0.00
20190731,3.81,4.04,3.74,3.91,3287000.0,15162720.00,0.00
20190801,3.91,3.94,3.77,3.83,2705000.0,12190820.00,0.00
20190802,3.78,3.97,3.70,3.87,4031000.0,18335890.00,0.00
20190805,3.82,3.92,3.62,3.79,2992000.0,13154700.00,0.00
20190806,3.71,3.80,3.43,3.79,3346000.0,14246590.00,0.00
20190807,3.89,4.19,3.81,4.00,3490000.0,16318390.00,0.00
20190808,4.15,4.15,3.95,4.10,1157000.0,5465380.00,0.00
20190809,4.10,4.36,4.10,4.24,3646520.0,18054304.00,0.00
20190812,4.30,4.37,4.02,4.17,2841000.0,13848340.00,0.00
20190813,4.20,4.20,3.83,3.92,2355000.0,10878640.00,0.00
20190814,4.06,4.06,3.85,3.88,1764000.0,8103670.00,0.00
20190815,3.72,3.92,3.72,3.90,1713000.0,7730170.00,0.00
20190816,3.94,4.01,3.83,3.90,1149200.0,5275516.00,0.00
20190819,3.92,4.20,3.90,4.20,3219300.0,15332924.00,0.00
20190820,4.05,4.30,3.98,4.12,2817600.0,13631322.00,0.00
20190821,4.22,4.34,4.21,4.27,1372000.0,6814250.00,0.00
20190822,4.27,4.46,4.22,4.27,2076000.0,10353610.00,0.00
20190823,4.27,4.52,4.27,4.52,2197110.0,11162617.00,0.00
20190826,4.48,5.09,4.37,5.07,5163000.0,27868560.00,0.00
20190827,5.07,5.43,5.07,5.32,3185000.0,19123040.00,0.00
20190828,5.40,5.40,5.14,5.33,2813000.0,16729150.00,0.00
20190829,5.42,5.52,5.25,5.45,1881000.0,11480810.00,0.00
20190830,5.47,5.70,5.42,5.62,2772080.0,17373140.00,0.00
20190902,5.60,5.72,5.47,5.55,1727000.0,10845470.00,0.00
20190903,5.66,5.66,4.99,5.05,4422000.0,26166580.00,0.00
20190904,5.13,5.40,5.12,5.25,2952000.0,17456540.00,0.00
20190905,5.41,5.63,5.31,5.63,2519000.0,15508770.00,0.00
20190906,5.73,5.73,5.49,5.62,1453050.0,9042684.00,0.00
20190909,5.53,5.68,5.47,5.59,1367000.0,8409020.00,0.00
20190910,5.68,5.68,5.49,5.53,1015000.0,6278730.00,0.00
20190911,5.59,5.67,5.39,5.62,1273000.0,7927180.00,0.00
20190912,5.62,5.65,5.50,5.55,665000.0,4082590.00,0.00
20190913,5.56,5.86,5.50,5.85,2179010.0,13817063.00,0.00
20190916,5.87,6.35,5.87,6.26,1829020.0,12446025.00,0.00
20190917,6.29,6.34,5.96,6.14,1923000.0,12975800.00,0.00
20190918,6.14,6.33,6.10,6.32,1272000.0,8728480.00,0.00
20190919,6.34,6.53,6.21,6.33,2290000.0,15949070.00,0.00
20190920,6.41,6.56,6.30,6.42,1413020.0,9949309.00,0.00
20190923,6.46,6.88,6.42,6.83,2167000.0,15763770.00,0.00
20190924,6.88,7.33,6.66,7.09,5223000.0,39839710.00,0.00
20190925,7.12,7.47,6.76,6.88,2243000.0,17157450.00,0.00
20190926,6.90,7.36,6.88,7.36,3432000.0,26657670.00,0.00
20190927,7.40,7.48,7.15,7.37,1655020.0,13056788.00,0.00
20190930,7.37,7.39,6.98,7.14,1607850.0,12519082.00,0.00
20191002,7.13,7.15,6.78,6.97,1304000.0,9877210.00,0.00
20191003,6.88,7.32,6.88,7.18,669000.0,5208340.00,0.00
20191004,7.32,7.32,7.08,7.17,549000.0,4278660.00,0.00
20191008,7.17,7.17,6.67,6.68,3070000.0,22841110.00,0.00
20191009,6.80,6.80,6.28,6.48,2574000.0,18246300.00,0.00
20191010,6.49,6.68,6.23,6.55,1747000.0,12277885.00,0.00
20191011,6.63,6.96,6.63,6.95,2549050.0,18890437.00,0.00
20191014,7.13,7.28,6.97,7.22,2348000.0,18305220.00,0.00
20191015,7.37,7.40,7.26,7.38,2844000.0,22636170.00,0.00
20191016,7.43,7.49,7.08,7.18,2193000.0,17185500.00,0.00
20191017,7.18,7.18,6.88,7.03,1601000.0,12236080.00,0.00
20191018,7.11,7.34,7.03,7.28,1203020.0,9406678.00,0.00
20191021,7.28,7.96,7.26,7.88,4897000.0,40723640.00,0.00
20191022,7.88,8.23,7.88,8.20,1525000.0,13280080.00,0.00
20191023,8.32,8.32,7.70,7.93,2855000.0,24375910.00,0.00
20191024,8.08,8.13,7.94,8.08,967000.0,8352060.00,0.00
20191025,8.18,8.85,8.18,8.64,6659000.0,61154255.00,0.00
20191028,8.78,9.20,8.61,9.20,1832000.0,17548480.00,0.00
20191029,9.19,9.64,9.08,9.44,3015000.0,30261620.00,0.00
20191030,9.56,9.74,9.08,9.52,2206000.0,22195590.00,0.00
20191031,9.56,9.58,9.22,9.42,1935000.0,19337750.00,0.00
20191101,9.44,9.50,9.06,9.42,1510010.0,14899841.00,0.00
20191104,9.50,9.50,9.08,9.38,1107000.0,10984110.00,0.00
20191105,9.46,9.56,9.38,9.50,835000.0,8428860.00,0.00
20191106,9.58,9.64,9.23,9.50,1350000.0,13488680.00,0.00
20191107,9.46,10.10,9.40,10.08,3855000.0,40356480.00,0.00
20191108,10.16,10.52,10.12,10.16,2486000.0,27219820.00,0.00
20191111,10.32,10.38,9.72,9.96,2170000.0,23078720.00,0.00
20191112,10.34,10.34,9.96,10.04,879000.0,9414980.00,0.00
20191113,9.94,10.12,9.40,9.72,2064000.0,21319720.00,0.00
20191114,9.90,9.98,9.37,9.68,1530000.0,15517960.00,0.00
20191115,9.68,9.76,9.29,9.36,2107000.0,21075729.00,0.00
20191118,9.48,9.88,9.36,9.54,2089030.0,21472229.00,0.00
20191119,9.56,9.94,9.42,9.88,1640000.0,17136100.00,0.00
20191120,9.88,10.18,9.88,10.14,1104000.0,11818720.00,0.00
20191121,10.14,10.24,9.64,9.76,1265000.0,13183380.00,0.00
20191122,9.68,9.88,9.44,9.62,1027000.0,10453080.00,0.00
20191125,9.60,9.72,9.22,9.22,1796000.0,17855830.00,0.00
20191126,9.23,9.74,9.07,9.58,2563000.0,25772390.00,0.00
20191127,9.58,9.58,9.06,9.23,784000.0,7699950.00,0.00
20191128,9.23,9.40,8.79,9.00,1357000.0,13086530.00,0.00
20191129,9.11,9.13,8.51,8.66,1240010.0,11527203.00,0.00
20191202,8.86,9.08,8.58,9.08,894000.0,8548750.00,0.00
20191203,9.18,9.27,9.07,9.18,1326000.0,12919050.00,0.00
20191204,9.24,9.33,9.03,9.33,620000.0,6104180.00,0.00
20191205,9.33,9.90,9.33,9.84,2521000.0,26127130.00,0.00
20191206,9.88,10.26,9.82,10.24,1478000.0,15850400.00,0.00
20191209,10.28,10.28,9.62,10.18,1934000.0,20213220.00,0.00
20191210,10.18,10.18,9.74,9.78,726000.0,7584780.00,0.00
20191211,9.96,10.10,9.58,9.96,584500.0,6176960.00,0.00
20191212,10.06,10.06,9.86,9.98,408000.0,4314020.00,0.00
20191213,10.20,10.20,9.76,9.88,899000.0,9478600.00,0.00
20191216,9.88,9.96,9.28,9.58,1192000.0,12072940.00,0.00
20191217,9.66,9.68,9.16,9.36,1146000.0,11327400.00,0.00
20191218,9.17,9.37,9.02,9.36,1081000.0,10590760.00,0.00
