timetag,open,high,low,close,volumn,amount,open_ineterst
20151210,0.117,0.134,0.117,0.129,299168000.0,0.00,0.00
20151211,0.129,0.163,0.127,0.158,320816000.0,0.00,0.00
20151214,0.153,0.170,0.146,0.163,149792000.0,0.00,0.00
20151215,0.166,0.173,0.156,0.158,52992000.0,0.00,0.00
20151216,0.158,0.204,0.158,0.192,170416000.0,0.00,0.00
20151217,0.197,0.207,0.187,0.202,97488000.0,0.00,0.00
20151218,0.202,0.214,0.192,0.195,86320000.0,0.00,0.00
20151221,0.187,0.207,0.185,0.202,59619200.0,0.00,0.00
20151222,0.204,0.212,0.200,0.200,39312000.0,0.00,0.00
20151223,0.200,0.200,0.195,0.197,7568000.0,0.00,0.00
20151224,0.197,0.222,0.197,0.222,79328000.0,0.00,0.00
20151228,0.222,0.243,0.222,0.241,74816000.0,0.00,0.00
20151229,0.243,0.246,0.229,0.236,63936000.0,0.00,0.00
20151230,0.236,0.243,0.229,0.243,36752000.0,0.00,0.00
20151231,0.241,0.248,0.231,0.236,25904000.0,0.00,0.00
20160104,0.236,0.236,0.222,0.224,41072000.0,0.00,0.00
20160105,0.219,0.224,0.195,0.222,33392000.0,0.00,0.00
20160106,0.224,0.265,0.224,0.260,170480000.0,0.00,0.00
20160107,0.253,0.258,0.241,0.251,62752000.0,0.00,0.00
20160108,0.253,0.253,0.239,0.248,44368000.0,0.00,0.00
20160111,0.246,0.246,0.236,0.239,10000000.0,0.00,0.00
20160112,0.241,0.273,0.241,0.260,79792000.0,0.00,0.00
20160113,0.265,0.287,0.265,0.285,81424000.0,0.00,0.00
20160114,0.278,0.292,0.275,0.292,76816000.0,0.00,0.00
20160115,0.292,0.302,0.265,0.292,118384000.0,0.00,0.00
20160118,0.290,0.292,0.278,0.287,12512000.0,0.00,0.00
20160119,0.292,0.302,0.287,0.292,34880000.0,0.00,0.00
20160120,0.292,0.346,0.290,0.333,228832000.0,0.00,0.00
20160121,0.333,0.341,0.309,0.312,111968000.0,0.00,0.00
20160122,0.309,0.326,0.309,0.326,71408000.0,0.00,0.00
20160125,0.326,0.343,0.312,0.321,105360000.0,0.00,0.00
20160126,0.321,0.324,0.309,0.312,20368000.0,0.00,0.00
20160127,0.314,0.324,0.312,0.314,51376000.0,0.00,0.00
20160128,0.314,0.316,0.248,0.275,76944000.0,0.00,0.00
20160129,0.260,0.290,0.248,0.287,40704000.0,0.00,0.00
20160201,0.285,0.287,0.270,0.275,11072000.0,0.00,0.00
20160202,0.275,0.280,0.260,0.260,6112000.0,0.00,0.00
20160203,0.260,0.263,0.243,0.256,11776000.0,0.00,0.00
20160204,0.256,0.287,0.256,0.285,38224000.0,0.00,0.00
20160205,0.280,0.290,0.275,0.282,22240000.0,0.00,0.00
20160211,0.273,0.275,0.265,0.275,4880000.0,0.00,0.00
20160212,0.280,0.280,0.273,0.278,1168000.0,0.00,0.00
20160215,0.280,0.280,0.273,0.278,3952000.0,0.00,0.00
20160216,0.278,0.297,0.278,0.295,27472000.0,0.00,0.00
20160217,0.292,0.295,0.287,0.290,10320000.0,0.00,0.00
20160218,0.290,0.297,0.285,0.290,14416000.0,0.00,0.00
20160219,0.287,0.292,0.287,0.290,8512000.0,0.00,0.00
20160222,0.287,0.295,0.282,0.290,16720000.0,0.00,0.00
20160223,0.287,0.290,0.280,0.287,14912000.0,0.00,0.00
20160224,0.287,0.312,0.287,0.307,63248000.0,0.00,0.00
20160225,0.299,0.307,0.292,0.302,24496000.0,0.00,0.00
20160226,0.297,0.299,0.280,0.287,24510000.0,0.00,0.00
20160229,0.280,0.280,0.246,0.268,45312000.0,0.00,0.00
20160301,0.268,0.270,0.260,0.263,18320000.0,0.00,0.00
20160302,0.258,0.260,0.229,0.241,59232000.0,0.00,0.00
20160303,0.241,0.241,0.234,0.236,4256000.0,0.00,0.00
20160304,0.231,0.248,0.231,0.243,18304000.0,0.00,0.00
20160307,0.241,0.241,0.234,0.234,3376000.0,0.00,0.00
20160308,0.234,0.236,0.231,0.236,5504000.0,0.00,0.00
20160309,0.241,0.246,0.236,0.246,5248000.0,0.00,0.00
20160310,0.243,0.243,0.231,0.236,6576000.0,0.00,0.00
20160311,0.231,0.231,0.222,0.226,25408000.0,0.00,0.00
20160314,0.229,0.234,0.226,0.231,2560000.0,0.00,0.00
20160315,0.234,0.239,0.231,0.239,5088000.0,0.00,0.00
20160316,0.236,0.239,0.234,0.234,2080000.0,0.00,0.00
20160317,0.236,0.239,0.234,0.236,2816000.0,0.00,0.00
20160318,0.234,0.246,0.234,0.236,12432000.0,0.00,0.00
20160321,0.239,0.239,0.229,0.231,5728000.0,0.00,0.00
20160322,0.236,0.239,0.231,0.236,3312000.0,0.00,0.00
20160323,0.234,0.241,0.234,0.236,6112000.0,0.00,0.00
20160324,0.236,0.243,0.231,0.241,17072000.0,0.00,0.00
20160329,0.234,0.243,0.224,0.226,21280000.0,0.00,0.00
20160330,0.226,0.229,0.222,0.222,20320000.0,0.00,0.00
20160331,0.217,0.246,0.207,0.241,71920000.0,0.00,0.00
20160401,0.243,0.282,0.239,0.265,27024000.0,0.00,0.00
20160405,0.268,0.282,0.265,0.270,21872000.0,0.00,0.00
20160406,0.273,0.280,0.273,0.278,12112000.0,0.00,0.00
20160407,0.282,0.316,0.280,0.314,53920000.0,0.00,0.00
20160408,0.316,0.319,0.307,0.316,14627200.0,0.00,0.00
20160411,0.316,0.355,0.312,0.355,37008000.0,0.00,0.00
20160412,0.360,0.370,0.336,0.348,37744000.0,0.00,0.00
20160413,0.353,0.382,0.353,0.372,22768000.0,0.00,0.00
20160414,0.375,0.389,0.363,0.365,20112000.0,0.00,0.00
20160415,0.370,0.382,0.363,0.382,17088000.0,0.00,0.00
20160418,0.382,0.397,0.375,0.392,14144000.0,0.00,0.00
20160419,0.397,0.407,0.389,0.392,13360000.0,0.00,0.00
20160420,0.389,0.394,0.385,0.392,5888000.0,0.00,0.00
20160421,0.397,0.397,0.380,0.380,9840000.0,0.00,0.00
20160422,0.382,0.382,0.370,0.370,7168000.0,0.00,0.00
20160425,0.368,0.385,0.363,0.377,15536000.0,0.00,0.00
20160426,0.382,0.394,0.375,0.375,12896000.0,0.00,0.00
20160427,0.380,0.382,0.348,0.358,11424000.0,0.00,0.00
20160428,0.355,0.363,0.353,0.358,4560000.0,0.00,0.00
20160429,0.360,0.377,0.353,0.370,7184000.0,0.00,0.00
20160503,0.365,0.377,0.365,0.365,2720000.0,0.00,0.00
20160504,0.372,0.375,0.363,0.363,3808000.0,0.00,0.00
20160505,0.363,0.375,0.363,0.368,2976000.0,0.00,0.00
20160506,0.370,0.385,0.370,0.372,11360000.0,0.00,0.00
20160509,0.375,0.377,0.368,0.368,2464000.0,0.00,0.00
20160510,0.368,0.375,0.365,0.368,2064000.0,0.00,0.00
20160511,0.368,0.375,0.368,0.372,1568000.0,0.00,0.00
20160512,0.370,0.414,0.370,0.397,58400000.0,0.00,0.00
20160513,0.397,0.414,0.392,0.409,42240000.0,0.00,0.00
20160516,0.409,0.419,0.404,0.414,18032000.0,0.00,0.00
20160517,0.416,0.419,0.409,0.414,9760000.0,0.00,0.00
20160518,0.414,0.433,0.414,0.433,44848000.0,0.00,0.00
20160519,0.433,0.448,0.431,0.441,32208000.0,0.00,0.00
20160520,0.443,0.445,0.438,0.445,11408000.0,0.00,0.00
20160523,0.441,0.455,0.441,0.455,20496000.0,0.00,0.00
20160524,0.455,0.455,0.450,0.453,12032000.0,0.00,0.00
20160525,0.455,0.470,0.453,0.467,33520000.0,0.00,0.00
20160526,0.467,0.472,0.460,0.465,30208000.0,0.00,0.00
20160527,0.465,0.467,0.463,0.467,14734000.0,0.00,0.00
20160530,0.467,0.467,0.453,0.460,36400000.0,0.00,0.00
20160531,0.458,0.463,0.455,0.463,20400000.0,0.00,0.00
20160601,0.460,0.465,0.458,0.463,15552000.0,0.00,0.00
20160602,0.463,0.470,0.460,0.465,22576000.0,0.00,0.00
20160603,0.463,0.463,0.443,0.453,61792000.0,0.00,0.00
20160606,0.453,0.455,0.441,0.455,31952000.0,0.00,0.00
20160607,0.450,0.450,0.170,0.192,367568000.0,0.00,0.00
20160608,0.214,0.268,0.209,0.256,261248000.0,0.00,0.00
20160610,0.251,0.275,0.248,0.275,83376000.0,0.00,0.00
20160613,0.270,0.309,0.270,0.280,124304000.0,0.00,0.00
20160614,0.282,0.285,0.260,0.263,30432000.0,0.00,0.00
20160615,0.265,0.265,0.256,0.258,19648000.0,0.00,0.00
20160616,0.260,0.295,0.258,0.295,56592000.0,0.00,0.00
20160617,0.295,0.304,0.270,0.273,42656000.0,0.00,0.00
20160620,0.273,0.280,0.265,0.280,18192000.0,0.00,0.00
20160621,0.282,0.292,0.275,0.280,26832000.0,0.00,0.00
20160622,0.273,0.282,0.270,0.273,20064000.0,0.00,0.00
20160623,0.273,0.275,0.258,0.270,27008000.0,0.00,0.00
20160624,0.270,0.273,0.248,0.270,25216000.0,0.00,0.00
20160627,0.270,0.280,0.268,0.275,22176000.0,0.00,0.00
20160628,0.275,0.282,0.268,0.273,23088000.0,0.00,0.00
20160629,0.273,0.275,0.253,0.253,15536000.0,0.00,0.00
20160630,0.246,0.265,0.246,0.253,13324000.0,0.00,0.00
20160704,0.256,0.256,0.246,0.253,6096000.0,0.00,0.00
20160705,0.253,0.265,0.253,0.256,9824000.0,0.00,0.00
20160706,0.265,0.265,0.248,0.251,9056000.0,0.00,0.00
20160707,0.251,0.256,0.241,0.246,11648000.0,0.00,0.00
20160708,0.243,0.256,0.241,0.256,9360000.0,0.00,0.00
20160711,0.263,0.273,0.258,0.263,10416000.0,0.00,0.00
20160712,0.260,0.265,0.258,0.263,3648000.0,0.00,0.00
20160713,0.263,0.265,0.260,0.263,4288000.0,0.00,0.00
20160714,0.260,0.265,0.258,0.263,3328000.0,0.00,0.00
20160715,0.260,0.275,0.260,0.275,7648000.0,0.00,0.00
20160718,0.273,0.314,0.273,0.309,32772000.0,0.00,0.00
20160719,0.316,0.324,0.307,0.309,22352000.0,0.00,0.00
20160720,0.309,0.314,0.299,0.304,10352000.0,0.00,0.00
20160721,0.307,0.312,0.302,0.304,8048000.0,0.00,0.00
20160722,0.307,0.326,0.307,0.314,15104000.0,0.00,0.00
20160725,0.316,0.321,0.302,0.304,12800000.0,0.00,0.00
20160726,0.304,0.309,0.302,0.307,3936000.0,0.00,0.00
20160727,0.309,0.312,0.299,0.307,5968000.0,0.00,0.00
20160728,0.309,0.314,0.304,0.307,7776000.0,0.00,0.00
20160729,0.307,0.316,0.304,0.307,8272000.0,0.00,0.00
20160801,0.309,0.314,0.302,0.307,6240000.0,0.00,0.00
20160802,0.307,0.307,0.307,0.307,0.0,0.00,0.00
20160803,0.307,0.314,0.307,0.312,5360600.0,0.00,0.00
20160804,0.312,0.314,0.302,0.307,4288000.0,0.00,0.00
20160805,0.304,0.307,0.302,0.304,4528000.0,0.00,0.00
20160808,0.304,0.307,0.297,0.299,5936000.0,0.00,0.00
20160809,0.297,0.312,0.297,0.309,9824000.0,0.00,0.00
20160810,0.309,0.312,0.299,0.302,31728000.0,0.00,0.00
20160811,0.304,0.312,0.299,0.307,9232000.0,0.00,0.00
20160812,0.309,0.309,0.295,0.307,6704000.0,0.00,0.00
20160815,0.302,0.326,0.302,0.309,28700000.0,0.00,0.00
20160816,0.309,0.309,0.299,0.304,2016000.0,0.00,0.00
20160817,0.307,0.312,0.297,0.304,1776000.0,0.00,0.00
20160818,0.304,0.309,0.299,0.302,3664000.0,0.00,0.00
20160819,0.302,0.307,0.295,0.297,4448000.0,0.00,0.00
20160822,0.302,0.302,0.295,0.297,2544000.0,0.00,0.00
20160823,0.295,0.304,0.292,0.302,4592000.0,0.00,0.00
20160824,0.299,0.299,0.292,0.297,2800000.0,0.00,0.00
20160825,0.295,0.302,0.285,0.292,6336000.0,0.00,0.00
20160826,0.297,0.297,0.268,0.297,9872000.0,0.00,0.00
20160829,0.280,0.280,0.200,0.231,28752000.0,0.00,0.00
20160830,0.231,0.239,0.192,0.202,46544000.0,0.00,0.00
20160831,0.202,0.224,0.200,0.219,15984000.0,0.00,0.00
20160901,0.224,0.224,0.212,0.219,3504000.0,0.00,0.00
20160902,0.222,0.231,0.217,0.226,7184000.0,0.00,0.00
20160905,0.226,0.229,0.217,0.219,4752000.0,0.00,0.00
20160906,0.222,0.222,0.214,0.214,2400000.0,0.00,0.00
20160907,0.219,0.234,0.219,0.222,4880000.0,0.00,0.00
20160908,0.224,0.229,0.219,0.224,2480000.0,0.00,0.00
20160909,0.224,0.226,0.219,0.222,2928000.0,0.00,0.00
20160912,0.222,0.222,0.214,0.222,2784000.0,0.00,0.00
20160913,0.219,0.229,0.219,0.222,2288000.0,0.00,0.00
20160914,0.222,0.224,0.219,0.224,2032000.0,0.00,0.00
20160915,0.226,0.226,0.219,0.224,1056000.0,0.00,0.00
20160919,0.224,0.224,0.219,0.224,960000.0,0.00,0.00
20160920,0.224,0.224,0.219,0.224,1600000.0,0.00,0.00
20160921,0.222,0.251,0.219,0.243,11631800.0,0.00,0.00
20160922,0.243,0.251,0.239,0.243,2928000.0,0.00,0.00
20160923,0.246,0.251,0.241,0.251,11328000.0,0.00,0.00
20160926,0.253,0.265,0.251,0.258,6276000.0,0.00,0.00
20160927,0.260,0.263,0.246,0.251,3616000.0,0.00,0.00
20160928,0.253,0.253,0.241,0.246,3808000.0,0.00,0.00
20160929,0.248,0.251,0.231,0.239,6432000.0,0.00,0.00
20160930,0.243,0.243,0.222,0.226,5376000.0,0.00,0.00
20161003,0.229,0.229,0.214,0.219,3728000.0,0.00,0.00
20161004,0.219,0.224,0.207,0.214,19280000.0,0.00,0.00
20161005,0.219,0.222,0.207,0.212,4784000.0,0.00,0.00
20161006,0.214,0.217,0.209,0.214,2624000.0,0.00,0.00
20161007,0.217,0.229,0.214,0.219,5503800.0,0.00,0.00
20161011,0.222,0.222,0.209,0.212,3216000.0,0.00,0.00
20161012,0.214,0.217,0.212,0.217,2432000.0,0.00,0.00
20161013,0.214,0.222,0.212,0.219,1808000.0,0.00,0.00
20161014,0.219,0.222,0.212,0.217,1904000.0,0.00,0.00
