timetag,open,high,low,close,volumn,amount,open_ineterst
20151210,1.24,1.29,1.21,1.28,523008000.0,808422730.00,0.00
20151211,1.29,1.29,1.23,1.25,11585000.0,18124580.00,0.00
20151214,1.24,1.27,1.21,1.25,10700000.0,16594020.00,0.00
20151215,1.25,1.26,1.22,1.25,10616000.0,16402160.00,0.00
20151216,1.27,1.27,1.22,1.25,12506000.0,19235210.00,0.00
20151217,1.25,1.26,1.23,1.25,32670000.0,50437690.00,0.00
20151218,1.25,1.29,1.24,1.26,93022000.0,145634040.00,0.00
20151221,1.26,1.27,1.25,1.25,12402000.0,19356620.00,0.00
20151222,1.25,1.26,1.24,1.24,20326000.0,31476730.00,0.00
20151223,1.25,1.29,1.25,1.28,51614000.0,81534820.00,0.00
20151224,1.29,1.29,1.28,1.28,520000.0,823940.00,0.00
20151228,1.29,1.31,1.28,1.30,155190000.0,246791800.00,0.00
20151229,1.30,1.30,1.29,1.30,4200000.0,6715240.00,0.00
20151230,1.30,1.30,1.29,1.29,2482000.0,3955940.00,0.00
20151231,1.29,1.41,1.28,1.34,210606000.0,338929320.00,0.00
20160104,1.35,1.36,1.18,1.21,7650000.0,12122620.00,0.00
20160105,1.25,1.29,1.20,1.25,6432000.0,9872140.00,0.00
20160106,1.27,1.28,1.22,1.27,1864000.0,2900580.00,0.00
20160107,1.26,1.26,1.07,1.09,5448123.0,7863800.00,0.00
20160108,1.09,1.17,1.07,1.12,3794000.0,5304000.00,0.00
20160111,1.06,1.07,0.98,1.05,6822000.0,9062830.00,0.00
20160112,1.05,1.07,1.01,1.04,2236000.0,3001540.00,0.00
20160113,1.04,1.09,1.03,1.04,2994000.0,4079320.00,0.00
20160114,1.01,1.15,0.95,1.11,2662123.0,3586354.00,0.00
20160115,1.10,1.11,1.03,1.06,4800000.0,6620640.00,0.00
20160118,1.03,1.15,1.00,1.09,1814000.0,2533700.00,0.00
20160119,1.07,1.12,1.05,1.09,934000.0,1298960.00,0.00
20160120,1.05,1.05,0.93,0.94,1316000.0,1705620.00,0.00
20160121,0.94,0.98,0.90,0.90,6136000.0,7600460.00,0.00
20160122,0.91,1.05,0.90,0.99,1896000.0,2413960.00,0.00
20160125,0.99,1.09,0.95,0.98,732000.0,968920.00,0.00
20160126,0.95,1.01,0.95,0.98,920000.0,1187600.00,0.00
20160127,0.99,1.01,0.98,1.01,2444000.0,3179240.00,0.00
20160128,1.01,1.06,0.99,1.04,4030000.0,5365680.00,0.00
20160129,1.04,1.11,1.04,1.08,3346000.0,4641360.00,0.00
20160201,1.06,1.14,1.04,1.04,694000.0,940120.00,0.00
20160202,1.05,1.10,1.04,1.05,154000.0,207500.00,0.00
20160203,0.96,1.05,0.96,1.00,286000.0,371520.00,0.00
20160204,1.02,1.02,0.98,1.00,912000.0,1184070.00,0.00
20160205,1.00,1.05,1.00,1.05,214000.0,284980.00,0.00
20160211,0.97,0.99,0.91,0.95,148000.0,183480.00,0.00
20160212,0.95,1.00,0.94,0.95,222000.0,277980.00,0.00
20160215,0.97,1.05,0.97,0.99,426000.0,557560.00,0.00
20160216,1.00,1.03,0.98,1.00,262000.0,341480.00,0.00
20160217,1.02,1.02,0.98,1.00,274000.0,356300.00,0.00
20160218,1.01,1.03,0.99,1.02,438000.0,575080.00,0.00
20160219,0.99,1.03,0.96,0.96,858000.0,1105100.00,0.00
20160222,0.98,1.02,0.97,0.99,48000.0,62540.00,0.00
20160223,0.99,0.99,0.94,0.95,524000.0,658040.00,0.00
20160224,0.96,0.99,0.93,0.93,9962000.0,12362940.00,0.00
20160225,0.93,0.96,0.89,0.89,1012000.0,1237870.00,0.00
20160226,0.91,0.93,0.88,0.91,1456000.0,1742760.00,0.00
20160229,0.92,0.93,0.87,0.88,1268000.0,1528840.00,0.00
20160301,0.88,0.91,0.78,0.87,584000.0,679840.00,0.00
20160302,0.90,0.93,0.83,0.85,2532000.0,2964220.00,0.00
20160303,0.85,0.86,0.83,0.86,382000.0,438680.00,0.00
20160304,0.88,0.91,0.82,0.90,634000.0,749080.00,0.00
20160307,0.92,0.93,0.86,0.89,776000.0,929620.00,0.00
20160308,0.87,0.93,0.87,0.88,92000.0,109500.00,0.00
20160309,0.88,0.90,0.87,0.89,694000.0,826020.00,0.00
20160310,0.89,0.90,0.84,0.85,782000.0,914000.00,0.00
20160311,0.88,0.94,0.86,0.90,812829.0,979443.00,0.00
20160314,0.93,0.94,0.89,0.91,502000.0,610280.00,0.00
20160315,0.92,0.97,0.91,0.95,924000.0,1144500.00,0.00
20160316,0.94,0.95,0.91,0.91,276000.0,337520.00,0.00
20160317,0.91,0.95,0.87,0.92,736000.0,897760.00,0.00
20160318,0.92,1.00,0.91,0.96,3470919.0,4419245.00,0.00
20160321,0.98,1.02,0.97,1.00,1636000.0,2126900.00,0.00
20160322,1.00,1.02,0.97,0.97,632000.0,819260.00,0.00
20160323,0.97,1.03,0.97,1.02,588000.0,767740.00,0.00
20160324,1.00,1.03,1.00,1.02,356000.0,469060.00,0.00
20160329,1.01,1.01,0.97,1.00,632000.0,816800.00,0.00
20160330,1.00,1.05,1.00,1.03,446000.0,594660.00,0.00
20160331,1.00,1.08,0.98,1.05,1218000.0,1630620.00,0.00
20160401,1.06,1.07,1.03,1.04,3468000.0,4686240.00,0.00
20160405,1.05,1.07,1.03,1.03,66000.0,89220.00,0.00
20160406,1.03,1.05,1.02,1.03,320000.0,426540.00,0.00
20160407,1.03,1.04,0.96,1.03,1348000.0,1764580.00,0.00
20160408,1.02,1.02,0.99,1.00,136000.0,177440.00,0.00
20160411,1.00,1.03,1.00,1.03,368000.0,484220.00,0.00
20160412,1.03,1.03,1.00,1.02,132000.0,173460.00,0.00
20160413,1.03,1.04,1.01,1.02,1080000.0,1429960.00,0.00
20160414,1.03,1.18,1.02,1.13,3910000.0,5525840.00,0.00
20160415,1.18,1.24,1.14,1.15,6686100.0,9926750.00,0.00
20160418,1.10,1.15,1.10,1.14,322276.0,459374.00,0.00
20160419,1.15,1.16,1.10,1.14,908000.0,1314140.00,0.00
20160420,1.13,1.13,1.08,1.11,744000.0,1051740.00,0.00
20160421,1.10,1.16,1.09,1.12,1782000.0,2529260.00,0.00
20160422,1.12,1.13,1.08,1.09,754000.0,1050600.00,0.00
20160425,1.07,1.10,1.04,1.09,188000.0,258340.00,0.00
