timetag,open,high,low,close,volumn,amount,open_ineterst
20150601,-0.78,-0.15,-0.15,-0.15,0.0,0.00,0.00
20241210,46.87,56.42,46.87,51.82,83646270.0,4111226759.00,15.00
20241211,51.32,54.17,50.37,51.17,5932282.0,312572852.00,15.00
20241212,50.57,57.87,49.72,57.22,7478290.0,408973799.00,15.00
20241213,57.22,59.82,54.22,54.82,5795460.0,337426562.00,15.00
20241216,55.52,57.72,52.82,53.87,3680450.0,203736496.00,15.00
20241217,53.72,57.72,52.72,57.72,2344401.0,132921436.00,15.00
20241218,57.82,60.82,56.72,60.22,2955337.0,177276068.00,15.00
20241219,58.22,60.92,57.32,58.82,2506300.0,150080847.00,15.00
20241220,58.82,60.02,55.02,55.47,1794500.0,103989760.00,15.00
20241223,56.52,56.82,54.42,55.67,1227001.0,68961525.00,15.00
20241224,56.22,56.47,54.22,54.22,597900.0,33531599.00,15.00
20241227,54.22,58.12,51.22,56.42,1971701.0,111709127.00,15.00
20241230,55.72,57.47,55.27,57.07,531400.0,30633089.00,15.00
20241231,56.32,58.52,56.22,57.47,1114370.0,65068126.00,15.00
20250102,56.72,57.22,54.72,57.02,1290842.0,73282201.00,15.00
20250103,57.02,59.42,55.77,58.22,1644296.0,96977912.00,15.00
20250106,58.22,58.92,56.02,56.12,1479800.0,86021427.00,15.00
20250107,56.12,57.82,55.12,57.42,1043800.0,60436265.00,15.00
20250108,56.57,58.22,55.62,55.62,653600.0,37414811.00,15.00
20250109,55.62,58.52,54.92,57.37,1690400.0,98011795.00,15.00
20250110,57.42,61.77,56.62,59.47,2663900.0,159525231.00,15.00
20250113,59.32,59.77,56.97,58.22,1022100.0,60355621.00,15.00
20250114,58.22,58.52,55.82,56.82,1855800.0,107065846.00,15.00
20250115,56.82,57.92,55.57,57.47,765500.0,44313205.00,15.00
20250116,56.82,58.07,56.67,57.22,936400.0,54220862.00,15.00
20250117,57.27,58.82,56.87,58.22,754600.0,44138229.00,15.00
20250120,58.22,63.47,58.22,61.17,2360720.0,146930200.00,15.00
20250121,61.17,67.12,60.87,66.67,2232780.0,146230832.00,15.00
20250122,66.62,68.72,65.77,67.22,2059300.0,140523922.00,15.00
20250123,68.67,70.62,66.52,67.32,1860900.0,128472897.00,15.00
20250124,66.82,73.17,66.82,71.67,1047474.0,74879091.00,15.00
20250127,71.62,72.72,69.22,70.02,1071300.0,76514810.00,15.00
20250128,69.27,71.17,68.02,70.32,671900.0,47174933.00,15.00
20250203,68.22,75.42,67.42,73.82,1413750.0,103570404.00,15.00
20250204,75.22,76.22,72.02,72.67,1398700.0,104365556.00,15.00
20250205,72.72,73.72,69.02,69.92,1912500.0,136116356.00,15.00
20250206,69.92,70.67,66.87,68.57,1880360.0,130491413.00,15.00
