timetag,open,high,low,close,volumn,amount,open_ineterst
20251117,34.00,34.00,32.00,33.96,17061800.0,566904757.00,15.00
20251118,33.88,33.88,32.08,32.40,5692200.0,185156378.00,15.00
20251119,32.00,32.10,29.76,30.24,4973800.0,152564054.00,15.00
20251120,30.24,31.08,30.20,30.30,1785000.0,54563240.00,15.00
20251121,29.86,29.98,28.26,28.56,2104400.0,61224664.00,15.00
20251124,28.56,30.30,28.02,30.30,1882400.0,53953456.00,15.00
20251125,29.52,29.80,28.72,28.76,1445000.0,42086024.00,15.00
20251126,28.84,29.00,28.12,28.48,959000.0,27279120.00,15.00
20251127,28.50,28.94,28.22,28.50,265200.0,7597624.00,15.00
20251128,28.50,29.72,28.50,29.52,589200.0,17304334.00,15.00
20251201,29.52,29.90,28.50,28.88,1167400.0,33916976.00,15.00
20251202,28.86,28.86,27.60,27.76,682720.0,19180193.00,15.00
20251203,27.72,27.86,27.10,27.10,371800.0,10190608.00,15.00
20251204,27.10,28.08,27.10,28.08,480800.0,13358354.00,15.00
20251205,28.08,28.26,27.72,27.88,777800.0,21715636.00,15.00
20251208,27.88,27.88,26.64,26.70,897600.0,24297452.00,15.00
20251209,26.70,27.58,26.70,27.08,524600.0,14143758.00,15.00
20251210,27.08,27.36,26.24,27.16,454400.0,12158148.00,15.00
20251211,27.16,27.48,26.64,26.86,485400.0,13125540.00,15.00
20251212,26.88,27.44,26.34,27.00,535200.0,14460006.00,15.00
20251215,27.98,29.24,26.08,26.44,4245800.0,116644293.00,15.00
20251216,26.50,27.02,26.12,26.30,1355000.0,35913784.00,15.00
20251217,26.30,27.24,26.12,26.88,1688400.0,45322018.00,15.00
20251218,26.84,26.84,26.20,26.38,1175800.0,31130311.00,15.00
20251219,26.38,26.90,26.38,26.90,1216600.0,32492896.00,15.00
20251222,27.20,27.96,26.94,27.04,1770000.0,48434196.00,15.00
20251223,27.34,29.26,27.34,28.60,2872200.0,81789080.00,15.00
20251224,28.62,32.78,28.62,31.20,4954500.0,155327456.00,15.00
20251229,31.56,31.64,29.40,29.80,2730000.0,82569876.00,15.00
20251230,29.60,32.18,29.60,31.88,2776800.0,87192964.00,15.00
20251231,32.40,33.80,32.16,32.92,2416820.0,79990336.00,15.00
20260102,32.92,33.54,31.02,32.40,530400.0,17233324.00,15.00
20260105,32.90,34.00,31.50,31.90,2136800.0,69358744.00,15.00
20260106,32.60,34.56,32.56,34.00,3812200.0,128371398.00,15.00
20260107,35.26,39.76,35.20,37.40,12390400.0,472663169.00,15.00
20260108,35.80,36.78,33.70,34.28,5659400.0,198438280.00,15.00
20260109,34.04,36.50,33.86,36.00,4180000.0,149168832.00,15.00
20260112,36.76,37.50,35.30,35.86,2810000.0,100924074.00,15.00
20260113,35.50,36.30,34.36,36.00,2675800.0,94844620.00,15.00
20260114,36.26,36.26,35.02,35.88,1627600.0,57967196.00,15.00
20260115,37.50,40.30,37.32,37.72,6239600.0,241148603.00,15.00
20260116,38.08,39.10,37.12,38.32,2454460.0,94025564.00,15.00
20260119,38.32,38.52,37.12,37.76,1475200.0,55793920.00,15.00
20260120,38.84,38.84,36.00,36.10,1415400.0,51777580.00,15.00
20260121,36.14,37.30,36.06,36.80,1699200.0,62153728.00,15.00
20260122,36.58,36.78,35.60,35.98,1279200.0,46072928.00,15.00
20260123,36.10,39.20,35.90,38.20,3490300.0,132305772.00,15.00
20260126,39.30,42.02,39.30,39.74,5062400.0,203846513.00,15.00
20260127,39.60,40.34,38.24,38.48,2441600.0,95809436.00,15.00
20260128,38.90,38.98,37.72,38.94,2032800.0,78058736.00,15.00
20260129,39.00,41.66,38.00,41.60,3823500.0,154473572.00,15.00
20260130,40.78,40.78,36.80,38.64,3289200.0,125859888.00,15.00
20260202,35.22,37.50,34.02,34.50,2808000.0,99276428.00,15.00
20260203,35.52,35.78,34.04,35.14,1429400.0,49767096.00,15.00
20260204,35.40,36.72,33.80,36.64,2471660.0,87172896.00,15.00
20260205,35.50,35.92,33.18,33.36,1388200.0,47302026.00,15.00
20260206,33.36,34.32,31.96,32.98,1293800.0,43308719.00,15.00
20260209,33.40,35.30,32.80,34.84,1840600.0,63270504.00,15.00
20260210,34.84,35.34,33.92,33.92,619400.0,21352224.00,15.00
20260211,34.88,38.00,34.50,37.82,4523028.0,167425410.00,15.00
20260212,38.20,39.16,37.08,37.38,2209400.0,83755756.00,15.00
20260213,36.76,36.76,35.56,36.16,1487800.0,53759110.00,15.00
20260216,36.88,36.88,35.60,35.70,126200.0,4537596.00,15.00
20260220,35.70,35.72,34.68,34.86,93476.0,3297248.00,15.00
20260223,35.42,37.14,35.42,36.40,221200.0,8099724.00,15.00
20260224,36.68,37.46,35.86,37.02,1491600.0,54715072.00,15.00
20260225,39.30,39.30,37.46,37.62,3105600.0,119251775.00,15.00
20260226,38.40,40.50,37.32,37.52,4742600.0,184096084.00,15.00
