timetag,open,high,low,close,volumn,amount,open_ineterst
20250919,44.00,50.20,42.00,42.10,34913498.0,1552899727.00,15.00
20250922,42.12,42.90,39.24,39.30,4736620.0,190627922.00,15.00
20250923,39.00,40.36,37.52,39.56,3286919.0,127859641.00,15.00
20250924,39.56,44.50,38.38,40.64,3510912.0,148308847.00,15.00
20250925,40.64,42.50,39.80,40.02,2519505.0,104092125.00,15.00
20250926,40.02,40.60,37.80,38.20,1655000.0,64784130.00,15.00
20250929,38.20,41.12,38.20,40.82,1315080.0,52967294.00,18.00
20250930,40.90,41.60,39.90,40.00,838720.0,33924376.00,15.00
20251002,40.00,42.30,40.00,41.92,1226450.0,51121884.00,15.00
20251003,41.92,41.92,40.40,40.90,676200.0,27802485.00,15.00
20251006,40.90,41.06,39.80,39.98,572400.0,22988586.00,15.00
20251008,40.00,40.30,39.10,39.44,411600.0,16358332.00,15.00
20251009,39.44,39.58,35.86,36.20,2120996.0,79152323.00,15.00
20251010,36.20,37.40,33.26,34.60,1215500.0,42172616.00,15.00
20251013,32.04,34.86,32.04,34.30,831620.0,28186515.00,15.00
20251014,34.30,34.98,30.54,31.06,1168397.0,37258709.00,15.00
20251015,31.08,32.00,30.28,30.60,1097450.0,33711378.00,15.00
20251016,30.60,31.88,28.78,31.20,2523774.0,77500730.00,15.00
20251017,30.80,32.84,30.74,31.80,943280.0,30212135.00,15.00
20251020,32.00,32.88,30.94,31.38,1209934.0,38533671.00,15.00
20251021,31.36,31.94,29.02,29.38,1014400.0,30061360.00,15.00
20251022,29.80,29.90,26.00,26.52,2128800.0,58380643.00,15.00
20251023,26.52,31.00,24.32,29.76,2079866.0,55352749.00,15.00
20251024,30.36,31.18,27.54,28.02,1041600.0,29884900.00,15.00
20251027,28.50,29.58,28.02,28.72,437600.0,12600708.00,15.00
20251028,28.72,29.46,27.90,28.24,406877.0,11479133.00,15.00
20251030,28.24,28.24,26.36,26.58,474301.0,12811725.00,15.00
20251031,26.20,28.80,26.20,27.32,397305.0,11070542.00,15.00
20251103,27.32,28.24,27.04,27.50,138136.0,3829655.00,15.00
20251104,27.50,27.50,26.20,27.00,350600.0,9397048.00,15.00
20251105,26.60,26.60,25.04,26.00,772000.0,19926314.00,15.00
20251106,26.02,27.12,25.08,27.06,431898.0,11345189.00,15.00
20251107,27.02,27.50,26.54,27.00,513600.0,13856410.00,15.00
20251110,27.08,30.98,27.08,29.24,1693410.0,49708234.00,15.00
20251111,29.24,30.52,28.98,29.12,764800.0,22756856.00,15.00
20251112,29.04,30.68,28.90,28.94,784800.0,23441104.00,15.00
20251113,29.00,31.34,27.94,31.26,996035.0,29886340.00,15.00
20251114,30.90,34.28,30.00,32.00,1605662.0,52311711.00,15.00
20251117,32.02,32.28,30.80,31.36,352600.0,11125210.00,15.00
20251118,31.86,32.28,29.80,30.14,392200.0,11924193.00,15.00
20251119,29.50,30.00,29.14,29.56,221665.0,6512420.00,15.00
20251120,29.62,29.80,27.60,28.14,330200.0,9353028.00,15.00
20251121,28.14,29.00,26.88,28.30,292200.0,8131004.00,15.00
20251124,28.66,28.92,27.50,28.82,167800.0,4748774.00,15.00
20251125,28.98,30.74,28.76,29.46,192600.0,5729178.00,15.00
20251126,30.30,30.68,28.80,29.24,96845.0,2843552.00,15.00
20251127,28.80,29.22,28.30,28.62,99400.0,2841013.00,15.00
20251128,28.60,28.80,27.50,28.66,387000.0,10868420.00,15.00
20251201,28.66,28.66,27.20,27.40,392200.0,10791740.00,15.00
20251202,27.40,28.44,27.10,28.18,292687.0,8183826.00,15.00
20251203,28.00,29.70,27.84,29.18,616000.0,17981698.00,15.00
20251204,29.80,29.80,28.40,28.40,329800.0,9557356.00,15.00
20251205,28.96,28.96,27.62,27.82,218200.0,6096480.00,15.00
20251208,27.74,27.88,27.30,27.58,145970.0,4022473.00,15.00
20251209,28.00,28.50,27.22,27.30,425800.0,11685406.00,15.00
20251210,27.54,28.06,27.42,27.80,284800.0,7904407.00,15.00
