,gross_return,funding_return,turnover,cost_return,net_return,nav,signal_spread_return
2021-01-01,0.0,-0.0,0.0,0.0,0.0,1.0,0.25449057307320594
2021-01-02,0.00392596098788837,8.516730952380952e-05,0.09523809523809523,3.809523809523809e-05,0.003973033059316942,1.0039730330593168,0.47890277620699084
2021-01-03,-0.00012128076058870972,0.00011479495238095238,0.09523809523809523,3.809523809523809e-05,-4.458104630299543e-05,1.003928274891043,0.23106563180540096
2021-01-04,-0.0054575755330519135,0.00022236561904761897,0.09523809523809523,3.809523809523809e-05,-0.0052733051520995325,0.9986342547467216,-0.013992244905804752
2021-01-05,-0.0047969176938779555,-4.191666666666723e-06,0.09523809523809523,3.809523809523809e-05,-0.0048392045986398605,0.993801659268792,0.5529904501940066
2021-01-06,-0.010120814255823382,9.133276190476187e-05,0.09523809523809523,3.809523809523809e-05,-0.01006757673201386,0.9837964848077008,0.9890525153744811
2021-01-07,-0.008613352506582388,-1.5133690476190539e-05,0.09523809523809523,3.809523809523809e-05,-0.008666581435153817,0.9752703324564967,0.3818191092912002
2021-01-08,-0.013288136679114146,1.2190476190471363e-07,0.09523809523809526,3.8095238095238106e-05,-0.01332611001244748,0.9622737727143053,0.9606481391037631
2021-01-09,-0.008351821163747006,4.465090476190463e-05,0.09523809523809525,3.80952380952381e-05,-0.00834526549708034,0.9542433426001272,0.7472187575242364
2021-01-10,-0.008673834135658373,0.00010427373809523793,0.09523809523809523,3.809523809523809e-05,-0.008607655635658374,0.9460295445144058,0.62395356648195
2021-01-11,-0.0029043252198025474,-3.565000000000397e-07,0.09523809523809523,3.809523809523809e-05,-0.0029427769578977856,0.9432455905693182,-0.48992507938730273
2021-01-12,0.032025427295945055,0.00016341347619047624,0.09523809523809525,3.80952380952381e-05,0.03215074553404029,0.973571639527818,0.2690392522844356
2021-01-13,0.0033610103292424716,5.243804761904762e-05,0.09523809523809523,3.809523809523809e-05,0.0033753531387662812,0.9768577876171122,0.11101661404503627
2021-01-14,-0.018442909660738773,-0.00020033366666666672,0.09523809523809523,3.809523809523809e-05,-0.018681338565500676,0.958608776556291,-0.0799898801941008
2021-01-15,-0.015582080494387592,-5.72374047619048e-05,0.09523809523809523,3.809523809523809e-05,-0.015677413137244734,0.9435802707292293,0.09756052092837453
2021-01-16,-0.009837013417143164,0.00016054849999999998,0.09523809523809527,3.809523809523811e-05,-0.009714560155238403,0.9344138034279341,0.3513781275460205
2021-01-17,-0.005498969509488357,-0.00017571188095238114,0.09523809523809525,3.80952380952381e-05,-0.005712776628535976,0.9290757060903296,-1.773296746078692
2021-01-18,-0.008667629805041035,-0.00016677447619047633,0.09523809523809523,3.809523809523809e-05,-0.008872499519326749,0.920832482334625,-1.6670627783367378
2021-01-19,0.009848156789653412,-0.00025600873809523836,0.09523809523809523,3.809523809523809e-05,0.009554052813462936,0.9296301645032022,-1.3795052435818929
2021-01-20,0.03448210601498049,-0.0001881103095238096,0.09523809523809523,3.809523809523809e-05,0.03425590046736144,0.9614754828898808,-1.6814348029830506
2021-01-21,-0.014082981229674493,-0.0005844106666666669,0.09523809523809526,3.8095238095238106e-05,-0.014705487134436398,0.9473365175461677,-0.00869081302004604
2021-01-22,0.04570597828071459,-0.0006270196666666668,0.0952380952380952,3.8095238095238085e-05,0.045040863375952686,0.9900053722040154,-1.788296509495192
2021-01-23,0.00016249039806981967,-0.0003341857857142857,0.17142857142857143,6.857142857142858e-05,-0.00024026681621589462,0.9897675067651993,-1.1198697728652274
2021-01-24,0.025213000109153994,-0.0002039429523809524,0.14761904761904762,5.904761904761905e-05,0.024950009537725422,1.0144622154991219,-0.014008016279358215
2021-01-25,0.0048032237982397075,-0.0005968649761904762,0.1285714285714286,5.1428571428571436e-05,0.00415493025062066,1.0186772352464109,0.3955660785050741
2021-01-26,-0.0046753407925115235,-0.00016266652380952384,0.16666666666666669,6.666666666666668e-05,-0.004904673982987714,1.013680955513636,0.16242082777462397
2021-01-27,0.020763202881277115,0.0002807232619047618,0.16666666666666663,6.666666666666666e-05,0.02097725947651521,1.0349452039438474,-0.10305246757442732
2021-01-28,0.020969242137882458,-0.0002044602142857143,0.10476190476190475,4.19047619047619e-05,0.020722877161691983,1.056392246274258,-0.2787658852475654
2021-01-29,-0.004371050815206763,-0.0002837700952380954,0.14285714285714288,5.7142857142857155e-05,-0.004711963767587715,1.051414564285453,-1.0772924204690566
2021-01-30,0.0033715190129921533,-0.00031890100000000023,0.16666666666666666,6.666666666666667e-05,0.0029859513463254862,1.0545540370192275,-0.25009081232032104
2021-01-31,0.002937084384953178,0.0001414481666666664,0.19047619047619047,7.619047619047618e-05,0.003002342075429368,1.0577201689753841,0.0005186596967697854
2021-02-01,0.006982452331027418,-0.0004988038571428575,0.1714285714285714,6.857142857142857e-05,0.0064150770453131325,1.0645055253517428,-1.0113488461576075
2021-02-02,-0.023348252190224374,-0.00011054566666666688,0.19047619047619047,7.619047619047618e-05,-0.023534988333081517,1.0394524002320886,-0.10211900283867403
2021-02-03,0.0021253111483572973,-0.000872047476190477,0.19047619047619047,7.619047619047618e-05,0.0011770731959763441,1.040675911790895,-0.3170058133638101
2021-02-04,0.0378737593067837,-0.0012032869047619054,0.1904761904761905,7.61904761904762e-05,0.03659428192583133,1.0787586995003926,-0.7916880556647141
2021-02-05,-0.0552596324481068,-0.00037594461904761923,0.19047619047619047,7.619047619047618e-05,-0.05571176754334489,1.0186591455984657,-0.6948872362435097
2021-02-06,-0.027586899359880998,2.058128571428529e-05,0.19047619047619047,7.619047619047618e-05,-0.02764250855035719,0.9905008514563606,-0.10384820489712587
2021-02-07,0.01406768274517136,7.51459761904761e-05,0.19047619047619047,7.619047619047618e-05,0.01406663824517136,1.0044338686153313,0.3439749548751038
2021-02-08,0.0025577452459811453,0.00013025169047618988,0.14761904761904762,5.904761904761905e-05,0.002628949317409716,1.0070744743486109,0.058771455393245464
