year,1,2,3,4,5,6,7,8,9,10,11,12
2021,-0.056450193858458966,-0.09251180384933146,0.13338109273208185,0.08114582494582183,-0.152791870967026,-0.15135979850251402,-0.134019193605562,-0.030813407023084435,-0.11963734462532033,-0.12110048942132225,-0.12540604356734011,0.0016769276809856053
2022,0.009111309563158969,-0.04824585760959229,-0.10918715735400622,-0.05717036319249813,-0.05834651332290702,-0.0866598313966735,-0.15893636697599764,-0.09812207065178204,-0.03747345269090592,-0.10647944401839654,-0.14701475746235942,-0.03581277797118666
2023,0.08637950979922318,-0.11500022571282535,-0.1406654052424386,-0.023570594270584923,-0.11091556235276724,-0.01349103365468721,-0.017958468093567145,-0.06334057183371905,-0.1306006080991238,-0.058790224314160124,-0.06476272547146836,0.012216210782592704
2024,-0.11096295324583831,0.1474430628892697,0.05523928383887976,-0.07294805578932968,-0.08687254972559519,0.11251617733965819,0.012153667960506246,-0.18826906314347233,-0.1090779841009323,-0.045662159716932535,0.008395956968317412,0.004686048155557799
2025,0.15782430063363823,0.021509172904575855,0.0475348090560487,-0.10520464007596274,-0.025814265661244704,-0.013837824972012266,-0.15905481209143926,-0.07166313878680694,0.05562003993861702,-0.007460891532751777,0.04729840519129449,-0.0997502793925992
2026,0.027552457027274796,0.02295834023179999,,,,,,,,,,
