horizon,mean_pearson_ic,mean_spearman_ic,pearson_t_stat_nw,spearman_t_stat_nw
1,-0.019475228614755705,-0.054839152893949535,-4.281604260803407,-12.489805064617125
5,-0.02020925004079892,-0.05322680568318645,-2.9832443803138347,-7.622074682470139
10,-0.021364217902437928,-0.049928251643734566,-2.5969525990273086,-5.621412992774167
21,-0.015518705045622546,-0.04412982299670759,-1.5750901092660432,-4.142584144812529
42,-0.0005897667413724457,-0.02352815709220092,-0.06749732466910917,-2.312310132913328
